.HEADER
..NAMES
Time,V U1.U26
.DATA
1.03941e-008,0.6372
1.04366e-008,0.4758
1.04790e-008,0.3632
1.05214e-008,0.3094
1.05638e-008,0.2880
1.06063e-008,0.2771
1.06487e-008,0.2629
1.06911e-008,0.2520
1.07335e-008,0.2558
1.07759e-008,0.2546
1.08184e-008,0.2452
1.08608e-008,0.2415
1.09032e-008,0.2753
1.09456e-008,0.2945
1.09881e-008,0.2962
1.10305e-008,0.2984
1.10729e-008,0.2912
1.11154e-008,0.2508
1.11578e-008,0.2105
1.12002e-008,0.2153
1.12426e-008,0.3706
1.12851e-008,0.5702
1.13275e-008,0.7958
1.13699e-008,0.9733
1.14123e-008,1.0853
1.14548e-008,1.1433
1.14972e-008,1.1664
1.15396e-008,1.1866
1.15820e-008,1.2041
1.16244e-008,1.2158
1.16669e-008,1.2146
1.17093e-008,1.2233
1.17517e-008,1.2303
1.17941e-008,1.2333
1.18366e-008,1.2093
1.18790e-008,1.1897
1.19214e-008,1.1731
1.19639e-008,1.1659
1.20063e-008,1.1797
1.20487e-008,1.2182
1.20911e-008,1.2583
1.21336e-008,1.2756
1.21760e-008,1.2819
1.22184e-008,1.2713
1.22608e-008,1.2581
1.23032e-008,1.2493
1.23457e-008,1.2495
1.23881e-008,1.2550
1.24305e-008,1.2608
1.24729e-008,1.2591
1.25154e-008,1.2591
1.25578e-008,1.2607
1.26002e-008,1.2618
1.26427e-008,1.2589
1.26851e-008,1.2574
1.27275e-008,1.2599
1.27699e-008,1.2602
1.28124e-008,1.2623
1.28548e-008,1.2665
1.28972e-008,1.2696
1.29396e-008,1.2663
1.29821e-008,1.2617
1.30245e-008,1.2583
1.30669e-008,1.2564
1.31093e-008,1.2570
1.31517e-008,1.2596
1.31942e-008,1.2622
1.32366e-008,1.2637
1.32790e-008,1.2622
1.33214e-008,1.2604
1.33639e-008,1.2608
1.34063e-008,1.2613
1.34487e-008,1.2609
1.34912e-008,1.2605
1.35336e-008,1.2615
1.35760e-008,1.2615
1.36184e-008,1.2610
1.36609e-008,1.2614
1.37033e-008,1.2619
1.37457e-008,1.2611
1.37881e-008,1.2602
1.38306e-008,1.2602
1.38730e-008,1.2607
1.39154e-008,1.2610
1.39578e-008,1.2615
1.40002e-008,1.2618
1.40427e-008,1.2618
1.40851e-008,1.2612
1.41275e-008,1.2604
1.41699e-008,1.2608
1.42124e-008,1.2612
1.42548e-008,1.2612
1.42972e-008,1.2610
1.43397e-008,1.2612
1.43821e-008,1.2613
1.44245e-008,1.2610
1.44669e-008,1.2610
1.45094e-008,1.2612
1.45518e-008,1.2611
1.45942e-008,1.2609
1.46366e-008,1.2610
1.46790e-008,1.2612
1.47215e-008,1.2612
1.47639e-008,1.2611
1.48063e-008,1.2612
1.48487e-008,1.2611
1.48912e-008,1.2610
1.49336e-008,1.2609
1.49760e-008,1.2610
1.50185e-008,1.2612
1.50609e-008,1.2612
1.51033e-008,1.2610
1.51457e-008,1.2611
1.51881e-008,1.2611
1.52306e-008,1.2610
1.52730e-008,1.2610
1.53154e-008,1.2611
1.53579e-008,1.2611
1.54003e-008,1.2610
1.54427e-008,1.2610
1.54851e-008,1.2611
1.55276e-008,1.2611
1.55700e-008,1.2610
1.56124e-008,1.2610
1.56548e-008,1.2611
1.56972e-008,1.2610
1.57397e-008,1.2610
1.57821e-008,1.2610
1.58245e-008,1.2611
1.58670e-008,1.2611
1.59094e-008,1.2610
1.59518e-008,1.2610
1.59942e-008,1.2610
1.60366e-008,1.2610
1.60791e-008,1.2610
1.61215e-008,1.2610
1.61639e-008,1.2611
1.62064e-008,1.2610
1.62488e-008,1.2610
1.62912e-008,1.2610
1.63336e-008,1.2610
1.63761e-008,1.2610
1.64185e-008,1.2610
1.64609e-008,1.2610
1.65033e-008,1.2610
1.65457e-008,1.2610
1.65882e-008,1.2610
1.66306e-008,1.2610
1.66730e-008,1.2610
1.67155e-008,1.2610
1.67579e-008,1.2610
1.68003e-008,1.2573
1.68427e-008,1.1689
1.68851e-008,0.9514
1.69276e-008,0.7656
1.69700e-008,0.5776
1.70124e-008,0.4296
1.70548e-008,0.3416
1.70973e-008,0.3012
1.71397e-008,0.2835
1.71821e-008,0.2739
1.72246e-008,0.2578
1.72670e-008,0.2527
1.73094e-008,0.2546
1.73518e-008,0.2531
1.73942e-008,0.2409
1.74367e-008,0.2492
1.74791e-008,0.2849
1.75215e-008,0.2959
1.75640e-008,0.2974
1.76064e-008,0.2989
1.76488e-008,0.2816
1.76912e-008,0.2340
1.77336e-008,0.2041
1.77761e-008,0.2555
1.78185e-008,0.4370
1.78609e-008,0.6338
1.79033e-008,0.8619
1.79458e-008,1.0151
1.79882e-008,1.1075
1.80306e-008,1.1513
1.80731e-008,1.1722
1.81155e-008,1.1911
1.81579e-008,1.2097
1.82003e-008,1.2157
1.82427e-008,1.2168
1.82852e-008,1.2248
1.83276e-008,1.2327
1.83700e-008,1.2268
1.84125e-008,1.2009
1.84549e-008,1.1854
1.84973e-008,1.1687
1.85397e-008,1.1675
1.85822e-008,1.1893
1.86246e-008,1.2329
1.86670e-008,1.2656
1.87094e-008,1.2791
1.87518e-008,1.2794
1.87943e-008,1.2665
1.88367e-008,1.2542
1.88791e-008,1.2485
1.89216e-008,1.2506
1.89640e-008,1.2574
1.90064e-008,1.2607
1.90488e-008,1.2582
1.90912e-008,1.2594
1.91337e-008,1.2610
1.91761e-008,1.2613
1.92185e-008,1.2575
1.92610e-008,1.2580
1.93034e-008,1.2598
1.93458e-008,1.2604
1.93882e-008,1.2632
1.94307e-008,1.2679
1.94731e-008,1.2689
1.95155e-008,1.2645
1.95579e-008,1.2603
1.96003e-008,1.2571
1.96428e-008,1.2157
1.96852e-008,1.0160
1.97276e-008,0.8216
1.97701e-008,0.6326
1.98125e-008,0.4723
1.98549e-008,0.3613
1.98973e-008,0.3086
1.99397e-008,0.2875
1.99822e-008,0.2766
2.00246e-008,0.2621
2.00670e-008,0.2519
2.01095e-008,0.2556
2.01519e-008,0.2543
2.01943e-008,0.2446
2.02367e-008,0.2418
2.02792e-008,0.2759
2.03216e-008,0.2943
2.03640e-008,0.2961
2.04064e-008,0.2983
2.04488e-008,0.2904
2.04913e-008,0.2493
2.05337e-008,0.2097
2.05761e-008,0.2193
2.06186e-008,0.3763
2.06610e-008,0.5749
2.07034e-008,0.8009
2.07458e-008,0.9763
2.07882e-008,1.0868
2.08307e-008,1.1437
2.08731e-008,1.1666
2.09155e-008,1.1868
2.09580e-008,1.2044
2.10004e-008,1.2156
2.10428e-008,1.2144
2.10852e-008,1.2233
2.11277e-008,1.2304
2.11701e-008,1.2323
2.12125e-008,1.2084
2.12549e-008,1.1893
2.12973e-008,1.1726
2.13398e-008,1.1657
2.13822e-008,1.1803
2.14246e-008,1.2193
2.14671e-008,1.2586
2.15095e-008,1.2468
2.15519e-008,1.0493
2.15943e-008,0.8095
2.16367e-008,0.6029
2.16792e-008,0.4415
2.17216e-008,0.3422
2.17640e-008,0.2994
2.18064e-008,0.2858
2.18489e-008,0.2742
2.18913e-008,0.2621
2.19337e-008,0.2499
2.19762e-008,0.2545
2.20186e-008,0.2520
2.20610e-008,0.2433
2.21034e-008,0.2367
2.21458e-008,0.2705
2.21883e-008,0.3008
2.22307e-008,0.3071
2.22731e-008,0.3070
2.23156e-008,0.2945
2.23580e-008,0.2506
2.24004e-008,0.2016
2.24428e-008,0.1957
2.24852e-008,0.3344
2.25277e-008,0.5447
2.25701e-008,0.7649
2.26125e-008,0.9532
2.26549e-008,1.0698
2.26974e-008,1.1337
2.27398e-008,1.1610
2.27822e-008,1.1825
2.28247e-008,1.2003
2.28671e-008,1.2148
2.29095e-008,1.2141
2.29519e-008,1.2221
2.29943e-008,1.2292
2.30368e-008,1.2352
2.30792e-008,1.2139
2.31216e-008,1.1901
2.31641e-008,1.1741
2.32065e-008,1.1646
2.32489e-008,1.1759
2.32913e-008,1.2117
2.33338e-008,1.2552
2.33762e-008,1.2749
2.34186e-008,1.2819
2.34610e-008,1.2720
2.35034e-008,1.2585
2.35459e-008,1.2494
2.35883e-008,1.2492
2.36307e-008,1.2543
2.36732e-008,1.2605
2.37156e-008,1.2595
2.37580e-008,1.2584
2.38004e-008,1.2601
2.38428e-008,1.2617
2.38853e-008,1.2596
2.39277e-008,1.2568
2.39701e-008,1.2592
2.40126e-008,1.2599
2.40550e-008,1.2619
2.40974e-008,1.2657
2.41398e-008,1.2695
2.41823e-008,1.2670
2.42247e-008,1.2619
2.42671e-008,1.2583
2.43095e-008,1.2562
2.43519e-008,1.2567
2.43944e-008,1.2593
2.44368e-008,1.2619
2.44792e-008,1.2635
2.45217e-008,1.2623
2.45641e-008,1.2602
2.46065e-008,1.2605
2.46489e-008,1.2612
2.46913e-008,1.2610
2.47338e-008,1.2603
2.47762e-008,1.2611
2.48186e-008,1.2614
2.48611e-008,1.2610
2.49035e-008,1.2612
2.49459e-008,1.2618
2.49883e-008,1.2612
2.50308e-008,1.2601
2.50732e-008,1.2600
2.51156e-008,1.2604
2.51580e-008,1.2609
2.52004e-008,1.2614
2.52429e-008,1.2553
2.52853e-008,1.1473
2.53277e-008,0.9262
2.53702e-008,0.7411
2.54126e-008,0.5574
2.54550e-008,0.4159
2.54974e-008,0.3349
2.55398e-008,0.2979
2.55823e-008,0.2821
2.56247e-008,0.2729
2.56671e-008,0.2561
2.57096e-008,0.2532
2.57520e-008,0.2545
2.57944e-008,0.2522
2.58368e-008,0.2395
2.58793e-008,0.2530
2.59217e-008,0.2880
2.59641e-008,0.2964
2.60065e-008,0.2976
2.60489e-008,0.2985
2.60914e-008,0.2770
2.61338e-008,0.2284
2.61762e-008,0.2028
2.62187e-008,0.2726
2.62611e-008,0.4612
2.63035e-008,0.6607
2.63459e-008,0.8833
2.63883e-008,1.0290
2.64308e-008,1.1147
2.64732e-008,1.1543
2.65156e-008,1.1747
2.65580e-008,1.1930
2.66005e-008,1.2113
2.66429e-008,1.2153
2.66853e-008,1.2181
2.67278e-008,1.2256
2.67702e-008,1.2336
2.68126e-008,1.2240
2.68550e-008,1.1982
2.68974e-008,1.1835
2.69399e-008,1.1675
2.69823e-008,1.1688
2.70247e-008,1.1936
2.70672e-008,1.2382
2.71096e-008,1.2679
2.71520e-008,1.2802
2.71944e-008,1.2781
2.72368e-008,1.2649
2.72793e-008,1.2529
2.73217e-008,1.2484
2.73641e-008,1.2512
2.74065e-008,1.2583
2.74490e-008,1.2605
2.74914e-008,1.2581
2.75338e-008,1.2595
2.75763e-008,1.2612
2.76187e-008,1.2610
2.76611e-008,1.2572
2.77035e-008,1.2584
2.77459e-008,1.2598
2.77884e-008,1.2607
2.78308e-008,1.2637
2.78732e-008,1.2683
2.79157e-008,1.2686
