.HEADER
..NAMES
Time,V U1.Y21
.DATA
1.12516e-008,1.2319
1.12975e-008,1.2312
1.13435e-008,1.2300
1.13894e-008,1.2291
1.14353e-008,1.2291
1.14812e-008,1.2302
1.15272e-008,1.2317
1.15731e-008,1.2328
1.16190e-008,1.2327
1.16649e-008,1.2314
1.17109e-008,1.2298
1.17568e-008,1.2288
1.18027e-008,1.2289
1.18487e-008,1.2301
1.18946e-008,1.2314
1.19405e-008,1.2322
1.19864e-008,1.2321
1.20324e-008,1.2312
1.20783e-008,1.2301
1.21242e-008,1.2296
1.21701e-008,1.2297
1.22161e-008,1.2303
1.22620e-008,1.2309
1.23079e-008,1.2312
1.23538e-008,1.2310
1.23997e-008,1.2306
1.24457e-008,1.2303
1.24916e-008,1.2304
1.25375e-008,1.2306
1.25834e-008,1.2308
1.26294e-008,1.2308
1.26753e-008,1.2305
1.27212e-008,1.2301
1.27672e-008,1.2300
1.28131e-008,1.2303
1.28590e-008,1.2307
1.29049e-008,1.2311
1.29509e-008,1.2311
1.29968e-008,1.2307
1.30427e-008,1.2302
1.30886e-008,1.2298
1.31346e-008,1.2298
1.31805e-008,1.2302
1.32264e-008,1.2307
1.32723e-008,1.2311
1.33182e-008,1.2310
1.33642e-008,1.2306
1.34101e-008,1.2301
1.34560e-008,1.2299
1.35019e-008,1.2299
1.35479e-008,1.1837
1.35938e-008,1.0352
1.36397e-008,0.9146
1.36856e-008,0.7650
1.37316e-008,0.6125
1.37775e-008,0.4684
1.38234e-008,0.3658
1.38694e-008,0.3048
1.39153e-008,0.2761
1.39612e-008,0.2591
1.40071e-008,0.2506
1.40531e-008,0.2452
1.40990e-008,0.2434
1.41449e-008,0.2490
1.41908e-008,0.2580
1.42367e-008,0.2623
1.42827e-008,0.2728
1.43286e-008,0.2799
1.43745e-008,0.2962
1.44204e-008,0.3206
1.44664e-008,0.3450
1.45123e-008,0.3555
1.45582e-008,0.3588
1.46041e-008,0.3435
1.46501e-008,0.3230
1.46960e-008,0.3067
1.47419e-008,0.2997
1.47879e-008,0.3009
1.48338e-008,0.3078
1.48797e-008,0.3116
1.49256e-008,0.3013
1.49715e-008,0.2794
1.50175e-008,0.2537
1.50634e-008,0.2308
1.51093e-008,0.2186
1.51552e-008,0.2229
1.52012e-008,0.2377
1.52471e-008,0.2532
1.52930e-008,0.2644
1.53389e-008,0.2676
1.53849e-008,0.2634
1.54308e-008,0.3150
1.54767e-008,0.4761
1.55226e-008,0.6077
1.55686e-008,0.7909
1.56145e-008,0.9591
1.56604e-008,1.0756
1.57063e-008,1.1480
1.57523e-008,1.1885
1.57982e-008,1.2079
1.58441e-008,1.2212
1.58901e-008,1.2265
1.59360e-008,1.2245
1.59819e-008,1.2199
1.60278e-008,1.2080
1.60738e-008,1.1995
1.61197e-008,1.1989
1.61656e-008,1.1947
1.62115e-008,1.1953
1.62575e-008,1.1816
1.63034e-008,1.1504
1.63493e-008,1.1180
1.63952e-008,1.0989
1.64412e-008,1.0952
1.64871e-008,1.1237
1.65330e-008,1.1610
1.65789e-008,1.1858
1.66249e-008,1.1907
1.66708e-008,1.1747
1.67167e-008,1.1507
1.67626e-008,1.1402
1.68085e-008,1.1581
1.68545e-008,1.1942
1.69004e-008,1.2330
1.69463e-008,1.2598
1.69922e-008,1.2640
1.70382e-008,1.2454
1.70841e-008,1.2208
1.71300e-008,1.2039
1.71759e-008,1.1984
1.72219e-008,1.2046
1.72678e-008,1.2168
1.73137e-008,1.2268
1.73596e-008,1.2317
1.74056e-008,1.2341
1.74515e-008,1.2349
1.74974e-008,1.2366
1.75433e-008,1.2380
1.75893e-008,1.2367
1.76352e-008,1.2319
1.76811e-008,1.2252
1.77271e-008,1.2213
1.77730e-008,1.2231
1.78189e-008,1.2312
1.78648e-008,1.2423
1.79108e-008,1.2496
1.79567e-008,1.2477
1.80026e-008,1.2379
1.80485e-008,1.2243
