.HEADER
..NAMES
Time,V U1.W26
.DATA
1.03941e-008,0.2202
1.04366e-008,0.2170
1.04790e-008,0.2138
1.05214e-008,0.2126
1.05638e-008,0.2093
1.06063e-008,0.2105
1.06487e-008,0.2192
1.06911e-008,0.2221
1.07335e-008,0.2333
1.07759e-008,0.3664
1.08184e-008,0.5388
1.08608e-008,0.7391
1.09032e-008,0.9193
1.09456e-008,1.0626
1.09881e-008,1.1520
1.10305e-008,1.2132
1.10729e-008,1.2519
1.11154e-008,1.2651
1.11578e-008,1.2485
1.12002e-008,1.2308
1.12426e-008,1.2061
1.12851e-008,1.1970
1.13275e-008,1.2089
1.13699e-008,1.2113
1.14123e-008,1.2007
1.14548e-008,1.1909
1.14972e-008,1.1860
1.15396e-008,1.1886
1.15820e-008,1.2083
1.16244e-008,1.2447
1.16669e-008,1.2372
1.17093e-008,1.0396
1.17517e-008,0.8164
1.17941e-008,0.6265
1.18366e-008,0.4608
1.18790e-008,0.3268
1.19214e-008,0.2574
1.19639e-008,0.2086
1.20063e-008,0.1817
1.20487e-008,0.1886
1.20911e-008,0.2322
1.21336e-008,0.2631
1.21760e-008,0.2878
1.22184e-008,0.2882
1.22608e-008,0.2630
1.23032e-008,0.2634
1.23457e-008,0.2916
1.23881e-008,0.3016
1.24305e-008,0.2972
1.24729e-008,0.2889
1.25154e-008,0.2581
1.25578e-008,0.2078
1.26002e-008,0.1945
1.26427e-008,0.3438
1.26851e-008,0.5446
1.27275e-008,0.7479
1.27699e-008,0.9344
1.28124e-008,1.0788
1.28548e-008,1.1656
1.28972e-008,1.2369
1.29396e-008,1.2785
1.29821e-008,1.2843
1.30245e-008,1.2497
1.30669e-008,1.2183
1.31093e-008,1.1896
1.31517e-008,1.1887
1.31942e-008,1.2123
1.32366e-008,1.2180
1.32790e-008,1.1983
1.33214e-008,1.1837
1.33639e-008,1.1765
1.34063e-008,1.1809
1.34487e-008,1.2087
1.34912e-008,1.2540
1.35336e-008,1.2572
1.35760e-008,1.0857
1.36184e-008,0.8469
1.36609e-008,0.6561
1.37033e-008,0.4896
1.37457e-008,0.3471
1.37881e-008,0.2693
1.38306e-008,0.2113
1.38730e-008,0.1788
1.39154e-008,0.1806
1.39578e-008,0.2264
1.40002e-008,0.2633
1.40427e-008,0.2896
1.40851e-008,0.2906
1.41275e-008,0.2649
1.41699e-008,0.2574
1.42124e-008,0.2873
