.HEADER
..NAMES
Time,V U1.L20
.DATA
1.12516e-008,1.2299
1.12975e-008,1.2298
1.13435e-008,1.2303
1.13894e-008,1.2311
1.14353e-008,1.2318
1.14812e-008,1.2320
1.15272e-008,1.2317
1.15731e-008,1.2311
1.16190e-008,1.2199
1.16649e-008,1.1279
1.17109e-008,0.9867
1.17568e-008,0.8416
1.18027e-008,0.6898
1.18487e-008,0.5193
1.18946e-008,0.3877
1.19405e-008,0.2963
1.19864e-008,0.2416
1.20324e-008,0.2142
1.20783e-008,0.2083
1.21242e-008,0.2018
1.21701e-008,0.1987
1.22161e-008,0.1957
1.22620e-008,0.1946
1.23079e-008,0.1925
1.23538e-008,0.1928
1.23997e-008,0.1955
1.24457e-008,0.2095
1.24916e-008,0.2342
1.25375e-008,0.2626
1.25834e-008,0.2846
1.26294e-008,0.2941
1.26753e-008,0.2884
1.27212e-008,0.2736
1.27672e-008,0.2571
1.28131e-008,0.2486
1.28590e-008,0.2527
1.29049e-008,0.2665
1.29509e-008,0.2814
1.29968e-008,0.2891
1.30427e-008,0.2839
1.30886e-008,0.2669
1.31346e-008,0.2456
1.31805e-008,0.2287
1.32264e-008,0.2214
1.32723e-008,0.2241
1.33182e-008,0.2334
1.33642e-008,0.2450
1.34101e-008,0.2551
1.34560e-008,0.2607
1.35019e-008,0.2717
1.35479e-008,0.3757
1.35938e-008,0.5254
1.36397e-008,0.6949
1.36856e-008,0.8745
1.37316e-008,1.0528
1.37775e-008,1.1515
1.38234e-008,1.2166
1.38694e-008,1.2504
1.39153e-008,1.2654
1.39612e-008,1.2660
1.40071e-008,1.2731
1.40531e-008,1.2717
1.40990e-008,1.2715
1.41449e-008,1.2729
1.41908e-008,1.2777
1.42367e-008,1.2825
1.42827e-008,1.2847
1.43286e-008,1.2716
1.43745e-008,1.2423
1.44204e-008,1.2054
1.44664e-008,1.1744
1.45123e-008,1.1632
1.45582e-008,1.1773
1.46041e-008,1.2069
1.46501e-008,1.2347
1.46960e-008,1.2440
1.47419e-008,1.2286
1.47879e-008,1.1991
1.48338e-008,1.1729
1.48797e-008,1.1647
1.49256e-008,1.1800
1.49715e-008,1.2112
1.50175e-008,1.2425
1.50634e-008,1.2603
1.51093e-008,1.2600
1.51552e-008,1.2465
1.52012e-008,1.2293
1.52471e-008,1.2164
1.52930e-008,1.2109
1.53389e-008,1.2116
1.53849e-008,1.2159
1.54308e-008,1.2220
1.54767e-008,1.2295
1.55226e-008,1.2375
1.55686e-008,1.2436
1.56145e-008,1.2449
1.56604e-008,1.2398
1.57063e-008,1.2303
1.57523e-008,1.2210
1.57982e-008,1.2169
1.58441e-008,1.2206
1.58901e-008,1.2302
1.59360e-008,1.2408
1.59819e-008,1.2466
1.60278e-008,1.2447
