.HEADER
..NAMES
Time,V U1.J26
.DATA
0.0e+000,1.2627
4.24e-011,1.2627
8.49e-011,1.2627
1.273e-010,1.2627
1.697e-010,1.2627
2.121e-010,1.2627
2.545e-010,1.2627
2.970e-010,1.2627
3.394e-010,1.2627
3.818e-010,1.2627
4.242e-010,1.2627
4.667e-010,1.2627
5.091e-010,1.2627
5.515e-010,1.2627
5.940e-010,1.2627
6.364e-010,1.2627
6.788e-010,1.2627
7.212e-010,1.2627
7.636e-010,1.2627
8.061e-010,1.2627
8.485e-010,1.2587
8.909e-010,1.1671
9.333e-010,0.9483
9.758e-010,0.7619
1.0182e-009,0.5734
1.0606e-009,0.4261
1.1030e-009,0.3385
1.1455e-009,0.2958
1.1879e-009,0.2634
1.2303e-009,0.2550
1.2728e-009,0.2533
1.3152e-009,0.2560
1.3576e-009,0.2668
1.4000e-009,0.2732
1.4425e-009,0.2494
1.4849e-009,0.2302
1.5273e-009,0.2447
1.5697e-009,0.2675
1.6121e-009,0.2789
1.6546e-009,0.2958
1.6970e-009,0.2817
1.7394e-009,0.2387
1.7819e-009,0.2139
1.8243e-009,0.2568
1.8667e-009,0.4337
1.9091e-009,0.6322
1.9516e-009,0.8553
1.9940e-009,1.0049
2.0364e-009,1.1015
2.0788e-009,1.1531
2.1213e-009,1.1887
2.1637e-009,1.2124
2.2061e-009,1.2217
2.2485e-009,1.2107
2.2910e-009,1.1978
2.3334e-009,1.1954
2.3758e-009,1.2169
2.4182e-009,1.2384
2.4606e-009,1.2419
2.5031e-009,1.2184
2.5455e-009,1.1925
2.5879e-009,1.1712
2.6303e-009,1.1829
2.6728e-009,1.2230
2.7152e-009,1.2559
2.7576e-009,1.2004
2.8000e-009,0.9654
2.8425e-009,0.7491
2.8849e-009,0.5516
2.9273e-009,0.4110
2.9698e-009,0.3300
3.0122e-009,0.2909
3.0546e-009,0.2587
3.0970e-009,0.2438
3.1395e-009,0.2466
3.1819e-009,0.2578
3.2243e-009,0.2731
3.2667e-009,0.2830
3.3092e-009,0.2526
3.3516e-009,0.2228
3.3940e-009,0.2307
3.4364e-009,0.2666
3.4789e-009,0.2884
3.5213e-009,0.3067
3.5637e-009,0.2908
3.6061e-009,0.2384
3.6485e-009,0.2045
3.6910e-009,0.2235
3.7334e-009,0.3954
3.7758e-009,0.6000
3.8183e-009,0.8234
3.8607e-009,0.9812
3.9031e-009,1.0845
3.9455e-009,1.1446
3.9879e-009,1.1836
4.0304e-009,1.2123
4.0728e-009,1.2214
4.1152e-009,1.2116
4.1577e-009,1.1975
4.2001e-009,1.1916
4.2425e-009,1.2132
4.2849e-009,1.2383
4.3274e-009,1.2470
4.3698e-009,1.2217
4.4122e-009,1.1946
4.4546e-009,1.1709
4.4970e-009,1.1778
4.5395e-009,1.2174
4.5819e-009,1.2544
4.6243e-009,1.2734
4.6668e-009,1.2754
4.7092e-009,1.2644
4.7516e-009,1.2575
4.7940e-009,1.2555
4.8364e-009,1.2588
4.8789e-009,1.2591
4.9213e-009,1.2582
4.9637e-009,1.2541
5.0062e-009,1.2549
5.0486e-009,1.2632
5.0910e-009,1.2709
5.1334e-009,1.2708
5.1758e-009,1.2638
5.2183e-009,1.2578
5.2607e-009,1.2554
5.3031e-009,1.2593
5.3456e-009,1.2683
5.3880e-009,1.2718
5.4304e-009,1.2690
5.4728e-009,1.2636
5.5153e-009,1.2588
5.5577e-009,1.2384
5.6001e-009,1.0618
5.6425e-009,0.8541
5.6849e-009,0.6643
5.7274e-009,0.4949
5.7698e-009,0.3728
5.8122e-009,0.3103
5.8547e-009,0.2779
5.8971e-009,0.2583
5.9395e-009,0.2568
5.9819e-009,0.2534
6.0243e-009,0.2566
6.0668e-009,0.2718
6.1092e-009,0.2633
6.1516e-009,0.2398
6.1941e-009,0.2346
6.2365e-009,0.2595
6.2789e-009,0.2711
6.3213e-009,0.2872
6.3637e-009,0.2939
6.4062e-009,0.2610
6.4486e-009,0.2242
6.4910e-009,0.2080
6.5335e-009,0.1972
6.5759e-009,0.2024
6.6183e-009,0.2129
6.6607e-009,0.2170
6.7032e-009,0.2179
6.7456e-009,0.2211
6.7880e-009,0.2168
6.8304e-009,0.2172
6.8728e-009,0.2220
6.9153e-009,0.2173
6.9577e-009,0.2081
7.0001e-009,0.2088
7.0426e-009,0.2145
7.0850e-009,0.2165
7.1274e-009,0.2187
7.1698e-009,0.2194
7.2122e-009,0.2120
7.2547e-009,0.2080
7.2971e-009,0.2099
7.3395e-009,0.2120
7.3820e-009,0.2164
7.4244e-009,0.2190
7.4668e-009,0.2168
7.5092e-009,0.2156
7.5516e-009,0.2157
7.5941e-009,0.2138
7.6365e-009,0.2143
7.6789e-009,0.2169
7.7213e-009,0.2152
7.7638e-009,0.2127
7.8062e-009,0.2139
7.8486e-009,0.2156
7.8910e-009,0.2160
7.9335e-009,0.2163
7.9759e-009,0.2158
8.0183e-009,0.2140
8.0608e-009,0.2138
8.1032e-009,0.2146
8.1456e-009,0.2151
8.1880e-009,0.2162
8.2305e-009,0.2162
8.2729e-009,0.2147
8.3153e-009,0.2146
8.3577e-009,0.2150
8.4001e-009,0.3014
8.4426e-009,0.4731
8.4850e-009,0.6618
8.5274e-009,0.8623
8.5698e-009,1.0061
8.6123e-009,1.0987
8.6547e-009,1.1525
8.6971e-009,1.1899
8.7396e-009,1.2058
8.7820e-009,1.2162
8.8244e-009,1.2138
8.8668e-009,1.2042
8.9093e-009,1.2029
8.9517e-009,1.2196
8.9941e-009,1.2362
9.0365e-009,1.2309
9.0790e-009,1.2173
9.1214e-009,1.1967
9.1638e-009,1.1800
9.2062e-009,1.1948
9.2486e-009,1.2272
9.2911e-009,1.2533
9.3335e-009,1.2722
9.3759e-009,1.2718
9.4183e-009,1.2633
9.4608e-009,1.2582
9.5032e-009,1.2574
9.5456e-009,1.2567
9.5881e-009,1.2590
9.6305e-009,1.2593
9.6729e-009,1.2564
9.7153e-009,1.2578
9.7578e-009,1.2646
9.8002e-009,1.2685
9.8426e-009,1.2675
9.8850e-009,1.2636
9.9274e-009,1.2597
9.9699e-009,1.2572
1.00123e-008,1.2623
1.00547e-008,1.2680
1.00971e-008,1.2693
1.01396e-008,1.2679
1.01820e-008,1.2633
1.02244e-008,1.2547
1.02668e-008,1.1612
1.03093e-008,0.9446
1.03517e-008,0.7602
1.03941e-008,0.5731
1.04366e-008,0.4259
1.04790e-008,0.3371
1.05214e-008,0.2950
1.05638e-008,0.2644
1.06063e-008,0.2570
1.06487e-008,0.2543
1.06911e-008,0.2558
1.07335e-008,0.2659
1.07759e-008,0.2719
1.08184e-008,0.2495
1.08608e-008,0.2320
1.09032e-008,0.2467
1.09456e-008,0.2682
1.09881e-008,0.2785
1.10305e-008,0.2948
1.10729e-008,0.2811
1.11154e-008,0.2390
1.11578e-008,0.2147
1.12002e-008,0.2601
1.12426e-008,0.4380
1.12851e-008,0.6363
1.13275e-008,0.8591
1.13699e-008,1.0083
1.14123e-008,1.1039
1.14548e-008,1.1544
1.14972e-008,1.1895
1.15396e-008,1.2125
1.15820e-008,1.2219
1.16244e-008,1.2111
1.16669e-008,1.1983
1.17093e-008,1.1960
1.17517e-008,1.2175
1.17941e-008,1.2388
1.18366e-008,1.2417
1.18790e-008,1.2184
1.19214e-008,1.1926
1.19639e-008,1.1715
1.20063e-008,1.1838
1.20487e-008,1.2240
1.20911e-008,1.2558
1.21336e-008,1.1966
1.21760e-008,0.9606
1.22184e-008,0.7455
1.22608e-008,0.5484
1.23032e-008,0.4089
1.23457e-008,0.3290
1.23881e-008,0.2906
1.24305e-008,0.2586
1.24729e-008,0.2442
1.25154e-008,0.2469
1.25578e-008,0.2583
1.26002e-008,0.2737
1.26427e-008,0.2829
1.26851e-008,0.2521
1.27275e-008,0.2229
1.27699e-008,0.2316
1.28124e-008,0.2674
1.28548e-008,0.2890
1.28972e-008,0.3070
1.29396e-008,0.2902
1.29821e-008,0.2377
1.30245e-008,0.2044
1.30669e-008,0.1951
1.31093e-008,0.1969
1.31517e-008,0.2116
1.31942e-008,0.2189
1.32366e-008,0.2174
1.32790e-008,0.2169
1.33214e-008,0.2190
1.33639e-008,0.2178
1.34063e-008,0.2225
1.34487e-008,0.2235
1.34912e-008,0.2115
1.35336e-008,0.2034
1.35760e-008,0.2085
1.36184e-008,0.2173
1.36609e-008,0.2210
1.37033e-008,0.2223
1.37457e-008,0.2167
1.37881e-008,0.2067
1.38306e-008,0.2060
1.38730e-008,0.2107
1.39154e-008,0.2154
1.39578e-008,0.2203
1.40002e-008,0.2193
1.40427e-008,0.2153
1.40851e-008,0.2144
1.41275e-008,0.2149
1.41699e-008,0.2144
1.42124e-008,0.2166
1.42548e-008,0.2172
1.42972e-008,0.2134
1.43397e-008,0.2119
1.43821e-008,0.2145
1.44245e-008,0.2168
1.44669e-008,0.2174
1.45094e-008,0.2168
1.45518e-008,0.2147
1.45942e-008,0.2129
1.46366e-008,0.2138
1.46790e-008,0.2153
1.47215e-008,0.2163
1.47639e-008,0.2170
1.48063e-008,0.2157
1.48487e-008,0.2141
1.48912e-008,0.2145
1.49336e-008,0.2151
1.49760e-008,0.2151
1.50185e-008,0.2159
1.50609e-008,0.2159
1.51033e-008,0.2146
1.51457e-008,0.2144
1.51881e-008,0.2153
1.52306e-008,0.2158
1.52730e-008,0.2158
1.53154e-008,0.2154
1.53579e-008,0.2147
1.54003e-008,0.2146
1.54427e-008,0.2151
1.54851e-008,0.2154
1.55276e-008,0.2156
1.55700e-008,0.2157
1.56124e-008,0.2151
1.56548e-008,0.2147
1.56972e-008,0.2151
1.57397e-008,0.2154
1.57821e-008,0.2153
1.58245e-008,0.2155
1.58670e-008,0.2154
1.59094e-008,0.2150
1.59518e-008,0.2150
1.59942e-008,0.2153
1.60366e-008,0.2155
1.60791e-008,0.2154
1.61215e-008,0.2152
1.61639e-008,0.2150
1.62064e-008,0.2151
1.62488e-008,0.2153
1.62912e-008,0.2154
1.63336e-008,0.2154
1.63761e-008,0.2154
1.64185e-008,0.2152
1.64609e-008,0.2151
1.65033e-008,0.2153
1.65457e-008,0.2154
1.65882e-008,0.2153
1.66306e-008,0.2154
1.66730e-008,0.2153
1.67155e-008,0.2152
1.67579e-008,0.2153
1.68003e-008,0.2175
1.68427e-008,0.3208
1.68851e-008,0.4946
1.69276e-008,0.6892
1.69700e-008,0.8828
1.70124e-008,1.0211
1.70548e-008,1.1080
1.70973e-008,1.1586
1.71397e-008,1.1930
1.71821e-008,1.2066
1.72246e-008,1.2166
1.72670e-008,1.2141
1.73094e-008,1.2037
1.73518e-008,1.2046
1.73942e-008,1.2216
1.74367e-008,1.2368
1.74791e-008,1.2291
1.75215e-008,1.2162
1.75640e-008,1.1940
1.76064e-008,1.1803
1.76488e-008,1.1990
1.76912e-008,1.2309
1.77336e-008,1.2416
1.77761e-008,1.1090
1.78185e-008,0.8672
1.78609e-008,0.6655
1.79033e-008,0.4893
1.79458e-008,0.3712
1.79882e-008,0.3081
1.80306e-008,0.2779
1.80731e-008,0.2513
1.81155e-008,0.2475
1.81579e-008,0.2493
1.82003e-008,0.2619
1.82427e-008,0.2793
1.82852e-008,0.2740
1.83276e-008,0.2406
1.83700e-008,0.2227
1.84125e-008,0.2476
1.84549e-008,0.2753
1.84973e-008,0.2951
1.85397e-008,0.3048
1.85822e-008,0.2716
1.86246e-008,0.2220
1.86670e-008,0.2008
1.87094e-008,0.2880
1.87518e-008,0.4875
1.87943e-008,0.6951
1.88367e-008,0.9006
1.88791e-008,1.0332
1.89216e-008,1.1167
1.89640e-008,1.1622
1.90064e-008,1.1981
1.90488e-008,1.2174
1.90912e-008,1.2219
1.91337e-008,1.2058
1.91761e-008,1.1925
1.92185e-008,1.1984
1.92610e-008,1.2253
1.93034e-008,1.2462
1.93458e-008,1.2384
1.93882e-008,1.2116
1.94307e-008,1.1836
1.94731e-008,1.1697
1.95155e-008,1.1931
1.95579e-008,1.2357
1.96003e-008,1.2568
1.96428e-008,1.1530
1.96852e-008,0.9056
1.97276e-008,0.6998
1.97701e-008,0.5142
1.98125e-008,0.3881
1.98549e-008,0.3197
1.98973e-008,0.2850
1.99397e-008,0.2522
1.99822e-008,0.2443
2.00246e-008,0.2484
2.00670e-008,0.2628
2.01095e-008,0.2797
2.01519e-008,0.2793
2.01943e-008,0.2434
2.02367e-008,0.2196
