.HEADER
..NAMES
Time,V U1.N24
.DATA
1.03941e-008,0.2161
1.04366e-008,0.2166
1.04790e-008,0.2168
1.05214e-008,0.2166
1.05638e-008,0.2164
1.06063e-008,0.2162
1.06487e-008,0.2162
1.06911e-008,0.2164
1.07335e-008,0.2868
1.07759e-008,0.4609
1.08184e-008,0.6377
1.08608e-008,0.8507
1.09032e-008,0.9964
1.09456e-008,1.0816
1.09881e-008,1.1342
1.10305e-008,1.1616
1.10729e-008,1.1884
1.11154e-008,1.2103
1.11578e-008,1.2288
1.12002e-008,1.2358
1.12426e-008,1.2278
1.12851e-008,1.2053
1.13275e-008,1.1747
1.13699e-008,1.1545
1.14123e-008,1.1627
1.14548e-008,1.1853
1.14972e-008,1.2214
1.15396e-008,1.2532
1.15820e-008,1.2619
1.16244e-008,1.2596
1.16669e-008,1.2537
1.17093e-008,1.2492
1.17517e-008,1.2523
1.17941e-008,1.2575
1.18366e-008,1.2607
1.18790e-008,1.2615
1.19214e-008,1.2585
1.19639e-008,1.2553
1.20063e-008,1.2541
1.20487e-008,1.2557
1.20911e-008,1.2604
1.21336e-008,1.2663
1.21760e-008,1.2709
1.22184e-008,1.2707
1.22608e-008,1.2672
1.23032e-008,1.2627
1.23457e-008,1.2587
1.23881e-008,1.2581
1.24305e-008,1.2602
1.24729e-008,1.2621
1.25154e-008,1.2631
1.25578e-008,1.2627
1.26002e-008,1.2614
1.26427e-008,1.2609
1.26851e-008,1.2610
1.27275e-008,1.2619
1.27699e-008,1.2629
1.28124e-008,1.2634
1.28548e-008,1.2632
1.28972e-008,1.2625
1.29396e-008,1.2615
1.29821e-008,1.2608
1.30245e-008,1.2607
1.30669e-008,1.2614
1.31093e-008,1.2621
1.31517e-008,1.2626
1.31942e-008,1.2627
1.32366e-008,1.2622
1.32790e-008,1.2618
1.33214e-008,1.2617
1.33639e-008,1.2618
1.34063e-008,1.2621
1.34487e-008,1.2623
1.34912e-008,1.2622
1.35336e-008,1.2621
1.35760e-008,1.2618
1.36184e-008,1.2617
1.36609e-008,1.2618
1.37033e-008,1.2619
1.37457e-008,1.2621
1.37881e-008,1.2622
1.38306e-008,1.2622
1.38730e-008,1.2621
1.39154e-008,1.2619
1.39578e-008,1.2619
1.40002e-008,1.2619
