.HEADER
..NAMES
Time,V U1.P26
.DATA
1.03093e-008,-0.1146
1.03517e-008,-0.0696
1.03941e-008,-0.0544
1.04366e-008,-0.0422
1.04790e-008,-0.0419
1.05214e-008,-0.0815
1.05638e-008,-0.1212
1.06063e-008,-0.1273
1.06487e-008,-0.1203
1.06911e-008,-0.0999
1.07335e-008,-0.0626
1.07759e-008,-0.0411
1.08184e-008,-0.0447
1.08608e-008,-0.0381
1.09032e-008,-0.0066
1.09456e-008,0.0452
1.09881e-008,0.0965
1.10305e-008,0.1268
1.10729e-008,0.1307
1.11154e-008,0.1185
1.11578e-008,0.0879
1.12002e-008,0.0455
1.12426e-008,0.0594
1.12851e-008,0.1525
1.13275e-008,0.3179
1.13699e-008,0.5075
1.14123e-008,0.6873
1.14548e-008,0.8221
1.14972e-008,0.8967
1.15396e-008,0.9276
1.15820e-008,0.9134
1.16244e-008,0.8946
1.16669e-008,0.8852
1.17093e-008,0.8946
1.17517e-008,0.9091
1.17941e-008,0.9201
1.18366e-008,0.9101
1.18790e-008,0.8974
1.19214e-008,0.9153
1.19639e-008,0.9900
1.20063e-008,1.1220
1.20487e-008,1.2866
1.20911e-008,1.4394
1.21336e-008,1.4607
1.21760e-008,1.2147
1.22184e-008,0.9741
1.22608e-008,0.7691
1.23032e-008,0.6246
1.23457e-008,0.5593
1.23881e-008,0.5420
1.24305e-008,0.5851
1.24729e-008,0.6723
1.25154e-008,0.7387
1.25578e-008,0.7447
1.26002e-008,0.7432
1.26427e-008,0.7183
1.26851e-008,0.6769
1.27275e-008,0.6762
1.27699e-008,0.6988
1.28124e-008,0.6096
1.28548e-008,0.4122
1.28972e-008,0.1756
1.29396e-008,-0.0451
1.29821e-008,-0.1996
1.30245e-008,-0.2275
1.30669e-008,-0.1836
1.31093e-008,-0.1231
1.31517e-008,-0.0642
1.31942e-008,-0.0361
1.32366e-008,-0.0229
1.32790e-008,-0.0196
1.33214e-008,-0.0589
1.33639e-008,-0.1178
1.34063e-008,-0.1403
1.34487e-008,-0.1375
1.34912e-008,-0.1174
1.35336e-008,-0.0738
1.35760e-008,-0.0362
1.36184e-008,-0.0323
1.36609e-008,-0.0297
1.37033e-008,-0.0045
1.37457e-008,0.0423
1.37881e-008,0.0933
1.38306e-008,0.1273
1.38730e-008,0.1343
1.39154e-008,0.1232
1.39578e-008,0.0964
1.40002e-008,0.0551
1.40427e-008,0.0240
1.40851e-008,0.0088
1.41275e-008,-0.0027
1.41699e-008,0.0009
1.42124e-008,0.0290
1.42548e-008,0.0600
1.42972e-008,0.0780
1.43397e-008,0.0787
1.43821e-008,0.0603
1.44245e-008,0.0336
1.44669e-008,0.0147
1.45094e-008,0.0047
1.45518e-008,0.0009
1.45942e-008,-0.0051
1.46366e-008,-0.0225
1.46790e-008,-0.0415
1.47215e-008,-0.0494
1.47639e-008,-0.0498
1.48063e-008,-0.0467
1.48487e-008,-0.0356
1.48912e-008,-0.0205
1.49336e-008,-0.0082
1.49760e-008,0.0029
1.50185e-008,0.0648
1.50609e-008,0.1763
1.51033e-008,0.3229
1.51457e-008,0.4560
1.51881e-008,0.5712
1.52306e-008,0.6677
1.52730e-008,0.7434
1.53154e-008,0.7918
1.53579e-008,0.8131
1.54003e-008,0.8212
1.54427e-008,0.8296
1.54851e-008,0.8403
1.55276e-008,0.8595
1.55700e-008,0.8802
1.56124e-008,0.8927
1.56548e-008,0.9051
1.56972e-008,0.9473
1.57397e-008,1.0396
1.57821e-008,1.1646
1.58245e-008,1.3004
1.58670e-008,1.4173
1.59094e-008,1.4985
1.59518e-008,1.5363
1.59942e-008,1.5479
1.60366e-008,1.5478
1.60791e-008,1.5449
1.61215e-008,1.5404
1.61639e-008,1.5372
1.62064e-008,1.5447
1.62488e-008,1.5627
1.62912e-008,1.5807
1.63336e-008,1.5905
1.63761e-008,1.5907
1.64185e-008,1.5824
1.64609e-008,1.5725
1.65033e-008,1.5675
1.65457e-008,1.5642
1.65882e-008,1.5510
1.66306e-008,1.5244
1.66730e-008,1.4910
1.67155e-008,1.4627
1.67579e-008,1.4456
1.68003e-008,1.4587
1.68427e-008,1.4862
1.68851e-008,1.3991
1.69276e-008,1.2801
1.69700e-008,1.1147
1.70124e-008,0.9287
1.70548e-008,0.7799
1.70973e-008,0.6674
1.71397e-008,0.5866
1.71821e-008,0.5590
1.72246e-008,0.5548
1.72670e-008,0.5500
1.73094e-008,0.5590
1.73518e-008,0.5655
1.73942e-008,0.5414
1.74367e-008,0.5258
1.74791e-008,0.5456
1.75215e-008,0.5427
1.75640e-008,0.4973
1.76064e-008,0.4062
1.76488e-008,0.2647
1.76912e-008,0.0898
1.77336e-008,-0.0497
1.77761e-008,-0.1387
1.78185e-008,-0.1711
1.78609e-008,-0.1556
1.79033e-008,-0.1326
1.79458e-008,-0.1086
1.79882e-008,-0.0757
1.80306e-008,-0.0625
1.80731e-008,-0.0752
1.81155e-008,-0.0909
1.81579e-008,-0.1104
1.82003e-008,-0.1293
1.82427e-008,-0.1285
1.82852e-008,-0.1134
1.83276e-008,-0.1033
1.83700e-008,-0.0969
1.84125e-008,-0.0914
1.84549e-008,-0.0764
1.84973e-008,-0.0427
1.85397e-008,0.0017
1.85822e-008,0.0418
1.86246e-008,0.0748
1.86670e-008,0.0935
1.87094e-008,0.0893
1.87518e-008,0.0745
1.87943e-008,0.0593
1.88367e-008,0.0395
1.88791e-008,0.0225
1.89216e-008,0.0184
1.89640e-008,0.0249
1.90064e-008,0.0394
1.90488e-008,0.0567
1.90912e-008,0.0661
1.91337e-008,0.0653
1.91761e-008,0.0586
1.92185e-008,0.0480
1.92610e-008,0.0401
1.93034e-008,0.0361
1.93458e-008,0.0275
1.93882e-008,0.0122
1.94307e-008,-0.0038
1.94731e-008,-0.0187
1.95155e-008,-0.0313
1.95579e-008,-0.0366
1.96003e-008,-0.0351
1.96428e-008,-0.0297
1.96852e-008,-0.0212
1.97276e-008,-0.0118
1.97701e-008,-0.0050
1.98125e-008,-0.0026
1.98549e-008,-0.0069
1.98973e-008,-0.0171
1.99397e-008,-0.0268
1.99822e-008,-0.0319
2.00246e-008,-0.0324
2.00670e-008,-0.0279
2.01095e-008,-0.0209
2.01519e-008,-0.0159
2.01943e-008,-0.0120
2.02367e-008,-0.0071
2.02792e-008,-0.0014
2.03216e-008,0.0044
2.03640e-008,0.0095
2.04064e-008,0.0127
2.04488e-008,0.0141
2.04913e-008,0.0140
2.05337e-008,0.0117
2.05761e-008,0.0041
2.06186e-008,0.0291
2.06610e-008,0.1129
2.07034e-008,0.2690
2.07458e-008,0.4371
2.07882e-008,0.5870
2.08307e-008,0.7049
2.08731e-008,0.7815
2.09155e-008,0.8292
2.09580e-008,0.8431
2.10004e-008,0.8470
2.10428e-008,0.8478
2.10852e-008,0.8584
2.11277e-008,0.8694
2.11701e-008,0.8845
2.12125e-008,0.8950
2.12549e-008,0.9019
2.12973e-008,0.9236
2.13398e-008,0.9911
2.13822e-008,1.1072
2.14246e-008,1.2489
2.14671e-008,1.3857
2.15095e-008,1.4887
2.15519e-008,1.5429
2.15943e-008,1.5534
2.16367e-008,1.5431
2.16792e-008,1.5305
2.17216e-008,1.5263
2.17640e-008,1.5296
2.18064e-008,1.5427
2.18489e-008,1.5658
2.18913e-008,1.5912
2.19337e-008,1.6058
2.19762e-008,1.6082
2.20186e-008,1.5998
2.20610e-008,1.5861
2.21034e-008,1.5742
2.21458e-008,1.5674
2.21883e-008,1.5577
2.22307e-008,1.5364
2.22731e-008,1.5037
2.23156e-008,1.4690
2.23580e-008,1.4438
2.24004e-008,1.4329
2.24428e-008,1.4366
2.24852e-008,1.4512
2.25277e-008,1.4700
2.25701e-008,1.4846
2.26125e-008,1.4918
2.26549e-008,1.4915
2.26974e-008,1.4835
2.27398e-008,1.4687
2.27822e-008,1.4536
2.28247e-008,1.4448
2.28671e-008,1.4453
2.29095e-008,1.4531
2.29519e-008,1.4636
2.29943e-008,1.4719
2.30368e-008,1.4770
2.30792e-008,1.4812
2.31216e-008,1.4884
2.31641e-008,1.4997
2.32065e-008,1.5112
2.32489e-008,1.5187
2.32913e-008,1.5208
2.33338e-008,1.5180
2.33762e-008,1.5115
2.34186e-008,1.5036
2.34610e-008,1.4974
2.35034e-008,1.4945
2.35459e-008,1.4955
2.35883e-008,1.5008
2.36307e-008,1.5091
2.36732e-008,1.5173
2.37156e-008,1.5217
2.37580e-008,1.5204
2.38004e-008,1.5150
2.38428e-008,1.5085
2.38853e-008,1.5033
2.39277e-008,1.5005
2.39701e-008,1.4990
2.40126e-008,1.4971
2.40550e-008,1.4941
2.40974e-008,1.4913
2.41398e-008,1.4899
2.41823e-008,1.4901
2.42247e-008,1.4915
2.42671e-008,1.4939
2.43095e-008,1.4966
2.43519e-008,1.4990
2.43944e-008,1.5002
2.44368e-008,1.4994
2.44792e-008,1.4966
2.45217e-008,1.4925
2.45641e-008,1.4885
2.46065e-008,1.4867
2.46489e-008,1.4878
2.46913e-008,1.4910
2.47338e-008,1.4946
2.47762e-008,1.4973
2.48186e-008,1.4987
2.48611e-008,1.4991
2.49035e-008,1.4994
2.49459e-008,1.4997
2.49883e-008,1.5000
2.50308e-008,1.4999
2.50732e-008,1.4995
2.51156e-008,1.4991
2.51580e-008,1.4986
2.52004e-008,1.4979
2.52429e-008,1.4971
2.52853e-008,1.4967
2.53277e-008,1.4971
2.53702e-008,1.4984
2.54126e-008,1.5003
2.54550e-008,1.5020
2.54974e-008,1.5026
2.55398e-008,1.5019
2.55823e-008,1.5002
2.56247e-008,1.4984
2.56671e-008,1.4971
2.57096e-008,1.4965
2.57520e-008,1.4965
2.57944e-008,1.4967
2.58368e-008,1.4970
2.58793e-008,1.4973
2.59217e-008,1.4977
2.59641e-008,1.4979
2.60065e-008,1.4979
2.60489e-008,1.4978
2.60914e-008,1.4978
2.61338e-008,1.4980
2.61762e-008,1.5103
2.62187e-008,1.5002
2.62611e-008,1.3760
2.63035e-008,1.2426
2.63459e-008,1.0746
2.63883e-008,0.9005
2.64308e-008,0.7693
2.64732e-008,0.6801
2.65156e-008,0.6266
2.65580e-008,0.6179
2.66005e-008,0.6148
2.66429e-008,0.6047
2.66853e-008,0.6043
2.67278e-008,0.6003
2.67702e-008,0.5731
2.68126e-008,0.5631
2.68550e-008,0.5731
2.68974e-008,0.5427
2.69399e-008,0.4689
2.69823e-008,0.3596
2.70247e-008,0.2146
2.70672e-008,0.0550
2.71096e-008,-0.0591
2.71520e-008,-0.1269
2.71944e-008,-0.1465
2.72368e-008,-0.1316
2.72793e-008,-0.1146
2.73217e-008,-0.0961
2.73641e-008,-0.0738
2.74065e-008,-0.0744
2.74490e-008,-0.0924
2.74914e-008,-0.1041
2.75338e-008,-0.1153
2.75763e-008,-0.1240
2.76187e-008,-0.1154
2.76611e-008,-0.1000
2.77035e-008,-0.0927
2.77459e-008,-0.0859
2.77884e-008,-0.0749
2.78308e-008,-0.0536
2.78732e-008,-0.0199
2.79157e-008,0.0176
2.79581e-008,0.0486
