.HEADER
..NAMES
Time,V U1.T24
.DATA
1.03941e-008,1.1958
1.04366e-008,1.2202
1.04790e-008,1.2329
1.05214e-008,1.2275
1.05638e-008,1.2070
1.06063e-008,1.1844
1.06487e-008,1.1774
1.06911e-008,1.1873
1.07335e-008,1.0951
1.07759e-008,0.8644
1.08184e-008,0.6730
1.08608e-008,0.4664
1.09032e-008,0.3368
1.09456e-008,0.2854
1.09881e-008,0.2565
1.10305e-008,0.2586
1.10729e-008,0.2636
1.11154e-008,0.2602
1.11578e-008,0.2801
1.12002e-008,0.3016
1.12426e-008,0.2992
1.12851e-008,0.3012
1.13275e-008,0.2809
1.13699e-008,0.2472
1.14123e-008,0.2356
1.14548e-008,0.2509
1.14972e-008,0.2776
1.15396e-008,0.3012
1.15820e-008,0.3027
1.16244e-008,0.2751
1.16669e-008,0.2364
1.17093e-008,0.2079
1.17517e-008,0.2010
1.17941e-008,0.2112
1.18366e-008,0.2205
1.18790e-008,0.2245
1.19214e-008,0.2266
1.19639e-008,0.2219
1.20063e-008,0.2187
1.20487e-008,0.2218
1.20911e-008,0.2210
1.21336e-008,0.2176
1.21760e-008,0.2146
1.22184e-008,0.2095
1.22608e-008,0.2076
1.23032e-008,0.2111
1.23457e-008,0.2164
1.23881e-008,0.2221
1.24305e-008,0.2224
1.24729e-008,0.2175
1.25154e-008,0.2128
1.25578e-008,0.2095
1.26002e-008,0.2520
1.26427e-008,0.4269
1.26851e-008,0.6113
1.27275e-008,0.8456
1.27699e-008,1.0096
1.28124e-008,1.1071
1.28548e-008,1.1619
1.28972e-008,1.1885
1.29396e-008,1.1979
1.29821e-008,1.2099
1.30245e-008,1.2020
1.30669e-008,1.1858
1.31093e-008,1.1816
1.31517e-008,1.1769
1.31942e-008,1.1895
1.32366e-008,1.2148
1.32790e-008,1.2328
1.33214e-008,1.2310
1.33639e-008,1.2133
1.34063e-008,1.1886
1.34487e-008,1.1760
1.34912e-008,1.1879
1.35336e-008,1.2180
1.35760e-008,1.2484
1.36184e-008,1.2656
1.36609e-008,1.2647
1.37033e-008,1.2570
1.37457e-008,1.2524
1.37881e-008,1.2506
1.38306e-008,1.2548
1.38730e-008,1.2588
1.39154e-008,1.2578
1.39578e-008,1.2577
1.40002e-008,1.2598
1.40427e-008,1.2626
1.40851e-008,1.2675
1.41275e-008,1.2705
1.41699e-008,1.2692
1.42124e-008,1.2655
1.42548e-008,1.2603
1.42972e-008,1.2579
1.43397e-008,1.2604
1.43821e-008,1.2645
1.44245e-008,1.2686
1.44669e-008,1.2696
1.45094e-008,1.2660
1.45518e-008,1.2619
1.45942e-008,1.2601
1.46366e-008,1.2605
