.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
1.03962e-008,0.2872
1.04386e-008,0.2891
1.04810e-008,0.2906
1.05235e-008,0.2909
1.05659e-008,0.2843
1.06083e-008,0.2554
1.06507e-008,0.2236
1.06932e-008,0.2119
1.07356e-008,0.2633
1.07780e-008,0.4305
1.08205e-008,0.6073
1.08629e-008,0.8120
1.09053e-008,0.9697
1.09477e-008,1.0780
1.09902e-008,1.1450
1.10326e-008,1.1659
1.10750e-008,1.1721
1.11174e-008,1.1604
1.11598e-008,1.1371
1.12023e-008,1.1329
1.12447e-008,1.1443
1.12871e-008,1.1680
1.13295e-008,1.1861
1.13720e-008,1.1918
1.14144e-008,1.1905
1.14568e-008,1.1878
1.14993e-008,1.1930
1.15417e-008,1.2162
1.15841e-008,1.2384
1.16265e-008,1.2472
1.16690e-008,1.1960
1.17114e-008,0.9910
1.17538e-008,0.7833
1.17962e-008,0.5841
1.18387e-008,0.4375
1.18811e-008,0.3375
1.19235e-008,0.2773
1.19659e-008,0.2648
1.20083e-008,0.2747
1.20508e-008,0.2978
1.20932e-008,0.3307
1.21356e-008,0.3413
1.21780e-008,0.3229
1.22205e-008,0.2970
1.22629e-008,0.2871
1.23053e-008,0.2887
1.23478e-008,0.2905
1.23902e-008,0.2909
1.24326e-008,0.2872
1.24750e-008,0.2623
1.25175e-008,0.2285
1.25599e-008,0.2117
1.26023e-008,0.2345
1.26447e-008,0.3941
1.26871e-008,0.5724
1.27296e-008,0.7753
1.27720e-008,0.9418
1.28144e-008,1.0607
1.28568e-008,1.1363
1.28993e-008,1.1640
1.29417e-008,1.1717
1.29841e-008,1.1642
1.30265e-008,1.1410
1.30690e-008,1.1318
1.31114e-008,1.1413
1.31538e-008,1.1628
1.31963e-008,1.1839
1.32387e-008,1.1913
1.32811e-008,1.1911
1.33235e-008,1.1881
1.33660e-008,1.1905
1.34084e-008,1.2108
1.34508e-008,1.2352
1.34932e-008,1.2462
1.35356e-008,1.2206
1.35781e-008,1.0376
1.36205e-008,0.8206
1.36629e-008,0.6186
1.37053e-008,0.4635
1.37478e-008,0.3535
1.37902e-008,0.2847
1.38326e-008,0.2642
1.38751e-008,0.2719
1.39175e-008,0.2922
1.39599e-008,0.3246
1.40023e-008,0.3423
1.40448e-008,0.3275
1.40872e-008,0.3016
1.41296e-008,0.2874
1.41720e-008,0.2883
1.42145e-008,0.2902
1.42569e-008,0.2908
1.42993e-008,0.2891
1.43417e-008,0.2689
1.43841e-008,0.2342
1.44266e-008,0.2134
1.44690e-008,0.2175
1.45114e-008,0.3570
1.45538e-008,0.5379
1.45963e-008,0.7349
1.46387e-008,0.9120
1.46811e-008,1.0414
1.47236e-008,1.1257
1.47660e-008,1.1618
1.48084e-008,1.1707
1.48508e-008,1.1675
1.48933e-008,1.1455
1.49357e-008,1.1313
1.49781e-008,1.1388
1.50205e-008,1.1575
1.50629e-008,1.1811
1.51054e-008,1.1904
1.51478e-008,1.1916
1.51902e-008,1.1886
1.52327e-008,1.1889
1.52751e-008,1.2055
1.53175e-008,1.2314
1.53599e-008,1.2448
1.54023e-008,1.2351
1.54448e-008,1.0819
1.54872e-008,0.8584
1.55296e-008,0.6562
1.55721e-008,0.4910
1.56145e-008,0.3712
1.56569e-008,0.2949
1.56993e-008,0.2645
1.57417e-008,0.2698
1.57842e-008,0.2870
1.58266e-008,0.3179
1.58690e-008,0.3420
1.59114e-008,0.3317
1.59539e-008,0.3067
1.59963e-008,0.2883
1.60387e-008,0.2878
1.60812e-008,0.2899
1.61236e-008,0.2907
1.61660e-008,0.2902
1.62084e-008,0.2748
1.62508e-008,0.2405
1.62933e-008,0.2158
1.63357e-008,0.2142
1.63781e-008,0.3255
1.64206e-008,0.5058
1.64630e-008,0.6936
1.65054e-008,0.8815
1.65478e-008,1.0205
1.65903e-008,1.1124
1.66327e-008,1.1585
1.66751e-008,1.1692
1.67175e-008,1.1698
1.67599e-008,1.1501
1.68024e-008,1.1319
1.68448e-008,1.1368
1.68872e-008,1.1527
1.69297e-008,1.1776
1.69721e-008,1.1892
1.70145e-008,1.1918
1.70569e-008,1.1891
1.70993e-008,1.1880
1.71418e-008,1.2009
1.71842e-008,1.2272
1.72266e-008,1.2432
1.72691e-008,1.2410
1.73115e-008,1.1209
1.73539e-008,0.8985
1.73963e-008,0.6966
1.74388e-008,0.5201
1.74812e-008,0.3903
1.75236e-008,0.3078
1.75660e-008,0.2667
1.76084e-008,0.2681
1.76509e-008,0.2824
1.76933e-008,0.3110
1.77357e-008,0.3401
1.77782e-008,0.3355
1.78206e-008,0.3119
1.78630e-008,0.2901
1.79054e-008,0.2873
1.79478e-008,0.2894
1.79903e-008,0.2907
1.80327e-008,0.2906
1.80751e-008,0.2797
1.81176e-008,0.2475
1.81600e-008,0.2191
1.82024e-008,0.2134
1.82448e-008,0.2965
1.82873e-008,0.4712
1.83297e-008,0.6510
1.83721e-008,0.8494
1.84145e-008,0.9976
1.84569e-008,1.0965
1.84994e-008,1.1531
1.85418e-008,1.1675
1.85842e-008,1.1715
1.86267e-008,1.1551
1.86691e-008,1.1337
1.87115e-008,1.1349
1.87539e-008,1.1484
1.87963e-008,1.1733
1.88388e-008,1.1878
1.88812e-008,1.1919
1.89236e-008,1.1898
1.89661e-008,1.1876
1.90085e-008,1.1967
1.90509e-008,1.2222
1.90933e-008,1.2411
1.91358e-008,1.2455
1.91782e-008,1.1572
1.92206e-008,0.9411
1.92630e-008,0.7390
1.93054e-008,0.5497
1.93479e-008,0.4112
1.93903e-008,0.3214
1.94327e-008,0.2710
1.94752e-008,0.2663
1.95176e-008,0.2783
1.95600e-008,0.3044
1.96024e-008,0.3364
1.96448e-008,0.3387
1.96873e-008,0.3172
1.97297e-008,0.2928
1.97721e-008,0.2870
1.98146e-008,0.2890
1.98570e-008,0.2905
1.98994e-008,0.2907
1.99418e-008,0.2837
1.99843e-008,0.2545
2.00267e-008,0.2231
2.00691e-008,0.2120
2.01115e-008,0.2681
2.01539e-008,0.4357
2.01964e-008,0.6122
2.02388e-008,0.8164
2.02812e-008,0.9728
2.03237e-008,1.0799
2.03661e-008,1.1458
2.04085e-008,1.1658
2.04509e-008,1.1720
2.04933e-008,1.1596
2.05358e-008,1.1366
2.05782e-008,1.1332
2.06206e-008,1.1448
2.06630e-008,1.1685
2.07055e-008,1.1861
2.07479e-008,1.1917
2.07903e-008,1.1904
2.08328e-008,1.1877
2.08752e-008,1.1933
2.09176e-008,1.2169
2.09600e-008,1.2387
2.10024e-008,1.2471
2.10449e-008,1.1922
2.10873e-008,0.9858
2.11297e-008,0.7792
2.11722e-008,0.5805
2.12146e-008,0.4347
2.12570e-008,0.3357
2.12994e-008,0.2767
2.13419e-008,0.2649
2.13843e-008,0.2750
2.14267e-008,0.2984
2.14691e-008,0.3312
2.15115e-008,0.3410
2.15540e-008,0.3223
2.15964e-008,0.2965
2.16388e-008,0.2870
2.16813e-008,0.2886
2.17237e-008,0.2903
2.17661e-008,0.2907
2.18085e-008,0.2867
2.18509e-008,0.2615
2.18934e-008,0.2279
2.19358e-008,0.2116
2.19782e-008,0.2394
2.20207e-008,0.3995
2.20631e-008,0.5772
2.21055e-008,0.7802
2.21479e-008,0.9453
2.21904e-008,1.0629
2.22328e-008,1.1373
2.22752e-008,1.1640
2.23176e-008,1.1716
2.23600e-008,1.1635
2.24025e-008,1.1403
2.24449e-008,1.1320
2.24873e-008,1.1418
2.25298e-008,1.1633
2.25722e-008,1.1839
2.26146e-008,1.1912
2.26570e-008,1.1910
2.26994e-008,1.1880
2.27419e-008,1.1907
2.27843e-008,1.2115
2.28267e-008,1.2356
2.28692e-008,1.2463
2.29116e-008,1.2183
2.29540e-008,1.0322
2.29964e-008,0.8165
2.30389e-008,0.6146
2.30813e-008,0.4605
2.31237e-008,0.3515
2.31661e-008,0.2839
2.32085e-008,0.2642
2.32510e-008,0.2722
2.32934e-008,0.2928
2.33358e-008,0.3251
2.33783e-008,0.3421
2.34207e-008,0.3269
2.34631e-008,0.3010
2.35055e-008,0.2873
2.35479e-008,0.2882
2.35904e-008,0.2901
2.36328e-008,0.2907
2.36752e-008,0.2887
2.37177e-008,0.2680
2.37601e-008,0.2335
2.38025e-008,0.2132
2.38449e-008,0.2199
2.38874e-008,0.3622
2.39298e-008,0.5427
2.39722e-008,0.7403
2.40146e-008,0.9157
2.40570e-008,1.0438
2.40995e-008,1.1271
2.41419e-008,1.1619
2.41843e-008,1.1708
2.42268e-008,1.1669
2.42692e-008,1.1447
2.43116e-008,1.1314
2.43540e-008,1.1392
2.43964e-008,1.1581
2.44389e-008,1.1813
