.HEADER
..NAMES
Time,V U1.P24
.DATA
1.03941e-008,0.2270
1.04366e-008,0.2471
1.04790e-008,0.2744
1.05214e-008,0.3053
1.05638e-008,0.3238
1.06063e-008,0.3083
1.06487e-008,0.2782
1.06911e-008,0.2393
1.07335e-008,0.3045
1.07759e-008,0.5133
1.08184e-008,0.7345
1.08608e-008,0.9737
1.09032e-008,1.1087
1.09456e-008,1.1619
1.09881e-008,1.1880
1.10305e-008,1.1854
1.10729e-008,1.1992
1.11154e-008,1.2071
1.11578e-008,1.2125
1.12002e-008,1.2217
1.12426e-008,1.2359
1.12851e-008,1.2485
1.13275e-008,1.2531
1.13699e-008,1.2384
1.14123e-008,1.2128
1.14548e-008,1.1817
1.14972e-008,1.1578
1.15396e-008,1.1635
1.15820e-008,1.1869
1.16244e-008,1.2241
1.16669e-008,1.2582
1.17093e-008,1.2704
1.17517e-008,1.2654
1.17941e-008,1.2518
1.18366e-008,1.2419
1.18790e-008,1.2436
1.19214e-008,1.2513
1.19639e-008,1.2593
1.20063e-008,1.2646
1.20487e-008,1.2648
1.20911e-008,1.2636
1.21336e-008,1.2625
1.21760e-008,1.2609
1.22184e-008,1.2591
1.22608e-008,1.2573
1.23032e-008,1.2582
1.23457e-008,1.2618
1.23881e-008,1.2664
1.24305e-008,1.2706
1.24729e-008,1.2715
1.25154e-008,1.2689
1.25578e-008,1.2646
1.26002e-008,1.2604
1.26427e-008,1.2585
1.26851e-008,1.2595
1.27275e-008,1.2618
1.27699e-008,1.2643
1.28124e-008,1.2651
1.28548e-008,1.2643
1.28972e-008,1.2629
1.29396e-008,1.2619
1.29821e-008,1.2616
1.30245e-008,1.2620
1.30669e-008,1.2626
1.31093e-008,1.2630
1.31517e-008,1.2633
1.31942e-008,1.2635
1.32366e-008,1.2636
1.32790e-008,1.2633
1.33214e-008,1.2627
1.33639e-008,1.2621
1.34063e-008,1.2617
1.34487e-008,1.2619
1.34912e-008,1.2616
1.35336e-008,1.1981
1.35760e-008,0.9633
1.36184e-008,0.7605
1.36609e-008,0.5508
1.37033e-008,0.3981
1.37457e-008,0.3207
1.37881e-008,0.2828
1.38306e-008,0.2732
1.38730e-008,0.2724
1.39154e-008,0.2651
1.39578e-008,0.2620
1.40002e-008,0.2580
1.40427e-008,0.2413
1.40851e-008,0.2331
1.41275e-008,0.2286
1.41699e-008,0.2403
1.42124e-008,0.2602
1.42548e-008,0.2850
1.42972e-008,0.3101
1.43397e-008,0.3095
1.43821e-008,0.2895
1.44245e-008,0.2601
1.44669e-008,0.2265
1.45094e-008,0.2089
1.45518e-008,0.2099
1.45942e-008,0.2177
1.46366e-008,0.2271
1.46790e-008,0.2292
1.47215e-008,0.2257
1.47639e-008,0.2214
1.48063e-008,0.2164
1.48487e-008,0.2146
1.48912e-008,0.2152
1.49336e-008,0.2156
1.49760e-008,0.2172
1.50185e-008,0.2195
1.50609e-008,0.2213
1.51033e-008,0.2210
1.51457e-008,0.2181
1.51881e-008,0.2145
1.52306e-008,0.2109
1.52730e-008,0.2089
1.53154e-008,0.2103
1.53579e-008,0.2136
1.54003e-008,0.2172
1.54427e-008,0.2197
1.54851e-008,0.2197
1.55276e-008,0.2183
1.55700e-008,0.2164
1.56124e-008,0.2152
1.56548e-008,0.2154
1.56972e-008,0.2162
1.57397e-008,0.2170
1.57821e-008,0.2175
1.58245e-008,0.2174
1.58670e-008,0.2171
1.59094e-008,0.2168
1.59518e-008,0.2165
1.59942e-008,0.2161
1.60366e-008,0.2160
1.60791e-008,0.2161
1.61215e-008,0.2166
1.61639e-008,0.2171
