.HEADER
..NAMES
Time,V U1.V24
.DATA
1.03941e-008,0.2386
1.04366e-008,0.2675
1.04790e-008,0.2788
1.05214e-008,0.2895
1.05638e-008,0.2955
1.06063e-008,0.2604
1.06487e-008,0.2164
1.06911e-008,0.2052
1.07335e-008,0.1982
1.07759e-008,0.2016
1.08184e-008,0.2142
1.08608e-008,0.2206
1.09032e-008,0.2196
1.09456e-008,0.2189
1.09881e-008,0.2158
1.10305e-008,0.2158
1.10729e-008,0.2168
1.11154e-008,0.2132
1.11578e-008,0.2093
1.12002e-008,0.2145
1.12426e-008,0.2185
1.12851e-008,0.2165
1.13275e-008,0.2182
1.13699e-008,0.2169
1.14123e-008,0.2078
1.14548e-008,0.2068
1.14972e-008,0.2130
1.15396e-008,0.2151
1.15820e-008,0.2176
1.16244e-008,0.2193
1.16669e-008,0.2170
1.17093e-008,0.2150
1.17517e-008,0.2144
1.17941e-008,0.2141
1.18366e-008,0.2155
1.18790e-008,0.2158
1.19214e-008,0.2143
1.19639e-008,0.2146
1.20063e-008,0.2163
1.20487e-008,0.2157
1.20911e-008,0.2152
1.21336e-008,0.2161
1.21760e-008,0.2149
1.22184e-008,0.2133
1.22608e-008,0.2150
1.23032e-008,0.2164
1.23457e-008,0.2159
1.23881e-008,0.2159
1.24305e-008,0.2156
1.24729e-008,0.2147
1.25154e-008,0.2147
1.25578e-008,0.2150
1.26002e-008,0.2351
1.26427e-008,0.3853
1.26851e-008,0.5595
1.27275e-008,0.7714
1.27699e-008,0.9411
1.28124e-008,1.0567
1.28548e-008,1.1171
1.28972e-008,1.1545
1.29396e-008,1.1752
1.29821e-008,1.1898
1.30245e-008,1.1972
1.30669e-008,1.2016
1.31093e-008,1.2052
1.31517e-008,1.2202
1.31942e-008,1.2327
1.32366e-008,1.2222
1.32790e-008,1.2085
1.33214e-008,1.1922
1.33639e-008,1.1787
1.34063e-008,1.1937
1.34487e-008,1.2301
1.34912e-008,1.2547
1.35336e-008,1.2724
1.35760e-008,1.2732
1.36184e-008,1.2634
1.36609e-008,1.2558
1.37033e-008,1.2548
1.37457e-008,1.2559
1.37881e-008,1.2597
1.38306e-008,1.2610
1.38730e-008,1.2606
1.39154e-008,1.2618
1.39578e-008,1.2655
1.40002e-008,1.2652
1.40427e-008,1.2623
1.40851e-008,1.2613
1.41275e-008,1.2595
1.41699e-008,1.2595
1.42124e-008,1.2658
1.42548e-008,1.2697
1.42972e-008,1.2679
1.43397e-008,1.2653
1.43821e-008,1.2612
1.44245e-008,1.2586
1.44669e-008,1.2417
1.45094e-008,1.0626
1.45518e-008,0.8482
1.45942e-008,0.6640
1.46366e-008,0.4944
1.46790e-008,0.3764
1.47215e-008,0.3263
1.47639e-008,0.2993
1.48063e-008,0.2833
1.48487e-008,0.2761
1.48912e-008,0.2716
1.49336e-008,0.2679
1.49760e-008,0.2669
1.50185e-008,0.2512
1.50609e-008,0.2341
1.51033e-008,0.2530
1.51457e-008,0.2754
1.51881e-008,0.2818
1.52306e-008,0.2955
1.52730e-008,0.2839
1.53154e-008,0.2357
1.53579e-008,0.2093
1.54003e-008,0.2018
1.54427e-008,0.1979
1.54851e-008,0.2074
1.55276e-008,0.2193
1.55700e-008,0.2206
1.56124e-008,0.2198
1.56548e-008,0.2175
1.56972e-008,0.2155
1.57397e-008,0.2166
1.57821e-008,0.2160
1.58245e-008,0.2109
1.58670e-008,0.2113
1.59094e-008,0.2175
1.59518e-008,0.2176
1.59942e-008,0.2169
1.60366e-008,0.2192
1.60791e-008,0.2129
1.61215e-008,0.2060
1.61639e-008,0.2103
1.62064e-008,0.2145
1.62488e-008,0.2161
1.62912e-008,0.2191
1.63336e-008,0.2188
