.HEADER
..NAMES
Time,V U1.W26
.DATA
1.03941e-008,0.2059
1.04366e-008,0.2142
1.04790e-008,0.2179
1.05214e-008,0.2209
1.05638e-008,0.2316
1.06063e-008,0.2362
1.06487e-008,0.2269
1.06911e-008,0.2167
1.07335e-008,0.2083
1.07759e-008,0.2060
1.08184e-008,0.2143
1.08608e-008,0.2202
1.09032e-008,0.2172
1.09456e-008,0.2139
1.09881e-008,0.2127
1.10305e-008,0.2094
1.10729e-008,0.2102
1.11154e-008,0.2188
1.11578e-008,0.2222
1.12002e-008,0.2285
1.12426e-008,0.3569
1.12851e-008,0.5303
1.13275e-008,0.7289
1.13699e-008,0.9106
1.14123e-008,1.0570
1.14548e-008,1.1482
1.14972e-008,1.2110
1.15396e-008,1.2501
1.15820e-008,1.2656
1.16244e-008,1.2496
1.16669e-008,1.2319
1.17093e-008,1.2070
1.17517e-008,1.1968
1.17941e-008,1.2082
1.18366e-008,1.2118
1.18790e-008,1.2012
1.19214e-008,1.1912
1.19639e-008,1.1860
1.20063e-008,1.1881
1.20487e-008,1.2065
1.20911e-008,1.2430
1.21336e-008,1.2413
1.21760e-008,1.0521
1.22184e-008,0.8255
1.22608e-008,0.6351
1.23032e-008,0.4688
1.23457e-008,0.3315
1.23881e-008,0.2603
1.24305e-008,0.2104
1.24729e-008,0.1825
1.25154e-008,0.1870
1.25578e-008,0.2301
1.26002e-008,0.2617
1.26427e-008,0.2871
1.26851e-008,0.2890
1.27275e-008,0.2642
1.27699e-008,0.2622
1.28124e-008,0.2904
1.28548e-008,0.3016
1.28972e-008,0.2975
1.29396e-008,0.2896
1.29821e-008,0.2604
1.30245e-008,0.2099
1.30669e-008,0.1905
1.31093e-008,0.3330
1.31517e-008,0.5349
1.31942e-008,0.7372
1.32366e-008,0.9256
1.32790e-008,1.0729
1.33214e-008,1.1614
1.33639e-008,1.2341
1.34063e-008,1.2769
1.34487e-008,1.2857
1.34912e-008,1.2517
1.35336e-008,1.2198
1.35760e-008,1.1904
1.36184e-008,1.1879
1.36609e-008,1.2110
1.37033e-008,1.2189
1.37457e-008,1.1993
1.37881e-008,1.1842
1.38306e-008,1.1766
1.38730e-008,1.1802
1.39154e-008,1.2065
1.39578e-008,1.2520
1.40002e-008,1.2588
