.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
1.03962e-008,0.3006
1.04386e-008,0.2982
1.04810e-008,0.2776
1.05235e-008,0.2478
1.05659e-008,0.2296
1.06083e-008,0.2205
1.06507e-008,0.2196
1.06932e-008,0.2261
1.07356e-008,0.3392
1.07780e-008,0.5019
1.08205e-008,0.6857
1.08629e-008,0.8664
1.09053e-008,1.0040
1.09477e-008,1.0825
1.09902e-008,1.1228
1.10326e-008,1.1500
1.10750e-008,1.1509
1.11174e-008,1.1401
1.11598e-008,1.1428
1.12023e-008,1.1525
1.12447e-008,1.1666
1.12871e-008,1.1758
1.13295e-008,1.1816
1.13720e-008,1.1833
1.14144e-008,1.1935
1.14568e-008,1.2128
1.14993e-008,1.2287
1.15417e-008,1.2447
1.15841e-008,1.2494
1.16265e-008,1.2325
1.16690e-008,1.0991
1.17114e-008,0.8928
1.17538e-008,0.7062
1.17962e-008,0.5377
1.18387e-008,0.4019
1.18811e-008,0.3238
1.19235e-008,0.2994
1.19659e-008,0.2941
1.20083e-008,0.3097
1.20508e-008,0.3341
1.20932e-008,0.3301
1.21356e-008,0.3099
1.21780e-008,0.2968
1.22205e-008,0.2980
1.22629e-008,0.3006
1.23053e-008,0.2994
1.23478e-008,0.2834
1.23902e-008,0.2528
1.24326e-008,0.2324
1.24750e-008,0.2215
1.25175e-008,0.2193
1.25599e-008,0.2248
1.26023e-008,0.3118
1.26447e-008,0.4707
1.26871e-008,0.6433
1.27296e-008,0.8350
1.27720e-008,0.9817
1.28144e-008,1.0707
1.28568e-008,1.1156
1.28993e-008,1.1463
1.29417e-008,1.1527
1.29841e-008,1.1415
1.30265e-008,1.1413
1.30690e-008,1.1501
1.31114e-008,1.1640
1.31538e-008,1.1744
1.31963e-008,1.1806
1.32387e-008,1.1830
1.32811e-008,1.1901
1.33235e-008,1.2094
1.33660e-008,1.2254
1.34084e-008,1.2422
1.34508e-008,1.2494
1.34932e-008,1.2398
1.35356e-008,1.1341
1.35781e-008,0.9303
1.36205e-008,0.7457
1.36629e-008,0.5673
1.37053e-008,0.4245
1.37478e-008,0.3343
1.37902e-008,0.3027
1.38326e-008,0.2937
1.38751e-008,0.3050
1.39175e-008,0.3306
1.39599e-008,0.3332
1.40023e-008,0.3138
1.40448e-008,0.2981
1.40872e-008,0.2971
1.41296e-008,0.3005
1.41720e-008,0.3000
1.42145e-008,0.2884
1.42569e-008,0.2584
1.42993e-008,0.2354
1.43417e-008,0.2229
1.43841e-008,0.2191
1.44266e-008,0.2232
1.44690e-008,0.2862
1.45114e-008,0.4389
1.45538e-008,0.6028
1.45963e-008,0.8027
1.46387e-008,0.9566
1.46811e-008,1.0582
1.47236e-008,1.1078
1.47660e-008,1.1416
1.48084e-008,1.1536
1.48508e-008,1.1435
1.48933e-008,1.1403
1.49357e-008,1.1479
1.49781e-008,1.1613
1.50205e-008,1.1728
1.50629e-008,1.1795
1.51054e-008,1.1829
1.51478e-008,1.1872
1.51902e-008,1.2057
1.52327e-008,1.2222
1.52751e-008,1.2392
1.53175e-008,1.2491
1.53599e-008,1.2456
1.54023e-008,1.1689
1.54448e-008,0.9702
1.54872e-008,0.7843
1.55296e-008,0.5973
1.55721e-008,0.4497
1.56145e-008,0.3460
1.56569e-008,0.3063
1.56993e-008,0.2942
1.57417e-008,0.3012
1.57842e-008,0.3260
1.58266e-008,0.3353
1.58690e-008,0.3179
1.59114e-008,0.3001
1.59539e-008,0.2964
1.59963e-008,0.3002
1.60387e-008,0.3003
1.60812e-008,0.2926
1.61236e-008,0.2644
1.61660e-008,0.2389
1.62084e-008,0.2247
1.62508e-008,0.2192
1.62933e-008,0.2212
1.63357e-008,0.2617
1.63781e-008,0.4084
1.64206e-008,0.5693
1.64630e-008,0.7693
1.65054e-008,0.9296
1.65478e-008,1.0442
1.65903e-008,1.1001
1.66327e-008,1.1359
1.66751e-008,1.1533
1.67175e-008,1.1457
1.67599e-008,1.1399
1.68024e-008,1.1462
1.68448e-008,1.1584
1.68872e-008,1.1709
1.69297e-008,1.1783
1.69721e-008,1.1826
1.70145e-008,1.1854
1.70569e-008,1.2020
1.70993e-008,1.2193
1.71418e-008,1.2359
1.71842e-008,1.2482
1.72266e-008,1.2481
1.72691e-008,1.2014
1.73115e-008,1.0120
1.73539e-008,0.8199
1.73963e-008,0.6295
1.74388e-008,0.4773
1.74812e-008,0.3609
1.75236e-008,0.3096
1.75660e-008,0.2954
1.76084e-008,0.2980
1.76509e-008,0.3209
1.76933e-008,0.3362
1.77357e-008,0.3220
1.77782e-008,0.3027
1.78206e-008,0.2960
1.78630e-008,0.2996
1.79054e-008,0.3004
1.79478e-008,0.2957
1.79903e-008,0.2707
1.80327e-008,0.2428
1.80751e-008,0.2268
1.81176e-008,0.2196
1.81600e-008,0.2201
1.82024e-008,0.2398
1.82448e-008,0.3754
1.82873e-008,0.5377
1.83297e-008,0.7316
1.83721e-008,0.9002
1.84145e-008,1.0270
1.84569e-008,1.0927
1.84994e-008,1.1298
1.85418e-008,1.1523
1.85842e-008,1.1479
1.86267e-008,1.1396
1.86691e-008,1.1446
1.87115e-008,1.1556
1.87539e-008,1.1690
1.87963e-008,1.1770
1.88388e-008,1.1822
1.88812e-008,1.1840
1.89236e-008,1.1980
1.89661e-008,1.2163
1.90085e-008,1.2325
1.90509e-008,1.2468
1.90933e-008,1.2488
1.91358e-008,1.2213
1.91782e-008,1.0552
1.92206e-008,0.8542
1.92630e-008,0.6648
1.93054e-008,0.5055
1.93479e-008,0.3792
1.93903e-008,0.3145
1.94327e-008,0.2969
1.94752e-008,0.2956
1.95176e-008,0.3155
1.95600e-008,0.3359
1.96024e-008,0.3259
1.96448e-008,0.3059
1.96873e-008,0.2960
1.97297e-008,0.2989
1.97721e-008,0.3005
1.98146e-008,0.2978
1.98570e-008,0.2769
1.98994e-008,0.2473
1.99418e-008,0.2292
1.99843e-008,0.2203
2.00267e-008,0.2196
2.00691e-008,0.2279
2.01115e-008,0.3436
2.01539e-008,0.5063
2.01964e-008,0.6909
2.02388e-008,0.8701
2.02812e-008,1.0066
2.03237e-008,1.0836
2.03661e-008,1.1235
2.04085e-008,1.1501
2.04509e-008,1.1503
2.04933e-008,1.1400
2.05358e-008,1.1431
2.05782e-008,1.1528
2.06206e-008,1.1667
2.06630e-008,1.1757
2.07055e-008,1.1815
2.07479e-008,1.1833
2.07903e-008,1.1941
2.08328e-008,1.2132
2.08752e-008,1.2290
2.09176e-008,1.2449
2.09600e-008,1.2492
2.10024e-008,1.2317
2.10449e-008,1.0949
2.10873e-008,0.8888
2.11297e-008,0.7019
2.11722e-008,0.5344
2.12146e-008,0.3996
2.12570e-008,0.3227
2.12994e-008,0.2990
2.13419e-008,0.2941
2.13843e-008,0.3101
2.14267e-008,0.3342
2.14691e-008,0.3296
2.15115e-008,0.3094
2.15540e-008,0.2966
2.15964e-008,0.2980
2.16388e-008,0.3005
2.16813e-008,0.2991
2.17237e-008,0.2827
2.17661e-008,0.2522
2.18085e-008,0.2320
2.18509e-008,0.2213
2.18934e-008,0.2193
2.19358e-008,0.2249
2.19782e-008,0.3159
2.20207e-008,0.4753
2.20631e-008,0.6487
2.21055e-008,0.8389
2.21479e-008,0.9846
2.21904e-008,1.0721
2.22328e-008,1.1164
2.22752e-008,1.1466
2.23176e-008,1.1522
2.23600e-008,1.1412
2.24025e-008,1.1416
2.24449e-008,1.1504
2.24873e-008,1.1642
2.25298e-008,1.1744
2.25722e-008,1.1806
2.26146e-008,1.1830
2.26570e-008,1.1906
2.26994e-008,1.2098
2.27419e-008,1.2257
2.27843e-008,1.2424
2.28267e-008,1.2493
2.28692e-008,1.2390
2.29116e-008,1.1303
2.29540e-008,0.9260
2.29964e-008,0.7413
2.30389e-008,0.5640
2.30813e-008,0.4220
2.31237e-008,0.3332
2.31661e-008,0.3023
2.32085e-008,0.2936
2.32510e-008,0.3054
2.32934e-008,0.3309
2.33358e-008,0.3328
2.33783e-008,0.3133
2.34207e-008,0.2979
2.34631e-008,0.2971
2.35055e-008,0.3004
2.35479e-008,0.2998
2.35904e-008,0.2878
2.36328e-008,0.2577
2.36752e-008,0.2350
2.37177e-008,0.2227
2.37601e-008,0.2191
2.38025e-008,0.2233
2.38449e-008,0.2905
2.38874e-008,0.4436
2.39298e-008,0.6078
2.39722e-008,0.8067
2.40146e-008,0.9600
2.40570e-008,1.0597
2.40995e-008,1.1086
2.41419e-008,1.1421
2.41843e-008,1.1532
2.42268e-008,1.1432
2.42692e-008,1.1405
2.43116e-008,1.1482
2.43540e-008,1.1615
2.43964e-008,1.1728
2.44389e-008,1.1795
