.HEADER
..NAMES
Time,V U1.Y23
.DATA
1.12516e-008,1.2277
1.12975e-008,1.2511
1.13435e-008,1.2680
1.13894e-008,1.2646
1.14353e-008,1.2453
1.14812e-008,1.2238
1.15272e-008,1.2088
1.15731e-008,1.2061
1.16190e-008,1.2138
1.16649e-008,1.2260
1.17109e-008,1.2352
1.17568e-008,1.2366
1.18027e-008,1.2331
1.18487e-008,1.2307
1.18946e-008,1.2318
1.19405e-008,1.2350
1.19864e-008,1.2365
1.20324e-008,1.2342
1.20783e-008,1.2290
1.21242e-008,1.2232
1.21701e-008,1.2211
1.22161e-008,1.2250
1.22620e-008,1.2323
1.23079e-008,1.2391
1.23538e-008,1.2416
1.23997e-008,1.2383
1.24457e-008,1.2303
1.24916e-008,1.2214
1.25375e-008,1.2175
1.25834e-008,1.2209
1.26294e-008,1.2294
1.26753e-008,1.2372
1.27212e-008,1.2399
1.27672e-008,1.2367
1.28131e-008,1.2300
1.28590e-008,1.2239
1.29049e-008,1.2220
1.29509e-008,1.2251
1.29968e-008,1.2304
1.30427e-008,1.2342
1.30886e-008,1.2345
1.31346e-008,1.2320
1.31805e-008,1.2287
1.32264e-008,1.2266
1.32723e-008,1.2267
1.33182e-008,1.2287
1.33642e-008,1.2309
1.34101e-008,1.2316
1.34560e-008,1.2304
1.35019e-008,1.2281
1.35479e-008,1.1950
1.35938e-008,1.0618
1.36397e-008,0.9230
1.36856e-008,0.7656
1.37316e-008,0.6012
1.37775e-008,0.4330
1.38234e-008,0.2978
1.38694e-008,0.2204
1.39153e-008,0.1863
1.39612e-008,0.1701
1.40071e-008,0.1678
1.40531e-008,0.1741
1.40990e-008,0.1871
1.41449e-008,0.1998
1.41908e-008,0.2067
1.42367e-008,0.2121
1.42827e-008,0.2129
1.43286e-008,0.2118
1.43745e-008,0.2202
1.44204e-008,0.2411
1.44664e-008,0.2621
1.45123e-008,0.2772
1.45582e-008,0.2825
1.46041e-008,0.2810
1.46501e-008,0.2687
1.46960e-008,0.2520
1.47419e-008,0.2413
1.47879e-008,0.2416
1.48338e-008,0.2487
1.48797e-008,0.2541
1.49256e-008,0.2546
1.49715e-008,0.2505
1.50175e-008,0.2397
1.50634e-008,0.2225
1.51093e-008,0.2106
1.51552e-008,0.2147
1.52012e-008,0.2287
1.52471e-008,0.2431
1.52930e-008,0.2526
1.53389e-008,0.2565
1.53849e-008,0.2555
1.54308e-008,0.2502
1.54767e-008,0.2441
1.55226e-008,0.2398
1.55686e-008,0.2375
1.56145e-008,0.2363
1.56604e-008,0.2360
1.57063e-008,0.2368
1.57523e-008,0.2388
1.57982e-008,0.2409
1.58441e-008,0.2431
1.58901e-008,0.2453
1.59360e-008,0.2455
1.59819e-008,0.2431
1.60278e-008,0.2391
1.60738e-008,0.2354
1.61197e-008,0.2340
1.61656e-008,0.2361
1.62115e-008,0.2415
1.62575e-008,0.2472
1.63034e-008,0.2491
1.63493e-008,0.2464
1.63952e-008,0.2416
1.64412e-008,0.2380
1.64871e-008,0.2369
1.65330e-008,0.2380
1.65789e-008,0.2405
1.66249e-008,0.2435
1.66708e-008,0.2452
1.67167e-008,0.2446
1.67626e-008,0.2424
1.68085e-008,0.2404
1.68545e-008,0.2394
1.69004e-008,0.2398
1.69463e-008,0.2410
1.69922e-008,0.2426
1.70382e-008,0.2433
1.70841e-008,0.2428
1.71300e-008,0.2417
1.71759e-008,0.2413
1.72219e-008,0.2419
1.72678e-008,0.2429
1.73137e-008,0.3069
1.73596e-008,0.4668
1.74056e-008,0.6262
1.74515e-008,0.8195
1.74974e-008,1.0067
1.75433e-008,1.1467
1.75893e-008,1.2421
1.76352e-008,1.2773
1.76811e-008,1.2957
1.77271e-008,1.3012
1.77730e-008,1.3005
1.78189e-008,1.2923
1.78648e-008,1.2809
1.79108e-008,1.2686
1.79567e-008,1.2606
1.80026e-008,1.2551
1.80485e-008,1.2600
1.80945e-008,1.2677
1.81404e-008,1.2576
1.81863e-008,1.2329
1.82322e-008,1.2034
1.82782e-008,1.1816
1.83241e-008,1.1771
1.83700e-008,1.1912
1.84159e-008,1.2185
1.84619e-008,1.2412
1.85078e-008,1.2451
1.85537e-008,1.2310
1.85996e-008,1.2115
1.86455e-008,1.2017
1.86915e-008,1.2059
1.87374e-008,1.2216
1.87833e-008,1.2442
1.88292e-008,1.2649
1.88752e-008,1.2683
1.89211e-008,1.2523
1.89670e-008,1.2304
1.90129e-008,1.2126
1.90589e-008,1.2059
1.91048e-008,1.2110
1.91507e-008,1.2225
1.91966e-008,1.2334
1.92426e-008,1.2373
1.92885e-008,1.2346
1.93344e-008,1.2314
1.93803e-008,1.2314
1.94263e-008,1.2344
1.94722e-008,1.2368
1.95181e-008,1.2356
1.95640e-008,1.2311
1.96100e-008,1.2251
1.96559e-008,1.2214
1.97018e-008,1.2235
1.97478e-008,1.2302
1.97937e-008,1.2376
1.98396e-008,1.2418
1.98855e-008,1.2402
1.99315e-008,1.2334
1.99774e-008,1.2242
2.00233e-008,1.2182
2.00692e-008,1.2194
2.01152e-008,1.2269
2.01611e-008,1.2355
2.02070e-008,1.2400
2.02529e-008,1.2385
2.02989e-008,1.2325
2.03448e-008,1.2258
2.03907e-008,1.2223
2.04366e-008,1.2240
2.04826e-008,1.2291
2.05285e-008,1.2337
2.05744e-008,1.2351
2.06203e-008,1.2332
2.06662e-008,1.2299
2.07122e-008,1.2273
2.07581e-008,1.2267
2.08040e-008,1.2282
2.08499e-008,1.2306
2.08959e-008,1.2319
2.09418e-008,1.2312
2.09877e-008,1.2290
2.10336e-008,1.2271
2.10796e-008,1.2270
2.11255e-008,1.2289
2.11714e-008,1.2317
2.12173e-008,1.2332
2.12633e-008,1.2322
2.13092e-008,1.2293
2.13551e-008,1.2264
2.14010e-008,1.2254
2.14470e-008,1.2269
2.14929e-008,1.2298
2.15388e-008,1.2324
2.15847e-008,1.2330
2.16307e-008,1.2314
2.16766e-008,1.2287
2.17225e-008,1.2266
2.17685e-008,1.2263
2.18144e-008,1.2276
2.18603e-008,1.2297
2.19062e-008,1.2313
2.19522e-008,1.2316
2.19981e-008,1.2303
2.20440e-008,1.2285
2.20899e-008,1.2273
2.21359e-008,1.2275
2.21818e-008,1.2288
2.22277e-008,1.2302
2.22736e-008,1.2306
2.23196e-008,1.2299
2.23655e-008,1.2287
2.24114e-008,1.2278
2.24573e-008,1.2279
2.25033e-008,1.2288
2.25492e-008,1.2299
2.25951e-008,1.2303
2.26410e-008,1.2298
2.26869e-008,1.2288
2.27329e-008,1.2279
2.27788e-008,1.2277
2.28247e-008,1.2283
2.28706e-008,1.2293
2.29166e-008,1.2301
2.29625e-008,1.2301
2.30084e-008,1.2294
2.30543e-008,1.2284
2.31003e-008,1.2277
2.31462e-008,1.2277
2.31921e-008,1.2285
2.32380e-008,1.2295
2.32840e-008,1.2300
2.33299e-008,1.2297
2.33758e-008,1.2289
2.34217e-008,1.2281
2.34677e-008,1.2279
2.35136e-008,1.2282
2.35595e-008,1.2289
2.36055e-008,1.2294
2.36514e-008,1.2294
2.36973e-008,1.2290
2.37432e-008,1.2285
2.37892e-008,1.2282
2.38351e-008,1.2282
2.38810e-008,1.2286
2.39269e-008,1.2291
2.39729e-008,1.2292
2.40188e-008,1.2290
2.40647e-008,1.2286
2.41106e-008,1.2282
2.41566e-008,1.2281
2.42025e-008,1.2284
2.42484e-008,1.2289
2.42943e-008,1.2292
2.43403e-008,1.2291
