.HEADER
..NAMES
Time,V U1.Y25
.DATA
1.03941e-008,1.2170
1.04366e-008,1.1779
1.04790e-008,1.1291
1.05214e-008,1.1150
1.05638e-008,1.1372
1.06063e-008,1.1826
1.06487e-008,1.2332
1.06911e-008,1.2756
1.07335e-008,1.2940
1.07759e-008,1.2802
1.08184e-008,1.2660
1.08608e-008,1.2557
1.09032e-008,1.2518
1.09456e-008,1.2530
1.09881e-008,1.2589
1.10305e-008,1.2639
1.10729e-008,1.2650
1.11154e-008,1.2649
1.11578e-008,1.2606
1.12002e-008,1.2539
1.12426e-008,1.2486
1.12851e-008,1.2501
1.13275e-008,1.2572
1.13699e-008,1.2669
1.14123e-008,1.2763
1.14548e-008,1.2781
1.14972e-008,1.2730
1.15396e-008,1.2646
1.15820e-008,1.2578
1.16244e-008,1.2538
1.16669e-008,1.2424
1.17093e-008,1.0916
1.17517e-008,0.8748
1.17941e-008,0.6936
1.18366e-008,0.5190
1.18790e-008,0.3951
1.19214e-008,0.3312
1.19639e-008,0.3083
1.20063e-008,0.2887
1.20487e-008,0.2787
1.20911e-008,0.2715
1.21336e-008,0.2563
1.21760e-008,0.2436
1.22184e-008,0.2412
1.22608e-008,0.2575
1.23032e-008,0.2819
1.23457e-008,0.3197
1.23881e-008,0.3416
1.24305e-008,0.3296
1.24729e-008,0.2998
1.25154e-008,0.2573
1.25578e-008,0.2145
1.26002e-008,0.1845
1.26427e-008,0.3122
1.26851e-008,0.5331
1.27275e-008,0.7415
1.27699e-008,0.9394
1.28124e-008,1.0592
1.28548e-008,1.1239
1.28972e-008,1.1476
1.29396e-008,1.1699
1.29821e-008,1.1850
1.30245e-008,1.1972
1.30669e-008,1.2180
1.31093e-008,1.2371
1.31517e-008,1.2454
1.31942e-008,1.2278
1.32366e-008,1.1964
1.32790e-008,1.1490
1.33214e-008,1.1187
1.33639e-008,1.1275
1.34063e-008,1.1623
1.34487e-008,1.2139
1.34912e-008,1.2606
1.35336e-008,1.2923
1.35760e-008,1.2876
1.36184e-008,1.2721
1.36609e-008,1.2598
1.37033e-008,1.2523
1.37457e-008,1.2518
1.37881e-008,1.2560
1.38306e-008,1.2621
1.38730e-008,1.2640
1.39154e-008,1.2648
1.39578e-008,1.2628
1.40002e-008,1.2571
1.40427e-008,1.2510
1.40851e-008,1.2492
1.41275e-008,1.2540
1.41699e-008,1.2623
1.42124e-008,1.2727
1.42548e-008,1.2779
1.42972e-008,1.2756
1.43397e-008,1.2681
1.43821e-008,1.2603
1.44245e-008,1.2548
1.44669e-008,1.2536
1.45094e-008,1.2574
1.45518e-008,1.2611
1.45942e-008,1.2629
1.46366e-008,1.2633
1.46790e-008,1.2629
1.47215e-008,1.2616
1.47639e-008,1.2603
1.48063e-008,1.2599
1.48487e-008,1.2598
1.48912e-008,1.2608
1.49336e-008,1.2625
1.49760e-008,1.2641
1.50185e-008,1.2643
1.50609e-008,1.2631
1.51033e-008,1.2611
1.51457e-008,1.2593
1.51881e-008,1.2587
1.52306e-008,1.2597
1.52730e-008,1.2613
1.53154e-008,1.2625
1.53579e-008,1.2629
1.54003e-008,1.2626
1.54427e-008,1.2617
1.54851e-008,1.2611
1.55276e-008,1.2610
1.55700e-008,1.2611
1.56124e-008,1.2612
1.56548e-008,1.2615
1.56972e-008,1.2618
1.57397e-008,1.2620
1.57821e-008,1.2619
1.58245e-008,1.2616
1.58670e-008,1.2612
1.59094e-008,1.2608
1.59518e-008,1.2609
1.59942e-008,1.2613
1.60366e-008,1.2617
1.60791e-008,1.2620
1.61215e-008,1.2619
1.61639e-008,1.2616
1.62064e-008,1.2613
1.62488e-008,1.2612
1.62912e-008,1.2612
1.63336e-008,1.2597
1.63761e-008,1.1896
1.64185e-008,0.9679
1.64609e-008,0.7814
1.65033e-008,0.5911
1.65457e-008,0.4437
1.65882e-008,0.3553
1.66306e-008,0.3182
1.66730e-008,0.3001
1.67155e-008,0.2821
1.67579e-008,0.2770
1.68003e-008,0.2632
1.68427e-008,0.2455
1.68851e-008,0.2371
1.69276e-008,0.2463
1.69700e-008,0.2696
1.70124e-008,0.3028
1.70548e-008,0.3388
1.70973e-008,0.3401
1.71397e-008,0.3162
1.71821e-008,0.2762
1.72246e-008,0.2329
1.72670e-008,0.1936
1.73094e-008,0.2227
1.73518e-008,0.4284
1.73942e-008,0.6323
1.74367e-008,0.8573
1.74791e-008,1.0083
1.75215e-008,1.0978
1.75640e-008,1.1381
1.76064e-008,1.1573
1.76488e-008,1.1801
1.76912e-008,1.1884
1.77336e-008,1.2079
1.77761e-008,1.2292
1.78185e-008,1.2443
1.78609e-008,1.2390
1.79033e-008,1.2126
1.79458e-008,1.1730
1.79882e-008,1.1274
1.80306e-008,1.1191
1.80731e-008,1.1421
1.81155e-008,1.1891
1.81579e-008,1.2386
1.82003e-008,1.2806
1.82427e-008,1.2934
1.82852e-008,1.2789
1.83276e-008,1.2654
1.83700e-008,1.2546
1.84125e-008,1.2514
1.84549e-008,1.2532
1.84973e-008,1.2595
1.85397e-008,1.2634
1.85822e-008,1.2644
1.86246e-008,1.2643
1.86670e-008,1.2599
1.87094e-008,1.2535
1.87518e-008,1.2489
1.87943e-008,1.2510
1.88367e-008,1.2578
1.88791e-008,1.2678
1.89216e-008,1.2764
1.89640e-008,1.2775
1.90064e-008,1.2720
1.90488e-008,1.2637
1.90912e-008,1.2571
1.91337e-008,1.2534
1.91761e-008,1.2291
1.92185e-008,1.0396
1.92610e-008,0.8373
1.93034e-008,0.6507
1.93458e-008,0.4870
1.93882e-008,0.3763
1.94307e-008,0.3233
1.94731e-008,0.3045
1.95155e-008,0.2846
1.95579e-008,0.2779
1.96003e-008,0.2684
1.96428e-008,0.2524
1.96852e-008,0.2419
1.97276e-008,0.2434
1.97701e-008,0.2623
1.98125e-008,0.2892
1.98549e-008,0.3274
1.98973e-008,0.3410
1.99397e-008,0.3242
1.99822e-008,0.2906
2.00246e-008,0.2478
2.00670e-008,0.2057
2.01095e-008,0.1905
2.01519e-008,0.3590
2.01943e-008,0.5755
2.02367e-008,0.7929
2.02792e-008,0.9703
2.03216e-008,1.0776
2.03640e-008,1.1327
2.04064e-008,1.1516
2.04488e-008,1.1748
2.04913e-008,1.1858
2.05337e-008,1.2015
2.05761e-008,1.2225
2.06186e-008,1.2400
2.06610e-008,1.2434
2.07034e-008,1.2218
2.07458e-008,1.1875
2.07882e-008,1.1388
2.08307e-008,1.1177
2.08731e-008,1.1328
2.09155e-008,1.1731
2.09580e-008,1.2243
2.10004e-008,1.2696
2.10428e-008,1.2941
2.10852e-008,1.2840
2.11277e-008,1.2692
2.11701e-008,1.2573
2.12125e-008,1.2517
2.12549e-008,1.2521
2.12973e-008,1.2574
2.13398e-008,1.2627
2.13822e-008,1.2641
2.14246e-008,1.2647
2.14671e-008,1.2617
2.15095e-008,1.2556
2.15519e-008,1.2499
2.15943e-008,1.2497
2.16367e-008,1.2554
2.16792e-008,1.2645
2.17216e-008,1.2745
2.17640e-008,1.2779
2.18064e-008,1.2742
2.18489e-008,1.2662
2.18913e-008,1.2588
2.19337e-008,1.2540
2.19762e-008,1.2541
2.20186e-008,1.2583
2.20610e-008,1.2616
2.21034e-008,1.2630
2.21458e-008,1.2632
2.21883e-008,1.2626
2.22307e-008,1.2612
2.22731e-008,1.2601
2.23156e-008,1.2597
2.23580e-008,1.2599
2.24004e-008,1.2610
2.24428e-008,1.2629
2.24852e-008,1.2643
2.25277e-008,1.2641
2.25701e-008,1.2626
2.26125e-008,1.2606
2.26549e-008,1.2589
2.26974e-008,1.2588
2.27398e-008,1.2599
2.27822e-008,1.2616
2.28247e-008,1.2626
2.28671e-008,1.2629
2.29095e-008,1.2540
2.29519e-008,1.1279
2.29943e-008,0.8998
2.30368e-008,0.7203
2.30792e-008,0.5396
2.31216e-008,0.4086
2.31641e-008,0.3395
2.32065e-008,0.3130
2.32489e-008,0.2942
2.32913e-008,0.2807
2.33338e-008,0.2735
2.33762e-008,0.2568
2.34186e-008,0.2408
2.34610e-008,0.2368
2.35034e-008,0.2530
2.35459e-008,0.2788
2.35883e-008,0.3167
2.36307e-008,0.3441
2.36732e-008,0.3342
2.37156e-008,0.3049
2.37580e-008,0.2620
2.38004e-008,0.2191
2.38428e-008,0.1858
2.38853e-008,0.1859
2.39277e-008,0.1996
2.39701e-008,0.2084
2.40126e-008,0.2170
2.40550e-008,0.2218
2.40974e-008,0.2202
2.41398e-008,0.2150
2.41823e-008,0.2136
2.42247e-008,0.2135
