.HEADER
..NAMES
Time,V U1.K25
.DATA
1.03093e-008,-0.0219
1.03517e-008,-0.0213
1.03941e-008,-0.0197
1.04366e-008,-0.0173
1.04790e-008,-0.0148
1.05214e-008,-0.0107
1.05638e-008,-0.0033
1.06063e-008,0.0043
1.06487e-008,0.0097
1.06911e-008,0.0139
1.07335e-008,0.0161
1.07759e-008,0.0154
1.08184e-008,0.0136
1.08608e-008,0.0111
1.09032e-008,0.0079
1.09456e-008,0.0057
1.09881e-008,0.0062
1.10305e-008,0.0083
1.10729e-008,0.0099
1.11154e-008,0.0106
1.11578e-008,0.0104
1.12002e-008,0.0092
1.12426e-008,0.0081
1.12851e-008,0.0071
1.13275e-008,0.0048
1.13699e-008,0.0015
1.14123e-008,-0.0015
1.14548e-008,-0.0040
1.14972e-008,-0.0059
1.15396e-008,-0.0067
1.15820e-008,-0.0065
1.16244e-008,-0.0058
1.16669e-008,-0.0044
1.17093e-008,-0.0027
1.17517e-008,-0.0018
1.17941e-008,-0.0021
1.18366e-008,-0.0030
1.18790e-008,-0.0041
1.19214e-008,-0.0046
1.19639e-008,-0.0044
1.20063e-008,-0.0038
1.20487e-008,-0.0034
1.20911e-008,-0.0027
1.21336e-008,-0.0033
1.21760e-008,0.0335
1.22184e-008,0.1242
1.22608e-008,0.2874
1.23032e-008,0.4434
1.23457e-008,0.5829
1.23881e-008,0.6905
1.24305e-008,0.7705
1.24729e-008,0.8195
1.25154e-008,0.8453
1.25578e-008,0.8579
1.26002e-008,0.8645
1.26427e-008,0.8774
1.26851e-008,0.8902
1.27275e-008,0.8966
1.27699e-008,0.9093
1.28124e-008,0.9573
1.28548e-008,1.0568
1.28972e-008,1.1925
1.29396e-008,1.3350
1.29821e-008,1.4494
1.30245e-008,1.5103
1.30669e-008,1.4326
1.31093e-008,1.1705
1.31517e-008,0.9770
1.31942e-008,0.8316
1.32366e-008,0.7256
1.32790e-008,0.6593
1.33214e-008,0.6585
1.33639e-008,0.6740
1.34063e-008,0.6908
1.34487e-008,0.7069
1.34912e-008,0.7039
1.35336e-008,0.6884
1.35760e-008,0.6827
1.36184e-008,0.6939
1.36609e-008,0.6245
1.37033e-008,0.4422
1.37457e-008,0.2335
1.37881e-008,0.0298
1.38306e-008,-0.1244
1.38730e-008,-0.1598
1.39154e-008,-0.1366
1.39578e-008,-0.1203
1.40002e-008,-0.0851
1.40427e-008,0.0356
1.40851e-008,0.1156
1.41275e-008,0.2035
1.41699e-008,0.2944
1.42124e-008,0.3783
1.42548e-008,0.4548
1.42972e-008,0.5461
1.43397e-008,0.6173
1.43821e-008,0.6400
1.44245e-008,0.6545
1.44669e-008,0.7030
1.45094e-008,0.7686
1.45518e-008,0.8256
1.45942e-008,0.8952
1.46366e-008,0.9638
1.46790e-008,1.0111
1.47215e-008,1.0881
1.47639e-008,1.1923
1.48063e-008,1.2688
1.48487e-008,1.3406
1.48912e-008,1.4148
1.49336e-008,1.4693
1.49760e-008,1.5073
1.50185e-008,1.5382
1.50609e-008,1.5438
1.51033e-008,1.5325
1.51457e-008,1.5345
1.51881e-008,1.5505
1.52306e-008,1.5576
1.52730e-008,1.5504
1.53154e-008,1.5409
1.53579e-008,1.5313
1.54003e-008,1.5205
1.54427e-008,1.5237
1.54851e-008,1.5286
1.55276e-008,1.5185
1.55700e-008,1.5097
1.56124e-008,1.5061
1.56548e-008,1.4958
1.56972e-008,1.4843
1.57397e-008,1.4778
1.57821e-008,1.4691
1.58245e-008,1.4644
1.58670e-008,1.5001
1.59094e-008,1.4646
1.59518e-008,1.3222
1.59942e-008,1.1700
1.60366e-008,1.0028
1.60791e-008,0.8271
1.61215e-008,0.7004
1.61639e-008,0.6318
1.62064e-008,0.5877
1.62488e-008,0.5606
1.62912e-008,0.5611
1.63336e-008,0.5616
1.63761e-008,0.5522
1.64185e-008,0.5455
1.64609e-008,0.5654
1.65033e-008,0.5506
1.65457e-008,0.4891
1.65882e-008,0.3960
1.66306e-008,0.2428
1.66730e-008,0.0661
1.67155e-008,-0.0542
1.67579e-008,-0.1201
1.68003e-008,-0.1468
1.68427e-008,0.0156
1.68851e-008,0.2296
1.69276e-008,0.3891
1.69700e-008,0.5181
1.70124e-008,0.6090
1.70548e-008,0.6390
1.70973e-008,0.6476
1.71397e-008,0.6542
1.71821e-008,0.6619
1.72246e-008,0.6575
1.72670e-008,0.6682
1.73094e-008,0.6912
1.73518e-008,0.7042
1.73942e-008,0.7271
1.74367e-008,0.8474
1.74791e-008,1.0120
1.75215e-008,1.1860
1.75640e-008,1.3631
1.76064e-008,1.4632
1.76488e-008,1.4746
1.76912e-008,1.4728
1.77336e-008,1.4482
1.77761e-008,1.2944
1.78185e-008,1.1236
1.78609e-008,1.0398
1.79033e-008,0.9469
1.79458e-008,0.8428
1.79882e-008,0.7769
1.80306e-008,0.7332
1.80731e-008,0.6914
1.81155e-008,0.6705
1.81579e-008,0.6792
1.82003e-008,0.6563
1.82427e-008,0.6124
1.82852e-008,0.5850
1.83276e-008,0.5457
1.83700e-008,0.4350
1.84125e-008,0.3166
1.84549e-008,0.2076
1.84973e-008,0.0781
1.85397e-008,-0.0125
1.85822e-008,-0.0470
1.86246e-008,-0.0875
1.86670e-008,-0.1228
1.87094e-008,-0.1245
1.87518e-008,-0.1170
1.87943e-008,-0.1136
1.88367e-008,-0.0972
1.88791e-008,-0.0827
1.89216e-008,-0.0879
1.89640e-008,-0.0897
1.90064e-008,-0.0758
1.90488e-008,-0.0671
1.90912e-008,-0.0724
1.91337e-008,-0.0603
1.91761e-008,-0.0342
1.92185e-008,-0.0147
1.92610e-008,0.0116
1.93034e-008,0.0388
1.93458e-008,0.0450
1.93882e-008,0.0460
1.94307e-008,0.0562
1.94731e-008,0.0597
1.95155e-008,0.0556
1.95579e-008,0.0553
1.96003e-008,0.0508
1.96428e-008,0.0405
1.96852e-008,0.0378
1.97276e-008,0.0409
1.97701e-008,0.0380
1.98125e-008,0.0317
1.98549e-008,0.0320
1.98973e-008,0.0325
1.99397e-008,0.0259
1.99822e-008,0.0183
2.00246e-008,0.0083
2.00670e-008,-0.0069
2.01095e-008,-0.0166
2.01519e-008,-0.0181
2.01943e-008,-0.0211
2.02367e-008,-0.0245
2.02792e-008,-0.0234
2.03216e-008,-0.0229
2.03640e-008,-0.0232
2.04064e-008,-0.0196
2.04488e-008,-0.0160
2.04913e-008,-0.0165
2.05337e-008,-0.0171
2.05761e-008,-0.0147
2.06186e-008,-0.0132
2.06610e-008,-0.0136
2.07034e-008,-0.0126
2.07458e-008,-0.0109
2.07882e-008,-0.0085
2.08307e-008,-0.0025
2.08731e-008,0.0044
2.09155e-008,0.0076
2.09580e-008,0.0089
2.10004e-008,0.0107
2.10428e-008,0.0109
2.10852e-008,0.0102
2.11277e-008,0.0106
2.11701e-008,0.0100
2.12125e-008,0.0081
2.12549e-008,0.0075
2.12973e-008,0.0080
2.13398e-008,0.0076
2.13822e-008,0.0068
2.14246e-008,0.0065
2.14671e-008,0.0061
2.15095e-008,0.0054
2.15519e-008,0.0487
2.15943e-008,0.1424
2.16367e-008,0.3060
2.16792e-008,0.4600
2.17216e-008,0.5978
2.17640e-008,0.7020
2.18064e-008,0.7784
2.18489e-008,0.8247
2.18913e-008,0.8474
2.19337e-008,0.8575
2.19762e-008,0.8627
2.20186e-008,0.8748
2.20610e-008,0.8846
2.21034e-008,0.8901
2.21458e-008,0.9060
2.21883e-008,0.9590
2.22307e-008,1.0637
2.22731e-008,1.2040
2.23156e-008,1.3467
2.23580e-008,1.4585
2.24004e-008,1.5185
2.24428e-008,1.5411
2.24852e-008,1.5462
2.25277e-008,1.5464
2.25701e-008,1.5464
2.26125e-008,1.5520
2.26549e-008,1.5631
2.26974e-008,1.5767
2.27398e-008,1.5888
2.27822e-008,1.5923
2.28247e-008,1.5862
2.28671e-008,1.5795
2.29095e-008,1.5769
2.29519e-008,1.5730
2.29943e-008,1.5559
2.30368e-008,1.5234
2.30792e-008,1.4833
2.31216e-008,1.4484
2.31641e-008,1.4310
2.32065e-008,1.4323
2.32489e-008,1.4446
2.32913e-008,1.4593
2.33338e-008,1.4718
2.33762e-008,1.4786
2.34186e-008,1.4782
2.34610e-008,1.4725
2.35034e-008,1.4637
2.35459e-008,1.4566
2.35883e-008,1.4561
2.36307e-008,1.4611
2.36732e-008,1.4663
2.37156e-008,1.4683
2.37580e-008,1.4700
2.38004e-008,1.4762
2.38428e-008,1.4889
2.38853e-008,1.5056
2.39277e-008,1.5198
2.39701e-008,1.5262
2.40126e-008,1.5247
2.40550e-008,1.5183
2.40974e-008,1.5102
2.41398e-008,1.5033
2.41823e-008,1.4999
2.42247e-008,1.5004
2.42671e-008,1.5045
2.43095e-008,1.5393
2.43519e-008,1.4818
2.43944e-008,1.3434
2.44368e-008,1.1971
2.44792e-008,1.0347
2.45217e-008,0.8648
2.45641e-008,0.7459
2.46065e-008,0.6736
2.46489e-008,0.6230
