.HEADER
..NAMES
Time,V U1.J20
.DATA
1.12516e-008,0.2397
1.12975e-008,0.2230
1.13435e-008,0.2215
1.13894e-008,0.2321
1.14353e-008,0.2483
1.14812e-008,0.2639
1.15272e-008,0.2738
1.15731e-008,0.2752
1.16190e-008,0.2716
1.16649e-008,0.3378
1.17109e-008,0.4814
1.17568e-008,0.6408
1.18027e-008,0.8220
1.18487e-008,1.0106
1.18946e-008,1.1424
1.19405e-008,1.2124
1.19864e-008,1.2544
1.20324e-008,1.2689
1.20783e-008,1.2654
1.21242e-008,1.2602
1.21701e-008,1.2619
1.22161e-008,1.2634
1.22620e-008,1.2704
1.23079e-008,1.2781
1.23538e-008,1.2791
1.23997e-008,1.2633
1.24457e-008,1.2315
1.24916e-008,1.1856
1.25375e-008,1.1408
1.25834e-008,1.1108
1.26294e-008,1.1087
1.26753e-008,1.1312
1.27212e-008,1.1652
1.27672e-008,1.1914
1.28131e-008,1.1980
1.28590e-008,1.1831
1.29049e-008,1.1588
1.29509e-008,1.1421
1.29968e-008,1.1466
1.30427e-008,1.1729
1.30886e-008,1.2106
1.31346e-008,1.2434
1.31805e-008,1.2577
1.32264e-008,1.2502
1.32723e-008,1.2292
1.33182e-008,1.2065
1.33642e-008,1.1918
1.34101e-008,1.1901
1.34560e-008,1.1989
1.35019e-008,1.1996
1.35479e-008,1.1159
1.35938e-008,0.9807
1.36397e-008,0.8330
1.36856e-008,0.6761
1.37316e-008,0.4990
1.37775e-008,0.3628
1.38234e-008,0.2744
1.38694e-008,0.2206
1.39153e-008,0.1973
1.39612e-008,0.2003
1.40071e-008,0.2087
1.40531e-008,0.2126
1.40990e-008,0.2116
1.41449e-008,0.2034
1.41908e-008,0.1932
1.42367e-008,0.1918
1.42827e-008,0.2089
1.43286e-008,0.2445
1.43745e-008,0.2909
1.44204e-008,0.3330
1.44664e-008,0.3575
1.45123e-008,0.3561
1.45582e-008,0.3348
1.46041e-008,0.3062
1.46501e-008,0.2856
1.46960e-008,0.2804
1.47419e-008,0.2902
1.47879e-008,0.3057
1.48338e-008,0.3147
1.48797e-008,0.3080
1.49256e-008,0.2864
1.49715e-008,0.2575
1.50175e-008,0.2328
1.50634e-008,0.2209
1.51093e-008,0.2240
1.51552e-008,0.2372
1.52012e-008,0.2540
1.52471e-008,0.2683
1.52930e-008,0.2755
1.53389e-008,0.2741
1.53849e-008,0.2657
1.54308e-008,0.2527
1.54767e-008,0.2389
1.55226e-008,0.2288
1.55686e-008,0.2255
1.56145e-008,0.2294
1.56604e-008,0.2384
1.57063e-008,0.2481
1.57523e-008,0.2536
1.57982e-008,0.2520
1.58441e-008,0.2442
1.58901e-008,0.2343
1.59360e-008,0.2274
1.59819e-008,0.2270
1.60278e-008,0.2331
1.60738e-008,0.2424
1.61197e-008,0.2502
1.61656e-008,0.2531
1.62115e-008,0.2504
