.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
1.00123e-008,-0.7666
1.00547e-008,-0.8249
1.00971e-008,-0.8530
1.01396e-008,-0.8316
1.01820e-008,-0.8021
1.02244e-008,-0.8157
1.02668e-008,-0.8485
1.03093e-008,-0.8772
1.03517e-008,-0.8825
1.03941e-008,-0.8833
1.04366e-008,-0.8842
1.04790e-008,-0.9137
1.05214e-008,-0.9620
1.05638e-008,-0.9973
1.06063e-008,-1.0233
1.06487e-008,-1.0290
1.06911e-008,-1.0063
1.07335e-008,-0.7597
1.07759e-008,-0.3912
1.08184e-008,-0.0215
1.08608e-008,0.3296
1.09032e-008,0.6035
1.09456e-008,0.7597
1.09881e-008,0.8223
1.10305e-008,0.8530
1.10729e-008,0.8358
1.11154e-008,0.8051
1.11578e-008,0.8167
1.12002e-008,0.8476
1.12426e-008,0.8768
1.12851e-008,0.8836
1.13275e-008,0.8840
1.13699e-008,0.8852
1.14123e-008,0.9105
1.14548e-008,0.9586
1.14972e-008,0.9944
1.15396e-008,1.0226
1.15820e-008,1.0309
1.16244e-008,1.0123
1.16669e-008,0.7933
1.17093e-008,0.4258
1.17517e-008,0.0631
1.17941e-008,-0.2974
1.18366e-008,-0.5788
1.18790e-008,-0.7461
1.19214e-008,-0.8155
1.19639e-008,-0.8511
1.20063e-008,-0.8391
1.20487e-008,-0.8048
1.20911e-008,-0.8106
1.21336e-008,-0.8415
1.21760e-008,-0.8735
1.22184e-008,-0.8827
1.22608e-008,-0.8830
1.23032e-008,-0.8834
1.23457e-008,-0.9047
1.23881e-008,-0.9537
1.24305e-008,-0.9909
1.24729e-008,-1.0197
1.25154e-008,-1.0292
1.25578e-008,-1.0147
1.26002e-008,-0.8220
1.26427e-008,-0.4596
1.26851e-008,-0.1038
1.27275e-008,0.2682
1.27699e-008,0.5583
1.28124e-008,0.7375
1.28548e-008,0.8120
1.28972e-008,0.8502
1.29396e-008,0.8425
1.29821e-008,0.8084
1.30245e-008,0.8118
1.30669e-008,0.8409
1.31093e-008,0.8725
1.31517e-008,0.8836
1.31942e-008,0.8836
1.32366e-008,0.8845
1.32790e-008,0.9021
1.33214e-008,0.9499
1.33639e-008,0.9878
1.34063e-008,1.0183
1.34487e-008,1.0307
1.34912e-008,1.0205
1.35336e-008,0.8536
1.35760e-008,0.4959
1.36184e-008,0.1446
1.36609e-008,-0.2357
1.37033e-008,-0.5315
1.37457e-008,-0.7230
1.37881e-008,-0.8045
1.38306e-008,-0.8471
1.38730e-008,-0.8452
1.39154e-008,-0.8098
1.39578e-008,-0.8064
1.40002e-008,-0.8346
1.40427e-008,-0.8687
1.40851e-008,-0.8825
1.41275e-008,-0.8827
1.41699e-008,-0.8833
1.42124e-008,-0.8970
1.42548e-008,-0.9446
1.42972e-008,-0.9844
1.43397e-008,-1.0153
1.43821e-008,-1.0290
1.44245e-008,-1.0225
1.44669e-008,-0.8822
1.45094e-008,-0.5311
1.45518e-008,-0.1824
1.45942e-008,0.2057
1.46366e-008,0.5079
1.46790e-008,0.7133
1.47215e-008,0.8009
1.47639e-008,0.8453
1.48063e-008,0.8477
1.48487e-008,0.8137
1.48912e-008,0.8078
1.49336e-008,0.8344
1.49760e-008,0.8673
1.50185e-008,0.8831
1.50609e-008,0.8833
1.51033e-008,0.8844
1.51457e-008,0.8952
1.51881e-008,0.9406
1.52306e-008,0.9811
1.52730e-008,1.0133
1.53154e-008,1.0299
1.53579e-008,1.0271
1.54003e-008,0.9143
1.54427e-008,0.5685
1.54851e-008,0.2189
1.55276e-008,-0.1720
1.55700e-008,-0.4787
1.56124e-008,-0.6973
1.56548e-008,-0.7936
1.56972e-008,-0.8410
1.57397e-008,-0.8497
1.57821e-008,-0.8160
1.58245e-008,-0.8035
1.58670e-008,-0.8280
1.59094e-008,-0.8630
1.59518e-008,-0.8817
1.59942e-008,-0.8825
1.60366e-008,-0.8835
1.60791e-008,-0.8910
1.61215e-008,-0.9349
1.61639e-008,-0.9777
1.62064e-008,-1.0101
1.62488e-008,-1.0280
