.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
8.3640e-009,1.2511
8.3980e-009,1.2374
8.4320e-009,1.2277
8.4660e-009,1.2185
8.5000e-009,1.2127
8.5340e-009,1.2142
8.5680e-009,1.2197
8.6020e-009,1.2324
8.6360e-009,1.2551
8.6700e-009,1.2767
8.7040e-009,1.2945
8.7380e-009,1.3095
8.7720e-009,1.3165
8.8060e-009,1.3180
8.8400e-009,1.2925
8.8740e-009,1.1672
8.9080e-009,0.9932
8.9420e-009,0.8284
8.9760e-009,0.6675
9.0100e-009,0.5273
9.0440e-009,0.3948
9.0780e-009,0.2855
9.1120e-009,0.2213
9.1460e-009,0.2057
9.1800e-009,0.1935
9.2140e-009,0.1851
9.2480e-009,0.1779
9.2820e-009,0.1879
9.3160e-009,0.1927
9.3500e-009,0.1832
9.3840e-009,0.1662
9.4180e-009,0.1593
9.4520e-009,0.1452
9.4860e-009,0.1144
9.5200e-009,0.0817
9.5540e-009,0.0606
9.5880e-009,0.0564
9.6220e-009,0.0638
9.6560e-009,0.0834
9.6900e-009,0.1210
9.7240e-009,0.1834
9.7580e-009,0.2520
9.7920e-009,0.3194
9.8260e-009,0.3846
9.8600e-009,0.4492
9.8940e-009,0.5309
9.9280e-009,0.6311
9.9620e-009,0.7454
9.9960e-009,0.8688
1.00300e-008,0.9886
1.00640e-008,1.0839
1.00980e-008,1.1569
1.01320e-008,1.2145
1.01660e-008,1.2469
1.02000e-008,1.2593
1.02340e-008,1.2532
1.02680e-008,1.2392
1.03020e-008,1.2287
1.03360e-008,1.2192
1.03700e-008,1.2119
1.04040e-008,1.2121
1.04380e-008,1.2164
1.04720e-008,1.2271
1.05060e-008,1.2487
1.05400e-008,1.2714
1.05740e-008,1.2899
1.06080e-008,1.3068
1.06420e-008,1.3162
1.06760e-008,1.3198
1.07100e-008,1.3014
1.07440e-008,1.1918
1.07780e-008,1.0213
1.08120e-008,0.8544
1.08460e-008,0.6882
1.08800e-008,0.5467
1.09140e-008,0.4109
1.09480e-008,0.2980
1.09820e-008,0.2252
1.10160e-008,0.2063
1.10500e-008,0.1955
1.10840e-008,0.1870
1.11180e-008,0.1785
1.11520e-008,0.1866
1.11860e-008,0.1932
1.12200e-008,0.1848
1.12540e-008,0.1675
1.12880e-008,0.1585
1.13220e-008,0.1472
1.13560e-008,0.1177
1.13900e-008,0.0841
1.14240e-008,0.0606
1.14580e-008,0.0544
1.14920e-008,0.0604
1.15260e-008,0.0789
1.15600e-008,0.1136
1.15940e-008,0.1742
1.16280e-008,0.2442
1.16620e-008,0.3095
1.16960e-008,0.3762
1.17300e-008,0.4415
1.17640e-008,0.5160
1.17980e-008,0.6161
1.18320e-008,0.7268
1.18660e-008,0.8487
1.19000e-008,0.9714
1.19340e-008,1.0704
1.19680e-008,1.1465
1.20020e-008,1.2081
1.20360e-008,1.2438
1.20700e-008,1.2598
1.21040e-008,1.2556
1.21380e-008,1.2416
1.21720e-008,1.2302
1.22060e-008,1.2202
1.22400e-008,1.2118
1.22740e-008,1.2109
1.23080e-008,1.2143
1.23420e-008,1.2235
1.23760e-008,1.2438
1.24100e-008,1.2673
1.24440e-008,1.2863
1.24780e-008,1.3042
1.25120e-008,1.3153
1.25460e-008,1.3202
1.25800e-008,1.3071
1.26140e-008,1.2144
1.26480e-008,1.0491
1.26820e-008,0.8794
1.27160e-008,0.7104
1.27500e-008,0.5673
1.27840e-008,0.4287
1.28180e-008,0.3119
1.28520e-008,0.2307
1.28860e-008,0.2070
1.29200e-008,0.1973
1.29540e-008,0.1883
1.29880e-008,0.1793
1.30220e-008,0.1850
1.30560e-008,0.1934
1.30900e-008,0.1867
1.31240e-008,0.1699
1.31580e-008,0.1586
1.31920e-008,0.1496
1.32260e-008,0.1218
1.32600e-008,0.0878
1.32940e-008,0.0620
1.33280e-008,0.0537
1.33620e-008,0.0582
1.33960e-008,0.0751
1.34300e-008,0.1070
1.34640e-008,0.1646
1.34980e-008,0.2348
1.35320e-008,0.2987
1.35660e-008,0.3674
1.36000e-008,0.4335
1.36340e-008,0.5020
1.36680e-008,0.6019
1.37020e-008,0.7088
1.37360e-008,0.8295
1.37700e-008,0.9536
1.38040e-008,1.0564
1.38380e-008,1.1361
1.38720e-008,1.2010
1.39060e-008,1.2401
1.39400e-008,1.2594
1.39740e-008,1.2573
1.40080e-008,1.2440
1.40420e-008,1.2317
1.40760e-008,1.2215
1.41100e-008,1.2123
1.41440e-008,1.2102
1.41780e-008,1.2130
1.42120e-008,1.2208
1.42460e-008,1.2396
1.42800e-008,1.2636
1.43140e-008,1.2832
1.43480e-008,1.3017
1.43820e-008,1.3143
1.44160e-008,1.3202
1.44500e-008,1.3123
1.44840e-008,1.2365
1.45180e-008,1.0764
1.45520e-008,0.9037
1.45860e-008,0.7336
1.46200e-008,0.5881
1.46540e-008,0.4475
1.46880e-008,0.3267
1.47220e-008,0.2380
1.47560e-008,0.2080
1.47900e-008,0.1992
1.48240e-008,0.1893
1.48580e-008,0.1804
1.48920e-008,0.1835
1.49260e-008,0.1933
1.49600e-008,0.1886
1.49940e-008,0.1726
1.50280e-008,0.1591
1.50620e-008,0.1520
1.50960e-008,0.1263
1.51300e-008,0.0922
1.51640e-008,0.0644
