.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
1.00123e-008,-0.7570
1.00547e-008,-0.8760
1.00971e-008,-0.8997
1.01396e-008,-0.8909
1.01820e-008,-0.8494
1.02244e-008,-0.7982
1.02668e-008,-0.7982
1.03093e-008,-0.8351
1.03517e-008,-0.8866
1.03941e-008,-0.9082
1.04366e-008,-0.9076
1.04790e-008,-0.8984
1.05214e-008,-0.8935
1.05638e-008,-0.9066
1.06063e-008,-0.9596
1.06487e-008,-1.0134
1.06911e-008,-1.0334
1.07335e-008,-0.9279
1.07759e-008,-0.5561
1.08184e-008,-0.1769
1.08608e-008,0.2250
1.09032e-008,0.5323
1.09456e-008,0.7433
1.09881e-008,0.8711
1.10305e-008,0.9020
1.10729e-008,0.8952
1.11154e-008,0.8563
1.11578e-008,0.8036
1.12002e-008,0.7999
1.12426e-008,0.8341
1.12851e-008,0.8836
1.13275e-008,0.9088
1.13699e-008,0.9094
1.14123e-008,0.8997
1.14548e-008,0.8945
1.14972e-008,0.9052
1.15396e-008,0.9553
1.15820e-008,1.0111
1.16244e-008,1.0345
1.16669e-008,0.9593
1.17093e-008,0.5991
1.17517e-008,0.2148
1.17941e-008,-0.1879
1.18366e-008,-0.5032
1.18790e-008,-0.7249
1.19214e-008,-0.8616
1.19639e-008,-0.8997
1.20063e-008,-0.8944
1.20487e-008,-0.8598
1.20911e-008,-0.8059
1.21336e-008,-0.7940
1.21760e-008,-0.8262
1.22184e-008,-0.8776
1.22608e-008,-0.9067
1.23032e-008,-0.9087
1.23457e-008,-0.9003
1.23881e-008,-0.8939
1.24305e-008,-0.9010
1.24729e-008,-0.9473
1.25154e-008,-1.0055
1.25578e-008,-1.0326
1.26002e-008,-0.9827
1.26427e-008,-0.6387
1.26851e-008,-0.2482
1.27275e-008,0.1536
1.27699e-008,0.4774
1.28124e-008,0.7095
1.28548e-008,0.8553
1.28972e-008,0.9014
1.29396e-008,0.8981
1.29821e-008,0.8664
1.30245e-008,0.8118
1.30669e-008,0.7959
1.31093e-008,0.8260
1.31517e-008,0.8741
1.31942e-008,0.9067
1.32366e-008,0.9102
1.32790e-008,0.9017
1.33214e-008,0.8948
1.33639e-008,0.9002
1.34063e-008,0.9431
1.34487e-008,1.0024
1.34912e-008,1.0319
1.35336e-008,1.0017
1.35760e-008,0.6827
1.36184e-008,0.2859
1.36609e-008,-0.1129
1.37033e-008,-0.4466
1.37457e-008,-0.6893
1.37881e-008,-0.8438
1.38306e-008,-0.8989
1.38730e-008,-0.8969
1.39154e-008,-0.8695
1.39578e-008,-0.8152
1.40002e-008,-0.7912
1.40427e-008,-0.8183
1.40851e-008,-0.8675
1.41275e-008,-0.9043
1.41699e-008,-0.9093
1.42124e-008,-0.9024
1.42548e-008,-0.8947
1.42972e-008,-0.8971
1.43397e-008,-0.9354
1.43821e-008,-0.9960
1.44245e-008,-1.0297
1.44669e-008,-1.0128
1.45094e-008,-0.7207
1.45518e-008,-0.3196
1.45942e-008,0.0754
1.46366e-008,0.4193
1.46790e-008,0.6718
1.47215e-008,0.8346
1.47639e-008,0.8997
1.48063e-008,0.8999
1.48487e-008,0.8758
1.48912e-008,0.8216
1.49336e-008,0.7936
1.49760e-008,0.8186
1.50185e-008,0.8640
1.50609e-008,0.9035
1.51033e-008,0.9106
1.51457e-008,0.9037
1.51881e-008,0.8954
1.52306e-008,0.8970
1.52730e-008,0.9315
1.53154e-008,0.9923
1.53579e-008,1.0286
1.54003e-008,1.0207
1.54427e-008,0.7597
1.54851e-008,0.3570
1.55276e-008,-0.0332
1.55700e-008,-0.3872
1.56124e-008,-0.6500
1.56548e-008,-0.8201
1.56972e-008,-0.8961
1.57397e-008,-0.8982
1.57821e-008,-0.8782
1.58245e-008,-0.8259
1.58670e-008,-0.7905
1.59094e-008,-0.8111
1.59518e-008,-0.8568
1.59942e-008,-0.9005
1.60366e-008,-0.9096
1.60791e-008,-0.9044
1.61215e-008,-0.8956
1.61639e-008,-0.8949
1.62064e-008,-0.9246
1.62488e-008,-0.9853
1.62912e-008,-1.0259
1.63336e-008,-1.0234
1.63761e-008,-0.7929
1.64185e-008,-0.3918
1.64609e-008,-0.0064
1.65033e-008,0.3586
1.65457e-008,0.6308
1.65882e-008,0.8076
1.66306e-008,0.8948
1.66730e-008,0.9006
1.67155e-008,0.8838
1.67579e-008,0.8327
1.68003e-008,0.7936
1.68427e-008,0.8117
1.68851e-008,0.8537
1.69276e-008,0.8988
1.69700e-008,0.9105
1.70124e-008,0.9058
1.70548e-008,0.8964
1.70973e-008,0.8951
1.71397e-008,0.9212
1.71821e-008,0.9810
1.72246e-008,1.0243
1.72670e-008,1.0270
1.73094e-008,0.8268
1.73518e-008,0.4313
1.73942e-008,0.0507
1.74367e-008,-0.3257
1.74791e-008,-0.6075
1.75215e-008,-0.7913
1.75640e-008,-0.8891
1.76064e-008,-0.8990
1.76488e-008,-0.8854
1.76912e-008,-0.8373
1.77336e-008,-0.7926
1.77761e-008,-0.8045
1.78185e-008,-0.8463
1.78609e-008,-0.8950
1.79033e-008,-0.9093
1.79458e-008,-0.9062
1.79882e-008,-0.8969
1.80306e-008,-0.8938
1.80731e-008,-0.9152
1.81155e-008,-0.9735
1.81579e-008,-1.0209
1.82003e-008,-1.0294
1.82427e-008,-0.8574
1.82852e-008,-0.4682
1.83276e-008,-0.0906
1.83700e-008,0.2963
1.84125e-008,0.5865
1.84549e-008,0.7776
1.84973e-008,0.8853
1.85397e-008,0.9013
1.85822e-008,0.8902
1.86246e-008,0.8441
1.86670e-008,0.7967
1.87094e-008,0.8054
1.87518e-008,0.8439
1.87943e-008,0.8924
1.88367e-008,0.9099
1.88791e-008,0.9076
1.89216e-008,0.8977
1.89640e-008,0.8943
1.90064e-008,0.9125
1.90488e-008,0.9689
1.90912e-008,1.0187
1.91337e-008,1.0323
1.91761e-008,0.8903
1.92185e-008,0.5094
1.92610e-008,0.1325
1.93034e-008,-0.2629
1.93458e-008,-0.5611
1.93882e-008,-0.7607
1.94307e-008,-0.8777
1.94731e-008,-0.8999
1.95155e-008,-0.8907
1.95579e-008,-0.8485
1.96003e-008,-0.7976
1.96428e-008,-0.7989
1.96852e-008,-0.8364
1.97276e-008,-0.8878
1.97701e-008,-0.9086
1.98125e-008,-0.9077
1.98549e-008,-0.8984
1.98973e-008,-0.8937
1.99397e-008,-0.9075
1.99822e-008,-0.9612
2.00246e-008,-1.0145
2.00670e-008,-1.0336
2.01095e-008,-0.9214
2.01519e-008,-0.5477
2.01943e-008,-0.1690
2.02367e-008,0.2319
2.02792e-008,0.5376
2.03216e-008,0.7465
2.03640e-008,0.8724
2.04064e-008,0.9018
2.04488e-008,0.8946
2.04913e-008,0.8550
2.05337e-008,0.8025
2.05761e-008,0.8001
2.06186e-008,0.8348
2.06610e-008,0.8844
2.07034e-008,0.9088
2.07458e-008,0.9090
2.07882e-008,0.8993
2.08307e-008,0.8942
2.08731e-008,0.9055
2.09155e-008,0.9565
2.09580e-008,1.0118
2.10004e-008,1.0345
2.10428e-008,0.9536
2.10852e-008,0.5899
2.11277e-008,0.2067
2.11701e-008,-0.1960
2.12125e-008,-0.5096
2.12549e-008,-0.7289
2.12973e-008,-0.8636
2.13398e-008,-0.9000
2.13822e-008,-0.8943
2.14246e-008,-0.8589
2.14671e-008,-0.8051
2.15095e-008,-0.7945
2.15519e-008,-0.8273
2.15943e-008,-0.8789
2.16367e-008,-0.9071
2.16792e-008,-0.9088
2.17216e-008,-0.9003
2.17640e-008,-0.8940
2.18064e-008,-0.9016
2.18489e-008,-0.9488
2.18913e-008,-1.0067
2.19337e-008,-1.0331
2.19762e-008,-0.9789
2.20186e-008,-0.6297
2.20610e-008,-0.2407
2.21034e-008,0.1614
2.21458e-008,0.4834
2.21883e-008,0.7131
2.22307e-008,0.8571
2.22731e-008,0.9013
2.23156e-008,0.8976
2.23580e-008,0.8652
2.24004e-008,0.8106
2.24428e-008,0.7960
2.24852e-008,0.8266
2.25277e-008,0.8751
2.25701e-008,0.9068
2.26125e-008,0.9100
2.26549e-008,0.9012
2.26974e-008,0.8945
2.27398e-008,0.9004
2.27822e-008,0.9442
2.28247e-008,1.0033
2.28671e-008,1.0321
2.29095e-008,0.9990
2.29519e-008,0.6738
2.29943e-008,0.2778
2.30368e-008,-0.1218
2.30792e-008,-0.4533
2.31216e-008,-0.6938
2.31641e-008,-0.8464
2.32065e-008,-0.8993
2.32489e-008,-0.8969
2.32913e-008,-0.8687
2.33338e-008,-0.8142
2.33762e-008,-0.7915
2.34186e-008,-0.8192
2.34610e-008,-0.8689
2.35034e-008,-0.9048
2.35459e-008,-0.9095
2.35883e-008,-0.9023
2.36307e-008,-0.8947
2.36732e-008,-0.8976
2.37156e-008,-0.9368
2.37580e-008,-0.9974
2.38004e-008,-1.0303
2.38428e-008,-1.0121
2.38853e-008,-0.7127
2.39277e-008,-0.3121
2.39701e-008,0.0839
2.40126e-008,0.4256
2.40550e-008,0.6759
2.40974e-008,0.8370
2.41398e-008,0.8999
2.41823e-008,0.8996
2.42247e-008,0.8746
2.42671e-008,0.8203
2.43095e-008,0.7935
2.43519e-008,0.8191
2.43944e-008,0.8650
2.44368e-008,0.9038
2.44792e-008,0.9105
2.45217e-008,0.9033
2.45641e-008,0.8952
2.46065e-008,0.8971
2.46489e-008,0.9325
2.46913e-008,0.9934
2.47338e-008,1.0289
2.47762e-008,1.0199
2.48186e-008,0.7519
2.48611e-008,0.3491
2.49035e-008,-0.0424
2.49459e-008,-0.3942
2.49883e-008,-0.6547
2.50308e-008,-0.8234
2.50732e-008,-0.8968
2.51156e-008,-0.8983
2.51580e-008,-0.8775
2.52004e-008,-0.8248
2.52429e-008,-0.7905
2.52853e-008,-0.8119
2.53277e-008,-0.8582
2.53702e-008,-0.9012
2.54126e-008,-0.9098
2.54550e-008,-0.9043
2.54974e-008,-0.8956
2.55398e-008,-0.8952
2.55823e-008,-0.9258
2.56247e-008,-0.9867
2.56671e-008,-1.0266
2.57096e-008,-1.0230
2.57520e-008,-0.7861
2.57944e-008,-0.3842
2.58368e-008,0.0025
2.58793e-008,0.3651
2.59217e-008,0.6352
2.59641e-008,0.8106
2.60065e-008,0.8955
2.60489e-008,0.9005
2.60914e-008,0.8829
2.61338e-008,0.8313
2.61762e-008,0.7932
2.62187e-008,0.8122
2.62611e-008,0.8547
2.63035e-008,0.8993
2.63459e-008,0.9105
2.63883e-008,0.9054
2.64308e-008,0.8961
2.64732e-008,0.8951
2.65156e-008,0.9221
2.65580e-008,0.9822
2.66005e-008,1.0247
2.66429e-008,1.0259
2.66853e-008,0.8195
2.67278e-008,0.4228
2.67702e-008,0.0409
2.68126e-008,-0.3328
2.68550e-008,-0.6126
2.68974e-008,-0.7948
2.69399e-008,-0.8903
2.69823e-008,-0.8991
2.70247e-008,-0.8848
2.70672e-008,-0.8362
2.71096e-008,-0.7923
2.71520e-008,-0.8053
2.71944e-008,-0.8476
2.72368e-008,-0.8959
2.72793e-008,-0.9096
2.73217e-008,-0.9061
2.73641e-008,-0.8968
2.74065e-008,-0.8940
2.74490e-008,-0.9163
2.74914e-008,-0.9750
2.75338e-008,-1.0217
2.75763e-008,-1.0286
2.76187e-008,-0.8505
2.76611e-008,-0.4599
2.77035e-008,-0.0817
2.77459e-008,0.3030
2.77884e-008,0.5914
2.78308e-008,0.7807
2.78732e-008,0.8864
2.79157e-008,0.9012
2.79581e-008,0.8894
2.80005e-008,0.8428
2.80429e-008,0.7960
2.80854e-008,0.8059
2.81278e-008,0.8448
2.81702e-008,0.8931
2.82126e-008,0.9099
2.82550e-008,0.9073
2.82975e-008,0.8974
2.83399e-008,0.8943
2.83823e-008,0.9132
2.84248e-008,0.9701
2.84672e-008,1.0193
2.85096e-008,1.0314
2.85520e-008,0.8832
2.85944e-008,0.5006
2.86369e-008,0.1235
2.86793e-008,-0.2701
2.87217e-008,-0.5667
2.87642e-008,-0.7642
2.88066e-008,-0.8794
2.88490e-008,-0.9000
2.88914e-008,-0.8903
2.89339e-008,-0.8475
2.89763e-008,-0.7970
2.90187e-008,-0.7995
2.90611e-008,-0.8375
2.91035e-008,-0.8888
2.91460e-008,-0.9088
2.91884e-008,-0.9077
2.92308e-008,-0.8984
2.92733e-008,-0.8938
2.93157e-008,-0.9083
2.93581e-008,-0.9626
2.94005e-008,-1.0155
2.94429e-008,-1.0331
2.94854e-008,-0.9145
2.95278e-008,-0.5393
2.95702e-008,-0.1610
2.96127e-008,0.2390
2.96551e-008,0.5431
2.96975e-008,0.7498
2.97399e-008,0.8739
2.97824e-008,0.9017
2.98248e-008,0.8941
2.98672e-008,0.8538
2.99096e-008,0.8017
2.99521e-008,0.8005
2.99945e-008,0.8356
3.00369e-008,0.8852
3.00793e-008,0.9088
3.01218e-008,0.9088
3.01642e-008,0.8990
3.02066e-008,0.8941
3.02490e-008,0.9061
3.02914e-008,0.9577
3.03339e-008,1.0125
3.03763e-008,1.0340
3.04187e-008,0.9476
3.04612e-008,0.5811
3.05036e-008,0.1988
3.05460e-008,-0.2038
3.05884e-008,-0.5157
3.06309e-008,-0.7326
3.06733e-008,-0.8655
3.07157e-008,-0.9002
3.07581e-008,-0.8941
3.08005e-008,-0.8580
3.08430e-008,-0.8043
3.08854e-008,-0.7949
3.09278e-008,-0.8283
3.09702e-008,-0.8801
3.10127e-008,-0.9075
3.10551e-008,-0.9089
3.10975e-008,-0.9002
3.11400e-008,-0.8941
3.11824e-008,-0.9023
3.12248e-008,-0.9502
3.12672e-008,-1.0078
3.13096e-008,-1.0335
3.13521e-008,-0.9745
3.13945e-008,-0.6212
3.14369e-008,-0.2333
3.14793e-008,0.1692
3.15218e-008,0.4893
3.15642e-008,0.7167
3.16066e-008,0.8588
3.16491e-008,0.9013
3.16915e-008,0.8973
3.17339e-008,0.8640
3.17763e-008,0.8095
3.18188e-008,0.7963
3.18612e-008,0.8273
3.19036e-008,0.8760
3.19460e-008,0.9070
3.19884e-008,0.9098
3.20309e-008,0.9009
3.20733e-008,0.8944
3.21157e-008,0.9008
3.21582e-008,0.9453
3.22006e-008,1.0042
3.22430e-008,1.0323
3.22854e-008,0.9958
3.23279e-008,0.6646
3.23703e-008,0.2701
3.24127e-008,-0.1304
3.24551e-008,-0.4598
3.24975e-008,-0.6980
3.25400e-008,-0.8487
3.25824e-008,-0.8996
3.26248e-008,-0.8968
3.26672e-008,-0.8678
3.27097e-008,-0.8133
3.27521e-008,-0.7918
3.27945e-008,-0.8201
3.28370e-008,-0.8701
3.28794e-008,-0.9052
3.29218e-008,-0.9096
3.29642e-008,-0.9021
3.30066e-008,-0.8947
3.30491e-008,-0.8980
3.30915e-008,-0.9381
3.31339e-008,-0.9985
3.31763e-008,-1.0308
3.32188e-008,-1.0106
3.32612e-008,-0.7043
3.33036e-008,-0.3047
3.33461e-008,0.0924
3.33885e-008,0.4319
3.34309e-008,0.6800
3.34733e-008,0.8394
3.35158e-008,0.9000
3.35582e-008,0.8994
3.36006e-008,0.8736
3.36430e-008,0.8191
3.36854e-008,0.7936
3.37279e-008,0.8198
3.37703e-008,0.8659
3.38127e-008,0.9041
3.38552e-008,0.9104
3.38976e-008,0.9030
3.39400e-008,0.8950
3.39824e-008,0.8973
3.40249e-008,0.9336
3.40673e-008,0.9944
3.41097e-008,1.0292
3.41521e-008,1.0187
3.41945e-008,0.7438
3.42370e-008,0.3414
3.42794e-008,-0.0513
3.43218e-008,-0.4009
3.43643e-008,-0.6594
3.44067e-008,-0.8263
3.44491e-008,-0.8974
3.44915e-008,-0.8984
3.45340e-008,-0.8767
3.45764e-008,-0.8237
3.46188e-008,-0.7905
3.46612e-008,-0.8127
3.47036e-008,-0.8594
3.47461e-008,-0.9018
3.47885e-008,-0.9099
3.48309e-008,-0.9042
3.48733e-008,-0.8956
3.49158e-008,-0.8954
3.49582e-008,-0.9270
3.50006e-008,-0.9880
3.50431e-008,-1.0271
3.50855e-008,-1.0220
3.51279e-008,-0.7788
3.51703e-008,-0.3765
3.52128e-008,0.0114
3.52552e-008,0.3717
3.52976e-008,0.6397
3.53400e-008,0.8136
3.53824e-008,0.8961
3.54249e-008,0.9004
3.54673e-008,0.8820
3.55097e-008,0.8301
3.55522e-008,0.7930
3.55946e-008,0.8128
3.56370e-008,0.8557
3.56794e-008,0.8998
3.57219e-008,0.9104
3.57643e-008,0.9051
3.58067e-008,0.8959
3.58491e-008,0.8952
3.58915e-008,0.9230
3.59340e-008,0.9833
3.59764e-008,1.0252
3.60188e-008,1.0252
3.60613e-008,0.8129
3.61037e-008,0.4148
3.61461e-008,0.0316
3.61885e-008,-0.3397
3.62310e-008,-0.6175
3.62734e-008,-0.7982
3.63158e-008,-0.8914
3.63582e-008,-0.8992
3.64006e-008,-0.8842
3.64431e-008,-0.8351
3.64855e-008,-0.7919
3.65279e-008,-0.8059
3.65703e-008,-0.8487
3.66128e-008,-0.8966
3.66552e-008,-0.9097
3.66976e-008,-0.9061
3.67401e-008,-0.8968
3.67825e-008,-0.8942
3.68249e-008,-0.9172
3.68673e-008,-0.9763
3.69097e-008,-1.0224
3.69522e-008,-1.0281
3.69946e-008,-0.8424
3.70370e-008,-0.4504
3.70794e-008,-0.0718
3.71219e-008,0.3102
3.71643e-008,0.5967
3.72067e-008,0.7842
3.72492e-008,0.8875
3.72916e-008,0.9010
3.73340e-008,0.8886
3.73764e-008,0.8412
3.74189e-008,0.7956
3.74613e-008,0.8067
3.75037e-008,0.8460
3.75461e-008,0.8937
3.75885e-008,0.9099
3.76310e-008,0.9070
3.76734e-008,0.8971
3.77158e-008,0.8943
3.77583e-008,0.9143
3.78007e-008,0.9716
3.78431e-008,1.0198
3.78855e-008,1.0308
3.79280e-008,0.8748
3.79704e-008,0.4907
3.80128e-008,0.1139
3.80552e-008,-0.2776
3.80976e-008,-0.5724
3.81401e-008,-0.7679
3.81825e-008,-0.8807
3.82249e-008,-0.8999
3.82673e-008,-0.8898
3.83098e-008,-0.8461
3.83522e-008,-0.7966
3.83946e-008,-0.8003
3.84371e-008,-0.8388
3.84795e-008,-0.8897
3.85219e-008,-0.9089
3.85643e-008,-0.9076
3.86067e-008,-0.8983
3.86492e-008,-0.8939
3.86916e-008,-0.9094
3.87340e-008,-0.9642
3.87764e-008,-1.0162
3.88189e-008,-1.0328
3.88613e-008,-0.9060
3.89037e-008,-0.5293
3.89462e-008,-0.1519
3.89886e-008,0.2467
3.90310e-008,0.5489
3.90734e-008,0.7534
3.91159e-008,0.8752
3.91583e-008,0.9015
3.92007e-008,0.8935
3.92431e-008,0.8523
3.92855e-008,0.8010
3.93280e-008,0.8012
3.93704e-008,0.8367
3.94128e-008,0.8861
3.94553e-008,0.9088
3.94977e-008,0.9085
3.95401e-008,0.8988
3.95825e-008,0.8941
3.96250e-008,0.9069
3.96674e-008,0.9591
3.97098e-008,1.0132
3.97522e-008,1.0338
3.97946e-008,0.9388
3.98371e-008,0.5708
3.98795e-008,0.1900
3.99219e-008,-0.2121
3.99644e-008,-0.5221
4.00068e-008,-0.7367
4.00492e-008,-0.8671
4.00916e-008,-0.9002
4.01341e-008,-0.8938
4.01765e-008,-0.8567
4.02189e-008,-0.8036
4.02613e-008,-0.7957
4.03037e-008,-0.8295
4.03462e-008,-0.8811
4.03886e-008,-0.9076
4.04310e-008,-0.9087
4.04734e-008,-0.9001
4.05159e-008,-0.8941
4.05583e-008,-0.9031
4.06007e-008,-0.9518
4.06432e-008,-1.0087
4.06856e-008,-1.0337
4.07280e-008,-0.9667
4.07704e-008,-0.6107
4.08128e-008,-0.2246
4.08553e-008,0.1779
4.08977e-008,0.4957
4.09401e-008,0.7209
4.09825e-008,0.8604
4.10250e-008,0.9012
4.10674e-008,0.8968
4.11098e-008,0.8627
4.11523e-008,0.8085
4.11947e-008,0.7969
4.12371e-008,0.8284
4.12795e-008,0.8770
4.13220e-008,0.9071
4.13644e-008,0.9096
4.14068e-008,0.9007
4.14492e-008,0.8943
4.14916e-008,0.9014
4.15341e-008,0.9468
4.15765e-008,1.0051
4.16189e-008,1.0325
4.16614e-008,0.9892
4.17038e-008,0.6538
4.17462e-008,0.2612
4.17886e-008,-0.1397
4.18311e-008,-0.4666
4.18735e-008,-0.7025
4.19159e-008,-0.8508
4.19583e-008,-0.8996
4.20007e-008,-0.8965
4.20432e-008,-0.8666
4.20856e-008,-0.8123
4.21280e-008,-0.7924
4.21704e-008,-0.8212
4.22129e-008,-0.8713
4.22553e-008,-0.9055
4.22977e-008,-0.9095
4.23402e-008,-0.9020
4.23826e-008,-0.8947
4.24250e-008,-0.8986
4.24674e-008,-0.9397
4.25098e-008,-0.9997
4.25523e-008,-1.0311
4.25947e-008,-1.0051
4.26371e-008,-0.6941
4.26795e-008,-0.2958
4.27220e-008,0.1017
4.27644e-008,0.4387
4.28068e-008,0.6844
4.28493e-008,0.8417
4.28917e-008,0.9000
4.29341e-008,0.8990
4.29765e-008,0.8723
4.30190e-008,0.8178
4.30614e-008,0.7939
4.31038e-008,0.8208
4.31462e-008,0.8671
4.31886e-008,0.9043
4.32311e-008,0.9102
4.32735e-008,0.9027
4.33159e-008,0.8949
4.33584e-008,0.8977
4.34008e-008,0.9351
4.34432e-008,0.9955
4.34856e-008,1.0294
4.35281e-008,1.0143
4.35705e-008,0.7340
4.36129e-008,0.3323
4.36553e-008,-0.0611
4.36977e-008,-0.4081
4.37402e-008,-0.6640
4.37826e-008,-0.8292
