.HEADER
..NAMES
Time,V U1.J23
.DATA
1.03941e-008,0.2153
1.04366e-008,0.2153
1.04790e-008,0.2153
1.05214e-008,0.2153
1.05638e-008,0.2153
1.06063e-008,0.2153
1.06487e-008,0.2153
1.06911e-008,0.2153
1.07335e-008,0.3141
1.07759e-008,0.4996
1.08184e-008,0.6892
1.08608e-008,0.8858
1.09032e-008,0.9989
1.09456e-008,1.0668
1.09881e-008,1.1103
1.10305e-008,1.1397
1.10729e-008,1.1833
1.11154e-008,1.2053
1.11578e-008,1.2231
1.12002e-008,1.2330
1.12426e-008,1.2345
1.12851e-008,1.2342
1.13275e-008,1.2258
1.13699e-008,1.2166
1.14123e-008,1.2008
1.14548e-008,1.1856
1.14972e-008,1.1828
1.15396e-008,1.1889
1.15820e-008,1.2102
1.16244e-008,1.2363
1.16669e-008,1.2515
1.17093e-008,1.2560
1.17517e-008,1.2514
1.17941e-008,1.2485
1.18366e-008,1.2523
1.18790e-008,1.2593
1.19214e-008,1.2656
1.19639e-008,1.2658
1.20063e-008,1.2621
1.20487e-008,1.2594
1.20911e-008,1.2585
1.21336e-008,1.2591
1.21760e-008,1.2598
1.22184e-008,1.2608
1.22608e-008,1.2621
1.23032e-008,1.2640
1.23457e-008,1.2664
1.23881e-008,1.2676
1.24305e-008,1.2673
1.24729e-008,1.2660
1.25154e-008,1.2639
1.25578e-008,1.2623
1.26002e-008,1.2618
1.26427e-008,1.2624
1.26851e-008,1.2635
1.27275e-008,1.2639
1.27699e-008,1.2635
1.28124e-008,1.2625
1.28548e-008,1.2618
1.28972e-008,1.2621
1.29396e-008,1.2631
1.29821e-008,1.2638
1.30245e-008,1.2639
1.30669e-008,1.2637
1.31093e-008,1.2634
1.31517e-008,1.2632
1.31942e-008,1.2632
1.32366e-008,1.2631
1.32790e-008,1.2629
1.33214e-008,1.2628
1.33639e-008,1.2629
1.34063e-008,1.2631
1.34487e-008,1.2633
1.34912e-008,1.2633
1.35336e-008,1.2632
1.35760e-008,1.2631
1.36184e-008,1.2631
1.36609e-008,1.2631
1.37033e-008,1.2632
1.37457e-008,1.2633
1.37881e-008,1.2633
1.38306e-008,1.2633
1.38730e-008,1.2631
1.39154e-008,1.2630
1.39578e-008,1.2630
1.40002e-008,1.2631
1.40427e-008,1.2632
1.40851e-008,1.2632
1.41275e-008,1.2631
1.41699e-008,1.2631
1.42124e-008,1.2631
1.42548e-008,1.2632
1.42972e-008,1.2631
1.43397e-008,1.2631
1.43821e-008,1.2631
1.44245e-008,1.2631
1.44669e-008,1.2631
1.45094e-008,1.2631
1.45518e-008,1.2631
1.45942e-008,1.2631
1.46366e-008,1.2631
1.46790e-008,1.2631
1.47215e-008,1.2631
1.47639e-008,1.2631
1.48063e-008,1.2631
1.48487e-008,1.2631
1.48912e-008,1.2631
1.49336e-008,1.2631
1.49760e-008,1.2631
1.50185e-008,1.2631
1.50609e-008,1.2631
1.51033e-008,1.2631
1.51457e-008,1.2631
1.51881e-008,1.2631
1.52306e-008,1.2631
1.52730e-008,1.2631
1.53154e-008,1.2631
1.53579e-008,1.2631
1.54003e-008,1.2631
1.54427e-008,1.2631
1.54851e-008,1.2631
1.55276e-008,1.2631
1.55700e-008,1.2631
1.56124e-008,1.2631
1.56548e-008,1.2631
1.56972e-008,1.2631
1.57397e-008,1.2631
1.57821e-008,1.2631
1.58245e-008,1.2631
1.58670e-008,1.2631
1.59094e-008,1.2631
1.59518e-008,1.2630
1.59942e-008,1.2630
1.60366e-008,1.2630
1.60791e-008,1.2630
1.61215e-008,1.2630
1.61639e-008,1.2630
1.62064e-008,1.2630
1.62488e-008,1.2630
1.62912e-008,1.2630
1.63336e-008,1.2252
1.63761e-008,1.0064
1.64185e-008,0.7977
1.64609e-008,0.6139
1.65033e-008,0.4740
1.65457e-008,0.3971
1.65882e-008,0.3476
1.66306e-008,0.3207
1.66730e-008,0.2917
1.67155e-008,0.2613
1.67579e-008,0.2509
1.68003e-008,0.2371
1.68427e-008,0.2310
1.68851e-008,0.2356
1.69276e-008,0.2448
1.69700e-008,0.2568
1.70124e-008,0.2689
1.70548e-008,0.2898
1.70973e-008,0.2990
1.71397e-008,0.2910
1.71821e-008,0.2734
1.72246e-008,0.2432
1.72670e-008,0.2208
1.73094e-008,0.2163
1.73518e-008,0.2196
1.73942e-008,0.2239
1.74367e-008,0.2220
1.74791e-008,0.2166
1.75215e-008,0.2118
1.75640e-008,0.2100
1.76064e-008,0.2135
1.76488e-008,0.2170
1.76912e-008,0.2182
1.77336e-008,0.2190
1.77761e-008,0.2194
1.78185e-008,0.2186
1.78609e-008,0.2166
1.79033e-008,0.2148
1.79458e-008,0.2125
1.79882e-008,0.2105
1.80306e-008,0.2105
1.80731e-008,0.2115
1.81155e-008,0.2133
1.81579e-008,0.2156
1.82003e-008,0.2215
1.82427e-008,0.3509
1.82852e-008,0.5348
1.83276e-008,0.7359
1.83700e-008,0.9138
1.84125e-008,1.0152
1.84549e-008,1.0799
1.84973e-008,1.1166
1.85397e-008,1.1497
1.85822e-008,1.1888
1.86246e-008,1.2080
1.86670e-008,1.2258
1.87094e-008,1.2331
1.87518e-008,1.2345
1.87943e-008,1.2328
1.88367e-008,1.2237
1.88791e-008,1.2144
1.89216e-008,1.1971
1.89640e-008,1.1844
1.90064e-008,1.1832
1.90488e-008,1.1918
1.90912e-008,1.2157
1.91337e-008,1.2401
1.91761e-008,1.2531
1.92185e-008,1.2555
1.92610e-008,1.2503
1.93034e-008,1.2488
1.93458e-008,1.2534
1.93882e-008,1.2605
1.94307e-008,1.2659
1.94731e-008,1.2650
1.95155e-008,1.2614
1.95579e-008,1.2590
1.96003e-008,1.2584
1.96428e-008,1.2591
1.96852e-008,1.2599
1.97276e-008,1.2609
1.97701e-008,1.2623
1.98125e-008,1.2644
1.98549e-008,1.2667
1.98973e-008,1.2675
1.99397e-008,1.2670
1.99822e-008,1.2655
2.00246e-008,1.2634
2.00670e-008,1.2620
2.01095e-008,1.2617
2.01519e-008,1.2625
2.01943e-008,1.2635
2.02367e-008,1.2638
2.02792e-008,1.2632
2.03216e-008,1.2622
2.03640e-008,1.2617
2.04064e-008,1.2622
2.04488e-008,1.2632
2.04913e-008,1.2638
2.05337e-008,1.2638
2.05761e-008,1.2635
2.06186e-008,1.2632
2.06610e-008,1.2632
2.07034e-008,1.2631
2.07458e-008,1.2630
2.07882e-008,1.2628
2.08307e-008,1.2627
2.08731e-008,1.2628
2.09155e-008,1.2631
2.09580e-008,1.2632
2.10004e-008,1.2551
2.10428e-008,1.1270
2.10852e-008,0.8860
2.11277e-008,0.7060
2.11701e-008,0.5346
2.12125e-008,0.4277
2.12549e-008,0.3713
2.12973e-008,0.3304
2.13398e-008,0.3093
2.13822e-008,0.2733
2.14246e-008,0.2550
2.14671e-008,0.2441
2.15095e-008,0.2321
2.15519e-008,0.2328
