.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
1.03962e-008,1.1840
1.04386e-008,1.1827
1.04810e-008,1.1936
1.05235e-008,1.2118
1.05659e-008,1.2285
1.06083e-008,1.2445
1.06507e-008,1.2485
1.06932e-008,1.2300
1.07356e-008,1.0828
1.07780e-008,0.8772
1.08205e-008,0.6877
1.08629e-008,0.5220
1.09053e-008,0.3901
1.09477e-008,0.3177
1.09902e-008,0.2983
1.10326e-008,0.2966
1.10750e-008,0.3169
1.11174e-008,0.3355
1.11598e-008,0.3249
1.12023e-008,0.3033
1.12447e-008,0.2889
1.12871e-008,0.2922
1.13295e-008,0.2974
1.13720e-008,0.2979
1.14144e-008,0.2809
1.14568e-008,0.2522
1.14993e-008,0.2327
1.15417e-008,0.2212
1.15841e-008,0.2185
1.16265e-008,0.2225
1.16690e-008,0.3207
1.17114e-008,0.4833
1.17538e-008,0.6631
1.17962e-008,0.8501
1.18387e-008,0.9916
1.18811e-008,1.0754
1.19235e-008,1.1175
1.19659e-008,1.1460
1.20083e-008,1.1472
1.20508e-008,1.1379
1.20932e-008,1.1418
1.21356e-008,1.1531
1.21780e-008,1.1714
1.22205e-008,1.1807
1.22629e-008,1.1837
1.23053e-008,1.1828
1.23478e-008,1.1900
1.23902e-008,1.2086
1.24326e-008,1.2249
1.24750e-008,1.2422
1.25175e-008,1.2485
1.25599e-008,1.2372
1.26023e-008,1.1195
1.26447e-008,0.9136
1.26871e-008,0.7266
1.27296e-008,0.5515
1.27720e-008,0.4118
1.28144e-008,0.3275
1.28568e-008,0.3008
1.28993e-008,0.2953
1.29417e-008,0.3116
1.29841e-008,0.3341
1.30265e-008,0.3286
1.30690e-008,0.3076
1.31114e-008,0.2904
1.31538e-008,0.2907
1.31963e-008,0.2970
1.32387e-008,0.2984
1.32811e-008,0.2862
1.33235e-008,0.2573
1.33660e-008,0.2360
1.34084e-008,0.2227
1.34508e-008,0.2186
1.34932e-008,0.2216
1.35356e-008,0.2947
1.35781e-008,0.4515
1.36205e-008,0.6207
1.36629e-008,0.8184
1.37053e-008,0.9682
1.37478e-008,1.0634
1.37902e-008,1.1101
1.38326e-008,1.1419
1.38751e-008,1.1490
1.39175e-008,1.1389
1.39599e-008,1.1404
1.40023e-008,1.1501
1.40448e-008,1.1681
1.40872e-008,1.1798
1.41296e-008,1.1833
1.41720e-008,1.1833
1.42145e-008,1.1870
1.42569e-008,1.2053
1.42993e-008,1.2215
1.43417e-008,1.2394
1.43841e-008,1.2483
1.44266e-008,1.2437
1.44690e-008,1.1542
1.45114e-008,0.9527
1.45538e-008,0.7665
1.45963e-008,0.5815
1.46387e-008,0.4358
1.46811e-008,0.3386
1.47236e-008,0.3041
1.47660e-008,0.2950
1.48084e-008,0.3069
1.48508e-008,0.3313
1.48933e-008,0.3317
1.49357e-008,0.3120
1.49781e-008,0.2926
1.50205e-008,0.2895
1.50629e-008,0.2962
1.51054e-008,0.2985
1.51478e-008,0.2906
1.51902e-008,0.2628
1.52327e-008,0.2394
1.52751e-008,0.2246
1.53175e-008,0.2189
1.53599e-008,0.2201
1.54023e-008,0.2690
1.54448e-008,0.4192
1.54872e-008,0.5829
1.55296e-008,0.7855
1.55721e-008,0.9419
