.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
1.00144e-008,-0.7644
1.00568e-008,-0.8793
1.00992e-008,-0.8996
1.01417e-008,-0.8898
1.01841e-008,-0.8469
1.02265e-008,-0.7965
1.02689e-008,-0.7993
1.03113e-008,-0.8374
1.03538e-008,-0.8886
1.03962e-008,-0.9085
1.04386e-008,-0.9073
1.04810e-008,-0.8980
1.05235e-008,-0.8934
1.05659e-008,-0.9081
1.06083e-008,-0.9626
1.06507e-008,-1.0153
1.06932e-008,-1.0327
1.07356e-008,-0.9127
1.07780e-008,-0.5369
1.08205e-008,-0.1585
1.08629e-008,0.2413
1.09053e-008,0.5450
1.09477e-008,0.7511
1.09902e-008,0.8747
1.10326e-008,0.9021
1.10750e-008,0.8943
1.11174e-008,0.8538
1.11598e-008,0.8018
1.12023e-008,0.8009
1.12447e-008,0.8361
1.12871e-008,0.8858
1.13295e-008,0.9092
1.13720e-008,0.9091
1.14144e-008,0.8992
1.14568e-008,0.8944
1.14993e-008,0.9065
1.15417e-008,0.9583
1.15841e-008,1.0130
1.16265e-008,1.0343
1.16690e-008,0.9464
1.17114e-008,0.5795
1.17538e-008,0.1975
1.17962e-008,-0.2051
1.18387e-008,-0.5166
1.18811e-008,-0.7330
1.19235e-008,-0.8655
1.19659e-008,-0.8999
1.20083e-008,-0.8937
1.20508e-008,-0.8574
1.20932e-008,-0.8038
1.21356e-008,-0.7947
1.21780e-008,-0.8282
1.22205e-008,-0.8800
1.22629e-008,-0.9072
1.23053e-008,-0.9086
1.23478e-008,-0.8998
1.23902e-008,-0.8938
1.24326e-008,-0.9021
1.24750e-008,-0.9502
1.25175e-008,-1.0077
1.25599e-008,-1.0333
1.26023e-008,-0.9728
1.26447e-008,-0.6186
1.26871e-008,-0.2310
1.27296e-008,0.1717
1.27720e-008,0.4913
1.28144e-008,0.7181
1.28568e-008,0.8597
1.28993e-008,0.9017
1.29417e-008,0.8975
1.29841e-008,0.8641
1.30265e-008,0.8096
1.30690e-008,0.7966
1.31114e-008,0.8278
1.31538e-008,0.8765
1.31963e-008,0.9073
1.32387e-008,0.9101
1.32811e-008,0.9011
1.33235e-008,0.8946
1.33660e-008,0.9012
1.34084e-008,0.9459
1.34508e-008,1.0047
1.34932e-008,1.0327
1.35356e-008,0.9952
1.35781e-008,0.6628
1.36205e-008,0.2687
1.36629e-008,-0.1320
1.37053e-008,-0.4609
1.37478e-008,-0.6986
1.37902e-008,-0.8489
1.38326e-008,-0.8993
1.38751e-008,-0.8965
1.39175e-008,-0.8673
1.39599e-008,-0.8128
1.40023e-008,-0.7916
1.40448e-008,-0.8200
1.40872e-008,-0.8701
1.41296e-008,-0.9051
1.41720e-008,-0.9093
1.42145e-008,-0.9018
1.42569e-008,-0.8944
1.42993e-008,-0.8978
1.43417e-008,-0.9382
1.43841e-008,-0.9985
1.44266e-008,-1.0306
1.44690e-008,-1.0098
1.45114e-008,-0.7019
1.45538e-008,-0.3024
1.45963e-008,0.0949
1.46387e-008,0.4339
1.46811e-008,0.6814
1.47236e-008,0.8403
1.47660e-008,0.9004
1.48084e-008,0.8996
1.48508e-008,0.8736
1.48933e-008,0.8191
1.49357e-008,0.7938
1.49781e-008,0.8202
1.50205e-008,0.8664
1.50629e-008,0.9045
1.51054e-008,0.9106
1.51478e-008,0.9032
1.51902e-008,0.8952
1.52327e-008,0.8976
1.52751e-008,0.9341
1.53175e-008,0.9949
1.53599e-008,1.0296
1.54023e-008,1.0188
1.54448e-008,0.7422
1.54872e-008,0.3399
1.55296e-008,-0.0531
1.55721e-008,-0.4021
1.56145e-008,-0.6601
1.56569e-008,-0.8267
1.56993e-008,-0.8972
1.57417e-008,-0.8981
1.57842e-008,-0.8763
1.58266e-008,-0.8232
1.58690e-008,-0.7903
1.59114e-008,-0.8126
1.59539e-008,-0.8594
