.HEADER
..NAMES
Time,V U1.V24
.DATA
1.03941e-008,0.5797
1.04366e-008,0.4328
1.04790e-008,0.3480
1.05214e-008,0.3138
1.05638e-008,0.2886
1.06063e-008,0.2806
1.06487e-008,0.2739
1.06911e-008,0.2701
1.07335e-008,0.2683
1.07759e-008,0.2616
1.08184e-008,0.2389
1.08608e-008,0.2375
1.09032e-008,0.2663
1.09456e-008,0.2786
1.09881e-008,0.2888
1.10305e-008,0.2960
1.10729e-008,0.2630
1.11154e-008,0.2177
1.11578e-008,0.2055
1.12002e-008,0.1984
1.12426e-008,0.2011
1.12851e-008,0.2136
1.13275e-008,0.2206
1.13699e-008,0.2196
1.14123e-008,0.2191
1.14548e-008,0.2159
1.14972e-008,0.2157
1.15396e-008,0.2168
1.15820e-008,0.2135
1.16244e-008,0.2093
1.16669e-008,0.2142
1.17093e-008,0.2185
1.17517e-008,0.2166
1.17941e-008,0.2180
1.18366e-008,0.2173
1.18790e-008,0.2082
1.19214e-008,0.2066
1.19639e-008,0.2127
1.20063e-008,0.2151
1.20487e-008,0.2174
1.20911e-008,0.2193
1.21336e-008,0.2172
1.21760e-008,0.2150
1.22184e-008,0.2144
1.22608e-008,0.2141
1.23032e-008,0.2154
1.23457e-008,0.2158
1.23881e-008,0.2144
1.24305e-008,0.2145
1.24729e-008,0.2162
1.25154e-008,0.2158
1.25578e-008,0.2152
1.26002e-008,0.2161
1.26427e-008,0.2150
1.26851e-008,0.2133
1.27275e-008,0.2149
1.27699e-008,0.2164
1.28124e-008,0.2159
1.28548e-008,0.2159
1.28972e-008,0.2156
1.29396e-008,0.2147
1.29821e-008,0.2147
1.30245e-008,0.2150
1.30669e-008,0.2294
1.31093e-008,0.3756
1.31517e-008,0.5510
1.31942e-008,0.7606
1.32366e-008,0.9339
1.32790e-008,1.0526
1.33214e-008,1.1149
1.33639e-008,1.1530
1.34063e-008,1.1746
1.34487e-008,1.1893
1.34912e-008,1.1969
1.35336e-008,1.2015
1.35760e-008,1.2047
1.36184e-008,1.2191
1.36609e-008,1.2328
1.37033e-008,1.2231
1.37457e-008,1.2090
1.37881e-008,1.1932
1.38306e-008,1.1788
1.38730e-008,1.1919
1.39154e-008,1.2284
1.39578e-008,1.2539
1.40002e-008,1.2718
1.40427e-008,1.2736
1.40851e-008,1.2639
1.41275e-008,1.2560
1.41699e-008,1.2547
1.42124e-008,1.2558
1.42548e-008,1.2596
1.42972e-008,1.2610
1.43397e-008,1.2606
1.43821e-008,1.2616
1.44245e-008,1.2654
1.44669e-008,1.2654
1.45094e-008,1.2624
1.45518e-008,1.2613
1.45942e-008,1.2596
1.46366e-008,1.2593
1.46790e-008,1.2654
1.47215e-008,1.2698
1.47639e-008,1.2680
1.48063e-008,1.2654
