.HEADER
..NAMES
Time,V U1.K23
.DATA
1.03941e-008,1.2584
1.04366e-008,1.2588
1.04790e-008,1.2609
1.05214e-008,1.2645
1.05638e-008,1.2644
1.06063e-008,1.2617
1.06487e-008,1.2612
1.06911e-008,1.2643
1.07335e-008,1.2703
1.07759e-008,1.2725
1.08184e-008,1.2683
1.08608e-008,1.2628
1.09032e-008,1.2604
1.09456e-008,1.2624
1.09881e-008,1.2652
1.10305e-008,1.2651
1.10729e-008,1.2636
1.11154e-008,1.2633
1.11578e-008,1.2641
1.12002e-008,1.2649
1.12426e-008,1.2649
1.12851e-008,1.2640
1.13275e-008,1.2637
1.13699e-008,1.2644
1.14123e-008,1.2652
1.14548e-008,1.2653
1.14972e-008,1.2642
1.15396e-008,1.2631
1.15820e-008,1.2631
1.16244e-008,1.2642
1.16669e-008,1.2652
1.17093e-008,1.2651
1.17517e-008,1.2642
1.17941e-008,1.2638
1.18366e-008,1.2642
1.18790e-008,1.2646
1.19214e-008,1.2646
1.19639e-008,1.2642
1.20063e-008,1.2640
1.20487e-008,1.2643
1.20911e-008,1.2645
1.21336e-008,1.2644
1.21760e-008,1.2642
1.22184e-008,1.2640
1.22608e-008,1.2641
1.23032e-008,1.2644
1.23457e-008,1.2646
1.23881e-008,1.2644
1.24305e-008,1.2642
1.24729e-008,1.2641
1.25154e-008,1.2642
1.25578e-008,1.2644
1.26002e-008,1.2644
1.26427e-008,1.2642
1.26851e-008,1.2642
1.27275e-008,1.2642
1.27699e-008,1.2643
1.28124e-008,1.2643
1.28548e-008,1.2642
1.28972e-008,1.2642
1.29396e-008,1.2642
1.29821e-008,1.2643
1.30245e-008,1.2643
1.30669e-008,1.2642
1.31093e-008,1.2642
1.31517e-008,1.2642
1.31942e-008,1.2642
1.32366e-008,1.2643
1.32790e-008,1.2643
1.33214e-008,1.2642
1.33639e-008,1.2642
1.34063e-008,1.2642
1.34487e-008,1.2642
1.34912e-008,1.2642
1.35336e-008,1.2642
1.35760e-008,1.2642
1.36184e-008,1.2642
1.36609e-008,1.2642
1.37033e-008,1.2642
1.37457e-008,1.2642
1.37881e-008,1.2642
1.38306e-008,1.2642
1.38730e-008,1.2642
1.39154e-008,1.2642
1.39578e-008,1.2642
1.40002e-008,1.2642
1.40427e-008,1.2642
1.40851e-008,1.2642
1.41275e-008,1.2642
1.41699e-008,1.2642
1.42124e-008,1.2642
1.42548e-008,1.2642
1.42972e-008,1.2642
1.43397e-008,1.2642
1.43821e-008,1.2642
1.44245e-008,1.2642
1.44669e-008,1.2642
1.45094e-008,1.2642
1.45518e-008,1.2642
1.45942e-008,1.2642
1.46366e-008,1.2642
1.46790e-008,1.2642
1.47215e-008,1.2641
1.47639e-008,1.2642
1.48063e-008,1.2642
1.48487e-008,1.2641
1.48912e-008,1.2595
1.49336e-008,1.1594
1.49760e-008,0.9198
1.50185e-008,0.7380
1.50609e-008,0.5740
1.51033e-008,0.4517
1.51457e-008,0.3720
1.51881e-008,0.3216
1.52306e-008,0.2841
1.52730e-008,0.2777
1.53154e-008,0.2726
1.53579e-008,0.2701
1.54003e-008,0.2659
1.54427e-008,0.2540
1.54851e-008,0.2661
1.55276e-008,0.2946
1.55700e-008,0.3113
1.56124e-008,0.3057
1.56548e-008,0.2707
1.56972e-008,0.2354
1.57397e-008,0.2247
1.57821e-008,0.2216
1.58245e-008,0.2202
1.58670e-008,0.2830
1.59094e-008,0.4732
1.59518e-008,0.6550
1.59942e-008,0.8539
1.60366e-008,0.9754
1.60791e-008,1.0556
1.61215e-008,1.1136
1.61639e-008,1.1620
1.62064e-008,1.1878
1.62488e-008,1.2001
1.62912e-008,1.1975
1.63336e-008,1.1943
1.63761e-008,1.2053
1.64185e-008,1.2051
1.64609e-008,1.1912
1.65033e-008,1.1732
1.65457e-008,1.1665
1.65882e-008,1.1915
1.66306e-008,1.2278
1.66730e-008,1.2478
1.67155e-008,1.2530
1.67579e-008,1.2462
1.68003e-008,1.1611
1.68427e-008,0.9165
1.68851e-008,0.7268
1.69276e-008,0.5654
1.69700e-008,0.4502
1.70124e-008,0.3703
1.70548e-008,0.3205
1.70973e-008,0.2842
1.71397e-008,0.2744
1.71821e-008,0.2719
1.72246e-008,0.2687
1.72670e-008,0.2687
1.73094e-008,0.2605
1.73518e-008,0.2701
1.73942e-008,0.2965
1.74367e-008,0.3114
1.74791e-008,0.3048
1.75215e-008,0.2709
1.75640e-008,0.2337
1.76064e-008,0.2231
1.76488e-008,0.2223
1.76912e-008,0.2214
1.77336e-008,0.2530
1.77761e-008,0.4307
1.78185e-008,0.6169
1.78609e-008,0.8195
1.79033e-008,0.9544
1.79458e-008,1.0423
1.79882e-008,1.1027
1.80306e-008,1.1532
1.80731e-008,1.1849
1.81155e-008,1.1968
1.81579e-008,1.1982
1.82003e-008,1.1924
1.82427e-008,1.2032
1.82852e-008,1.2076
1.83276e-008,1.1959
1.83700e-008,1.1773
1.84125e-008,1.1657
1.84549e-008,1.1837
1.84973e-008,1.2211
1.85397e-008,1.2450
1.85822e-008,1.2531
1.86246e-008,1.2496
1.86670e-008,1.2481
1.87094e-008,1.2544
1.87518e-008,1.2595
1.87943e-008,1.2594
1.88367e-008,1.2583
1.88791e-008,1.2588
1.89216e-008,1.2611
1.89640e-008,1.2646
1.90064e-008,1.2639
1.90488e-008,1.2614
1.90912e-008,1.2612
1.91337e-008,1.2647
1.91761e-008,1.2706
1.92185e-008,1.2719
1.92610e-008,1.2674
1.93034e-008,1.2621
1.93458e-008,1.2603
1.93882e-008,1.2626
1.94307e-008,1.2651
1.94731e-008,1.2648
1.95155e-008,1.2633
1.95579e-008,1.2631
1.96003e-008,1.2403
1.96428e-008,1.0415
1.96852e-008,0.8211
1.97276e-008,0.6464
1.97701e-008,0.5059
1.98125e-008,0.4043
1.98549e-008,0.3439
1.98973e-008,0.3014
1.99397e-008,0.2768
1.99822e-008,0.2756
2.00246e-008,0.2691
2.00670e-008,0.2696
2.01095e-008,0.2599
2.01519e-008,0.2568
2.01943e-008,0.2805
2.02367e-008,0.3052
2.02792e-008,0.3119
2.03216e-008,0.2912
2.03640e-008,0.2500
2.04064e-008,0.2275
2.04488e-008,0.2227
2.04913e-008,0.2206
2.05337e-008,0.2204
2.05761e-008,0.2183
2.06186e-008,0.2163
2.06610e-008,0.2185
2.07034e-008,0.2191
2.07458e-008,0.2163
2.07882e-008,0.2152
2.08307e-008,0.2145
2.08731e-008,0.2160
2.09155e-008,0.2190
2.09580e-008,0.2180
2.10004e-008,0.2131
2.10428e-008,0.2071
2.10852e-008,0.2063
2.11277e-008,0.2120
2.11701e-008,0.2169
2.12125e-008,0.2176
2.12549e-008,0.2159
2.12973e-008,0.2144
2.13398e-008,0.2150
2.13822e-008,0.2160
2.14246e-008,0.2153
2.14671e-008,0.2163
2.15095e-008,0.3291
2.15519e-008,0.5165
2.15943e-008,0.7080
2.16367e-008,0.8865
2.16792e-008,1.0003
2.17216e-008,1.0733
2.17640e-008,1.1284
2.18064e-008,1.1719
2.18489e-008,1.1896
2.18913e-008,1.2006
2.19337e-008,1.1962
2.19762e-008,1.2036
2.20186e-008,1.2143
2.20610e-008,1.2063
2.21034e-008,1.1871
2.21458e-008,1.1683
2.21883e-008,1.1701
2.22307e-008,1.2017
2.22731e-008,1.2332
2.23156e-008,1.2500
2.23580e-008,1.2530
2.24004e-008,1.2309
2.24428e-008,1.0666
2.24852e-008,0.8221
2.25277e-008,0.6548
2.25701e-008,0.5141
2.26125e-008,0.4127
2.26549e-008,0.3477
2.26974e-008,0.3037
2.27398e-008,0.2750
2.27822e-008,0.2747
2.28247e-008,0.2683
2.28671e-008,0.2692
2.29095e-008,0.2652
2.29519e-008,0.2609
2.29943e-008,0.2816
2.30368e-008,0.3063
2.30792e-008,0.3124
2.31216e-008,0.2937
2.31641e-008,0.2522
2.32065e-008,0.2260
2.32489e-008,0.2230
2.32913e-008,0.2223
2.33338e-008,0.2211
2.33762e-008,0.2182
2.34186e-008,0.2158
2.34610e-008,0.2180
2.35034e-008,0.2198
2.35459e-008,0.2170
2.35883e-008,0.2153
2.36307e-008,0.2151
2.36732e-008,0.2159
2.37156e-008,0.2186
2.37580e-008,0.2177
2.38004e-008,0.2132
2.38428e-008,0.2077
2.38853e-008,0.2062
2.39277e-008,0.2116
2.39701e-008,0.2171
2.40126e-008,0.2180
2.40550e-008,0.2160
2.40974e-008,0.2142
2.41398e-008,0.2148
2.41823e-008,0.2162
2.42247e-008,0.2157
2.42671e-008,0.2145
2.43095e-008,0.2835
2.43519e-008,0.4633
2.43944e-008,0.6431
2.44368e-008,0.8430
2.44792e-008,0.9710
2.45217e-008,1.0545
2.45641e-008,1.1137
2.46065e-008,1.1617
2.46489e-008,1.1859
2.46913e-008,1.1990
2.47338e-008,1.1973
2.47762e-008,1.1998
2.48186e-008,1.2131
2.48611e-008,1.2104
2.49035e-008,1.1934
2.49459e-008,1.1728
2.49883e-008,1.1660
2.50308e-008,1.1909
2.50732e-008,1.2257
2.51156e-008,1.2466
2.51580e-008,1.2535
2.52004e-008,1.2442
2.52429e-008,1.1348
2.52853e-008,0.8849
2.53277e-008,0.7047
2.53702e-008,0.5491
2.54126e-008,0.4387
2.54550e-008,0.3640
2.54974e-008,0.3157
2.55398e-008,0.2806
2.55823e-008,0.2744
2.56247e-008,0.2701
2.56671e-008,0.2684
2.57096e-008,0.2677
2.57520e-008,0.2601
2.57944e-008,0.2737
2.58368e-008,0.3005
2.58793e-008,0.3129
2.59217e-008,0.3024
2.59641e-008,0.2649
2.60065e-008,0.2304
2.60489e-008,0.2231
2.60914e-008,0.2227
2.61338e-008,0.2216
2.61762e-008,0.2698
2.62187e-008,0.4547
2.62611e-008,0.6378
2.63035e-008,0.8401
2.63459e-008,0.9666
2.63883e-008,1.0502
2.64308e-008,1.1094
2.64732e-008,1.1589
2.65156e-008,1.1869
2.65580e-008,1.1983
2.66005e-008,1.1970
2.66429e-008,1.1928
2.66853e-008,1.2047
2.67278e-008,1.2071
2.67702e-008,1.1942
2.68126e-008,1.1754
2.68550e-008,1.1659
2.68974e-008,1.1879
2.69399e-008,1.2251
2.69823e-008,1.2470
2.70247e-008,1.2533
2.70672e-008,1.2482
2.71096e-008,1.1768
2.71520e-008,0.9358
2.71944e-008,0.7393
2.72368e-008,0.5758
2.72793e-008,0.4578
2.73217e-008,0.3749
2.73641e-008,0.3239
2.74065e-008,0.2869
2.74490e-008,0.2745
2.74914e-008,0.2726
2.75338e-008,0.2684
2.75763e-008,0.2690
2.76187e-008,0.2610
2.76611e-008,0.2687
2.77035e-008,0.2949
2.77459e-008,0.3112
2.77884e-008,0.3063
2.78308e-008,0.2743
2.78732e-008,0.2358
2.79157e-008,0.2234
2.79581e-008,0.2225
2.80005e-008,0.2215
2.80429e-008,0.2434
2.80854e-008,0.4148
2.81278e-008,0.6042
2.81702e-008,0.8057
2.82126e-008,0.9465
2.82550e-008,1.0371
2.82975e-008,1.0987
2.83399e-008,1.1498
2.83823e-008,1.1839
2.84248e-008,1.1959
2.84672e-008,1.1989
2.85096e-008,1.1923
2.85520e-008,1.2023
2.85944e-008,1.2082
2.86369e-008,1.1973
2.86793e-008,1.1788
2.87217e-008,1.1658
2.87642e-008,1.1812
2.88066e-008,1.2186
2.88490e-008,1.2440
2.88914e-008,1.2531
2.89339e-008,1.2501
2.89763e-008,1.2480
2.90187e-008,1.2540
2.90611e-008,1.2595
2.91035e-008,1.2596
2.91460e-008,1.2583
2.91884e-008,1.2588
2.92308e-008,1.2609
2.92733e-008,1.2645
2.93157e-008,1.2642
2.93581e-008,1.2616
2.94005e-008,1.2612
2.94429e-008,1.2644
2.94854e-008,1.2704
2.95278e-008,1.2722
2.95702e-008,1.2679
2.96127e-008,1.2625
2.96551e-008,1.2603
2.96975e-008,1.2624
2.97399e-008,1.2651
2.97824e-008,1.2650
2.98248e-008,1.2635
2.98672e-008,1.2632
2.99096e-008,1.2459
2.99521e-008,1.0613
2.99945e-008,0.8345
3.00369e-008,0.6596
3.00793e-008,0.5156
3.01218e-008,0.4106
3.01642e-008,0.3478
3.02066e-008,0.3044
3.02490e-008,0.2773
3.02914e-008,0.2761
3.03339e-008,0.2693
3.03763e-008,0.2699
3.04187e-008,0.2610
3.04612e-008,0.2561
3.05036e-008,0.2784
3.05460e-008,0.3039
3.05884e-008,0.3123
3.06309e-008,0.2940
3.06733e-008,0.2529
3.07157e-008,0.2283
3.07581e-008,0.2230
3.08005e-008,0.2207
3.08430e-008,0.2205
3.08854e-008,0.2186
3.09278e-008,0.2164
3.09702e-008,0.2183
3.10127e-008,0.2193
3.10551e-008,0.2165
3.10975e-008,0.2153
3.11400e-008,0.2146
3.11824e-008,0.2158
3.12248e-008,0.2190
3.12672e-008,0.2183
3.13096e-008,0.2136
3.13521e-008,0.2075
3.13945e-008,0.2061
3.14369e-008,0.2115
3.14793e-008,0.2167
3.15218e-008,0.2177
3.15642e-008,0.2161
3.16066e-008,0.2145
3.16491e-008,0.2149
3.16915e-008,0.2160
3.17339e-008,0.2154
3.17763e-008,0.2145
3.18188e-008,0.2147
3.18612e-008,0.2151
3.19036e-008,0.2155
3.19460e-008,0.2154
3.19884e-008,0.2145
3.20309e-008,0.2139
3.20733e-008,0.2142
3.21157e-008,0.2153
3.21582e-008,0.2163
3.22006e-008,0.2161
3.22430e-008,0.2150
3.22854e-008,0.2142
3.23279e-008,0.2145
3.23703e-008,0.2152
3.24127e-008,0.2153
3.24551e-008,0.2149
3.24975e-008,0.2147
3.25400e-008,0.2150
3.25824e-008,0.2152
3.26248e-008,0.2151
3.26672e-008,0.2149
3.27097e-008,0.2148
3.27521e-008,0.2150
3.27945e-008,0.2152
3.28370e-008,0.2153
3.28794e-008,0.2151
3.29218e-008,0.2149
3.29642e-008,0.2148
3.30066e-008,0.2149
3.30491e-008,0.2152
3.30915e-008,0.2152
3.31339e-008,0.2151
3.31763e-008,0.2149
3.32188e-008,0.2150
3.32612e-008,0.2151
3.33036e-008,0.2151
3.33461e-008,0.2150
3.33885e-008,0.2150
3.34309e-008,0.2150
3.34733e-008,0.2151
3.35158e-008,0.2151
3.35582e-008,0.2150
3.36006e-008,0.2150
3.36430e-008,0.2150
3.36854e-008,0.2867
3.37279e-008,0.4669
3.37703e-008,0.6466
3.38127e-008,0.8456
3.38552e-008,0.9735
3.38976e-008,1.0567
3.39400e-008,1.1154
3.39824e-008,1.1622
3.40249e-008,1.1848
3.40673e-008,1.1982
3.41097e-008,1.1974
3.41521e-008,1.2010
3.41945e-008,1.2139
3.42370e-008,1.2100
3.42794e-008,1.1926
3.43218e-008,1.1727
3.43643e-008,1.1666
3.44067e-008,1.1918
3.44491e-008,1.2261
3.44915e-008,1.2467
3.45340e-008,1.2537
3.45764e-008,1.2438
3.46188e-008,1.1301
3.46612e-008,0.8796
3.47036e-008,0.7010
3.47461e-008,0.5465
3.47885e-008,0.4370
3.48309e-008,0.3632
3.48733e-008,0.3150
3.49158e-008,0.2800
3.49582e-008,0.2743
3.50006e-008,0.2700
3.50431e-008,0.2687
3.50855e-008,0.2676
3.51279e-008,0.2600
3.51703e-008,0.2742
3.52128e-008,0.3011
3.52552e-008,0.3131
