.HEADER
..NAMES
Time,V U1.H23
.DATA
1.03941e-008,0.2174
1.04366e-008,0.2257
1.04790e-008,0.2218
1.05214e-008,0.2188
1.05638e-008,0.2160
1.06063e-008,0.2170
1.06487e-008,0.2192
1.06911e-008,0.2158
1.07335e-008,0.2089
1.07759e-008,0.2089
1.08184e-008,0.2153
1.08608e-008,0.2195
1.09032e-008,0.2225
1.09456e-008,0.2243
1.09881e-008,0.2165
1.10305e-008,0.2058
1.10729e-008,0.2060
1.11154e-008,0.2123
1.11578e-008,0.2161
1.12002e-008,0.2422
1.12426e-008,0.3974
1.12851e-008,0.5673
1.13275e-008,0.7773
1.13699e-008,0.9444
1.14123e-008,1.0598
1.14548e-008,1.1197
1.14972e-008,1.1549
1.15396e-008,1.1744
1.15820e-008,1.1865
1.16244e-008,1.1964
1.16669e-008,1.2016
1.17093e-008,1.2052
1.17517e-008,1.2192
1.17941e-008,1.2404
1.18366e-008,1.2461
1.18790e-008,1.2309
1.19214e-008,1.2177
1.19639e-008,1.1939
1.20063e-008,1.1824
1.20487e-008,1.2001
1.20911e-008,1.2363
1.21336e-008,1.2584
1.21760e-008,1.2760
1.22184e-008,1.2759
1.22608e-008,1.2661
1.23032e-008,1.2577
1.23457e-008,1.2560
1.23881e-008,1.2565
1.24305e-008,1.2603
1.24729e-008,1.2623
1.25154e-008,1.2614
1.25578e-008,1.2626
1.26002e-008,1.2664
1.26427e-008,1.2680
1.26851e-008,1.2654
1.27275e-008,1.2630
1.27699e-008,1.2607
1.28124e-008,1.2577
1.28548e-008,1.2606
1.28972e-008,1.2677
1.29396e-008,1.2707
1.29821e-008,1.2688
1.30245e-008,1.2664
1.30669e-008,1.2410
1.31093e-008,1.0493
1.31517e-008,0.8370
1.31942e-008,0.6557
1.32366e-008,0.4907
1.32790e-008,0.3751
1.33214e-008,0.3251
1.33639e-008,0.3014
1.34063e-008,0.2844
1.34487e-008,0.2804
1.34912e-008,0.2753
1.35336e-008,0.2709
1.35760e-008,0.2684
1.36184e-008,0.2534
1.36609e-008,0.2266
1.37033e-008,0.2222
1.37457e-008,0.2511
1.37881e-008,0.2672
1.38306e-008,0.2834
1.38730e-008,0.2980
1.39154e-008,0.2778
1.39578e-008,0.2290
1.40002e-008,0.2087
1.40427e-008,0.2006
1.40851e-008,0.1971
1.41275e-008,0.2076
1.41699e-008,0.2199
1.42124e-008,0.2214
1.42548e-008,0.2203
1.42972e-008,0.2189
1.43397e-008,0.2163
1.43821e-008,0.2176
1.44245e-008,0.2170
1.44669e-008,0.2115
1.45094e-008,0.2092
1.45518e-008,0.2148
1.45942e-008,0.2187
1.46366e-008,0.2186
1.46790e-008,0.2216
1.47215e-008,0.2201
1.47639e-008,0.2107
1.48063e-008,0.2067
1.48487e-008,0.2119
1.48912e-008,0.2144
1.49336e-008,0.2167
1.49760e-008,0.2201
1.50185e-008,0.2195
1.50609e-008,0.2164
1.51033e-008,0.2154
1.51457e-008,0.2149
1.51881e-008,0.2155
1.52306e-008,0.2167
1.52730e-008,0.2158
1.53154e-008,0.2147
1.53579e-008,0.2158
1.54003e-008,0.2169
1.54427e-008,0.2164
1.54851e-008,0.2167
1.55276e-008,0.2172
1.55700e-008,0.2153
1.56124e-008,0.2138
1.56548e-008,0.2153
1.56972e-008,0.2168
1.57397e-008,0.2166
1.57821e-008,0.2169
1.58245e-008,0.2168
1.58670e-008,0.2157
1.59094e-008,0.3071
1.59518e-008,0.4852
1.59942e-008,0.6706
1.60366e-008,0.8748
1.60791e-008,1.0131
1.61215e-008,1.0963
1.61639e-008,1.1388
1.62064e-008,1.1684
1.62488e-008,1.1808
1.62912e-008,1.1933
1.63336e-008,1.1992
1.63761e-008,1.2023
1.64185e-008,1.2090
1.64609e-008,1.2291
1.65033e-008,1.2475
1.65457e-008,1.2422
1.65882e-008,1.2259
1.66306e-008,1.2050
1.66730e-008,1.1836
1.67155e-008,1.1861
1.67579e-008,1.2182
1.68003e-008,1.2410
1.68427e-008,1.1320
1.68851e-008,0.8920
1.69276e-008,0.6948
1.69700e-008,0.5042
1.70124e-008,0.3777
1.70548e-008,0.3191
1.70973e-008,0.3017
1.71397e-008,0.2848
1.71821e-008,0.2790
1.72246e-008,0.2726
1.72670e-008,0.2719
1.73094e-008,0.2739
1.73518e-008,0.2653
1.73942e-008,0.2349
1.74367e-008,0.2135
1.74791e-008,0.2316
1.75215e-008,0.2602
1.75640e-008,0.2816
1.76064e-008,0.3059
1.76488e-008,0.2971
1.76912e-008,0.2462
1.77336e-008,0.2053
1.77761e-008,0.1949
1.78185e-008,0.1917
1.78609e-008,0.2037
1.79033e-008,0.2194
1.79458e-008,0.2249
1.79882e-008,0.2212
1.80306e-008,0.2188
1.80731e-008,0.2157
1.81155e-008,0.2175
1.81579e-008,0.2189
1.82003e-008,0.2142
1.82427e-008,0.2082
1.82852e-008,0.2108
1.83276e-008,0.2169
1.83700e-008,0.2195
1.84125e-008,0.2227
1.84549e-008,0.2234
1.84973e-008,0.2140
1.85397e-008,0.2052
1.85822e-008,0.2079
1.86246e-008,0.2134
1.86670e-008,0.2167
1.87094e-008,0.2714
1.87518e-008,0.4375
1.87943e-008,0.6056
1.88367e-008,0.8203
1.88791e-008,0.9743
1.89216e-008,1.0767
1.89640e-008,1.1287
1.90064e-008,1.1610
1.90488e-008,1.1760
1.90912e-008,1.1896
1.91337e-008,1.1979
1.91761e-008,1.2022
1.92185e-008,1.2071
1.92610e-008,1.2240
1.93034e-008,1.2435
1.93458e-008,1.2436
1.93882e-008,1.2281
1.94307e-008,1.2133
1.94731e-008,1.1894
1.95155e-008,1.1837
1.95579e-008,1.2080
1.96003e-008,1.2409
1.96428e-008,1.1873
1.96852e-008,0.9599
1.97276e-008,0.7545
1.97701e-008,0.5532
1.98125e-008,0.4087
1.98549e-008,0.3295
1.98973e-008,0.3058
1.99397e-008,0.2895
1.99822e-008,0.2804
2.00246e-008,0.2738
2.00670e-008,0.2723
2.01095e-008,0.2736
2.01519e-008,0.2697
2.01943e-008,0.2443
2.02367e-008,0.2167
2.02792e-008,0.2230
2.03216e-008,0.2540
2.03640e-008,0.2743
2.04064e-008,0.3005
2.04488e-008,0.3041
2.04913e-008,0.2631
2.05337e-008,0.2129
2.05761e-008,0.2282
2.06186e-008,0.3999
2.06610e-008,0.5996
2.07034e-008,0.8356
2.07458e-008,0.9998
2.07882e-008,1.0950
2.08307e-008,1.1367
2.08731e-008,1.1614
2.09155e-008,1.1797
2.09580e-008,1.1938
2.10004e-008,1.1981
2.10428e-008,1.1950
2.10852e-008,1.1982
2.11277e-008,1.2196
2.11701e-008,1.2480
2.12125e-008,1.2570
2.12549e-008,1.2389
2.12973e-008,1.2126
2.13398e-008,1.1768
2.13822e-008,1.1687
2.14246e-008,1.1993
2.14671e-008,1.2453
2.15095e-008,1.2718
2.15519e-008,1.2864
2.15943e-008,1.2776
2.16367e-008,1.2617
2.16792e-008,1.2528
2.17216e-008,1.2539
2.17640e-008,1.2580
2.18064e-008,1.2625
2.18489e-008,1.2619
2.18913e-008,1.2598
2.19337e-008,1.2623
2.19762e-008,1.2676
2.20186e-008,1.2701
2.20610e-008,1.2674
2.21034e-008,1.2626
2.21458e-008,1.2571
2.21883e-008,1.2546
2.22307e-008,1.2610
2.22731e-008,1.2704
2.23156e-008,1.2734
2.23580e-008,1.2702
2.24004e-008,1.2655
2.24428e-008,1.2595
2.24852e-008,1.2579
2.25277e-008,1.2605
2.25701e-008,1.2640
2.26125e-008,1.2656
2.26549e-008,1.2654
2.26974e-008,1.2634
2.27398e-008,1.2627
2.27822e-008,1.2638
2.28247e-008,1.2647
2.28671e-008,1.2644
2.29095e-008,1.2637
2.29519e-008,1.2626
2.29943e-008,1.2618
2.30368e-008,1.2628
2.30792e-008,1.2652
2.31216e-008,1.2659
2.31641e-008,1.2646
2.32065e-008,1.2632
2.32489e-008,1.2623
2.32913e-008,1.2620
2.33338e-008,1.2632
2.33762e-008,1.2645
2.34186e-008,1.2647
2.34610e-008,1.2642
2.35034e-008,1.2635
2.35459e-008,1.2630
2.35883e-008,1.2633
2.36307e-008,1.2638
2.36732e-008,1.2639
2.37156e-008,1.2638
2.37580e-008,1.2635
2.38004e-008,1.2632
2.38428e-008,1.2633
2.38853e-008,1.2639
2.39277e-008,1.2642
2.39701e-008,1.2638
2.40126e-008,1.2634
2.40550e-008,1.2632
2.40974e-008,1.2632
2.41398e-008,1.2635
2.41823e-008,1.2639
2.42247e-008,1.2639
2.42671e-008,1.2637
2.43095e-008,1.2634
2.43519e-008,1.2633
2.43944e-008,1.2634
2.44368e-008,1.2636
2.44792e-008,1.2637
2.45217e-008,1.2636
2.45641e-008,1.2636
2.46065e-008,1.2635
2.46489e-008,1.2634
2.46913e-008,1.2636
2.47338e-008,1.2637
2.47762e-008,1.2636
2.48186e-008,1.2635
2.48611e-008,1.2634
2.49035e-008,1.2635
2.49459e-008,1.2635
2.49883e-008,1.2636
2.50308e-008,1.2636
2.50732e-008,1.2635
2.51156e-008,1.2634
2.51580e-008,1.2634
2.52004e-008,1.2635
2.52429e-008,1.2635
2.52853e-008,1.2636
2.53277e-008,1.2635
2.53702e-008,1.2635
2.54126e-008,1.2635
2.54550e-008,1.2634
2.54974e-008,1.2635
2.55398e-008,1.2635
2.55823e-008,1.2635
