.HEADER
..NAMES
Time,V U1.U25
.DATA
0.0e+000,0.2183
4.24e-011,0.2183
8.49e-011,0.2183
1.273e-010,0.2183
1.697e-010,0.2183
2.121e-010,0.2183
2.545e-010,0.2183
2.970e-010,0.2183
3.394e-010,0.2183
3.818e-010,0.2183
4.242e-010,0.2183
4.667e-010,0.2183
5.091e-010,0.2183
5.515e-010,0.2183
5.940e-010,0.2183
6.364e-010,0.2183
6.788e-010,0.2183
7.212e-010,0.2183
7.636e-010,0.2183
8.061e-010,0.2183
8.485e-010,0.2183
8.909e-010,0.2539
9.333e-010,0.4063
9.758e-010,0.5777
1.0182e-009,0.7934
1.0606e-009,0.9577
1.1030e-009,1.0692
1.1455e-009,1.1323
1.1879e-009,1.1654
1.2303e-009,1.1892
1.2728e-009,1.2077
1.3152e-009,1.2139
1.3576e-009,1.2193
1.4000e-009,1.2166
1.4425e-009,1.2194
1.4849e-009,1.2275
1.5273e-009,1.2230
1.5697e-009,1.2067
1.6121e-009,1.1979
1.6546e-009,1.1854
1.6970e-009,1.1882
1.7394e-009,1.2173
1.7819e-009,1.2477
1.8243e-009,1.2113
1.8667e-009,0.9916
1.9091e-009,0.7753
1.9516e-009,0.5729
1.9940e-009,0.4206
2.0364e-009,0.3311
2.0788e-009,0.2963
2.1213e-009,0.2819
2.1637e-009,0.2683
2.2061e-009,0.2515
2.2485e-009,0.2528
2.2910e-009,0.2555
2.3334e-009,0.2602
2.3758e-009,0.2525
2.4182e-009,0.2434
2.4606e-009,0.2547
2.5031e-009,0.2822
2.5455e-009,0.2900
2.5879e-009,0.2991
2.6303e-009,0.2920
2.6728e-009,0.2475
2.7152e-009,0.2060
2.7576e-009,0.2151
2.8000e-009,0.3784
2.8425e-009,0.5813
2.8849e-009,0.8092
2.9273e-009,0.9831
2.9698e-009,1.0873
3.0122e-009,1.1388
3.0546e-009,1.1666
3.0970e-009,1.1895
3.1395e-009,1.2107
3.1819e-009,1.2167
3.2243e-009,1.2186
3.2667e-009,1.2133
3.3092e-009,1.2195
3.3516e-009,1.2288
3.3940e-009,1.2268
3.4364e-009,1.2070
3.4789e-009,1.1926
3.5213e-009,1.1753
3.5637e-009,1.1807
3.6061e-009,1.2158
3.6485e-009,1.2540
3.6910e-009,1.2442
3.7334e-009,1.0456
3.7758e-009,0.8085
3.8183e-009,0.6020
3.8607e-009,0.4405
3.9031e-009,0.3422
3.9455e-009,0.3011
3.9879e-009,0.2858
4.0304e-009,0.2722
4.0728e-009,0.2525
4.1152e-009,0.2510
4.1577e-009,0.2552
4.2001e-009,0.2609
4.2425e-009,0.2549
4.2849e-009,0.2438
4.3274e-009,0.2483
4.3698e-009,0.2786
4.4122e-009,0.2902
4.4546e-009,0.2994
4.4970e-009,0.2967
4.5395e-009,0.2571
4.5819e-009,0.2091
4.6243e-009,0.1960
4.6668e-009,0.1958
4.7092e-009,0.2054
4.7516e-009,0.2190
4.7940e-009,0.2293
4.8364e-009,0.2278
4.8789e-009,0.2193
4.9213e-009,0.2163
4.9637e-009,0.2197
5.0062e-009,0.2205
5.0486e-009,0.2202
5.0910e-009,0.2177
5.1334e-009,0.2155
5.1758e-009,0.2183
5.2183e-009,0.2197
5.2607e-009,0.2188
5.3031e-009,0.2204
5.3456e-009,0.2160
5.3880e-009,0.2094
5.4304e-009,0.2121
5.4728e-009,0.2177
5.5153e-009,0.2203
5.5577e-009,0.2220
5.6001e-009,0.2225
5.6425e-009,0.2202
5.6849e-009,0.2162
