.HEADER
..NAMES
Time,V U1.J24
.DATA
0.0e+000,0.2169
4.24e-011,0.2169
8.49e-011,0.2169
1.273e-010,0.2169
1.697e-010,0.2169
2.121e-010,0.2169
2.545e-010,0.2169
2.970e-010,0.2169
3.394e-010,0.2169
3.818e-010,0.2169
4.242e-010,0.2169
4.667e-010,0.2169
5.091e-010,0.2169
5.515e-010,0.2169
5.940e-010,0.2169
6.364e-010,0.2169
6.788e-010,0.2169
7.212e-010,0.2169
7.636e-010,0.2169
8.061e-010,0.2169
8.485e-010,0.2169
8.909e-010,0.3115
9.333e-010,0.4919
9.758e-010,0.6775
1.0182e-009,0.8801
1.0606e-009,1.0136
1.1030e-009,1.0924
1.1455e-009,1.1428
1.1879e-009,1.1637
1.2303e-009,1.1843
1.2728e-009,1.1939
1.3152e-009,1.1990
1.3576e-009,1.2068
1.4000e-009,1.2131
1.4425e-009,1.2230
1.4849e-009,1.2145
1.5273e-009,1.1952
1.5697e-009,1.1787
1.6121e-009,1.1676
1.6546e-009,1.1896
1.6970e-009,1.2248
1.7394e-009,1.2488
1.7819e-009,1.2521
1.8243e-009,1.0995
1.8667e-009,0.8369
1.9091e-009,0.6566
1.9516e-009,0.4861
1.9940e-009,0.3789
2.0364e-009,0.3316
2.0788e-009,0.2952
2.1213e-009,0.2872
2.1637e-009,0.2808
2.2061e-009,0.2753
2.2485e-009,0.2731
2.2910e-009,0.2658
2.3334e-009,0.2545
2.3758e-009,0.2421
2.4182e-009,0.2681
2.4606e-009,0.3069
2.5031e-009,0.3152
2.5455e-009,0.3112
2.5879e-009,0.2699
2.6303e-009,0.2211
2.6728e-009,0.2125
2.7152e-009,0.2107
2.7576e-009,0.2179
2.8000e-009,0.2272
2.8425e-009,0.2243
2.8849e-009,0.2242
2.9273e-009,0.2224
2.9698e-009,0.2175
3.0122e-009,0.2180
3.0546e-009,0.2168
3.0970e-009,0.2133
3.1395e-009,0.2134
3.1819e-009,0.2192
3.2243e-009,0.2278
3.2667e-009,0.2257
3.3092e-009,0.2167
3.3516e-009,0.2062
3.3940e-009,0.2030
3.4364e-009,0.2103
3.4789e-009,0.2193
3.5213e-009,0.2225
3.5637e-009,0.2209
3.6061e-009,0.2169
3.6485e-009,0.2157
3.6910e-009,0.2671
3.7334e-009,0.4362
3.7758e-009,0.6118
3.8183e-009,0.8291
3.8607e-009,0.9802
3.9031e-009,1.0728
3.9455e-009,1.1310
3.9879e-009,1.1593
4.0304e-009,1.1819
4.0728e-009,1.1903
4.1152e-009,1.1941
4.1577e-009,1.1954
4.2001e-009,1.2028
4.2425e-009,1.2202
4.2849e-009,1.2225
4.3274e-009,1.2047
4.3698e-009,1.1891
4.4122e-009,1.1687
4.4546e-009,1.1778
4.4970e-009,1.2148
4.5395e-009,1.2422
4.5819e-009,1.2633
4.6243e-009,1.2640
4.6668e-009,1.2544
4.7092e-009,1.2515
4.7516e-009,1.2513
4.7940e-009,1.2542
4.8364e-009,1.2587
4.8789e-009,1.2604
4.9213e-009,1.2600
4.9637e-009,1.2617
5.0062e-009,1.2657
5.0486e-009,1.2654
5.0910e-009,1.2669
5.1334e-009,1.2678
5.1758e-009,1.2612
5.2183e-009,1.2618
5.2607e-009,1.2683
5.3031e-009,1.2665
5.3456e-009,1.2667
5.3880e-009,1.2638
5.4304e-009,1.2590
5.4728e-009,1.2605
5.5153e-009,1.2621
5.5577e-009,1.2632
5.6001e-009,1.2646
5.6425e-009,1.2641
5.6849e-009,1.2624
5.7274e-009,1.2626
5.7698e-009,1.2644
5.8122e-009,1.2638
5.8547e-009,1.2638
5.8971e-009,1.2649
5.9395e-009,1.2627
5.9819e-009,1.2622
6.0243e-009,1.2615
6.0668e-009,1.2596
6.1092e-009,1.2618
6.1516e-009,1.2629
6.1941e-009,1.2640
6.2365e-009,1.2667
6.2789e-009,1.2646
6.3213e-009,1.2629
6.3637e-009,1.2630
6.4062e-009,1.2628
6.4486e-009,1.2635
6.4910e-009,1.2304
6.5335e-009,1.0190
6.5759e-009,0.8155
6.6183e-009,0.6293
6.6607e-009,0.4697
6.7032e-009,0.3705
6.7456e-009,0.3205
6.7880e-009,0.2944
