.HEADER
..NAMES
Time,V U1.G24
.DATA
1.01820e-008,-0.0403
1.02244e-008,-0.0199
1.02668e-008,-0.0095
1.03093e-008,0.0219
1.03517e-008,0.1015
1.03941e-008,0.2555
1.04366e-008,0.4058
1.04790e-008,0.5393
1.05214e-008,0.6388
1.05638e-008,0.7084
1.06063e-008,0.7604
1.06487e-008,0.7944
1.06911e-008,0.8149
1.07335e-008,0.8284
1.07759e-008,0.8415
1.08184e-008,0.8541
1.08608e-008,0.8750
1.09032e-008,0.8996
1.09456e-008,0.9166
1.09881e-008,0.9370
1.10305e-008,0.9921
1.10729e-008,1.0894
1.11154e-008,1.2159
1.11578e-008,1.3510
1.12002e-008,1.3494
1.12426e-008,1.1027
1.12851e-008,0.9123
1.13275e-008,0.7633
1.13699e-008,0.6728
1.14123e-008,0.6237
1.14548e-008,0.6148
1.14972e-008,0.6090
1.15396e-008,0.6159
1.15820e-008,0.6324
1.16244e-008,0.6510
1.16669e-008,0.6689
1.17093e-008,0.6760
1.17517e-008,0.6590
1.17941e-008,0.6626
1.18366e-008,0.6798
1.18790e-008,0.5903
1.19214e-008,0.3999
1.19639e-008,0.1835
1.20063e-008,-0.0454
1.20487e-008,-0.2282
1.20911e-008,-0.2556
1.21336e-008,-0.1943
1.21760e-008,-0.1426
1.22184e-008,-0.1069
1.22608e-008,-0.0836
1.23032e-008,-0.0785
1.23457e-008,-0.0812
1.23881e-008,-0.0769
1.24305e-008,-0.0698
1.24729e-008,-0.0641
1.25154e-008,-0.0686
1.25578e-008,-0.0778
1.26002e-008,-0.0746
1.26427e-008,-0.0689
1.26851e-008,-0.0856
1.27275e-008,-0.0914
1.27699e-008,-0.0546
1.28124e-008,-0.0007
1.28548e-008,0.0566
1.28972e-008,0.1236
1.29396e-008,0.1621
1.29821e-008,0.1468
1.30245e-008,0.1079
1.30669e-008,0.0706
1.31093e-008,0.0416
1.31517e-008,0.0272
1.31942e-008,0.0276
1.32366e-008,0.0319
1.32790e-008,0.0325
1.33214e-008,0.0283
1.33639e-008,0.0261
1.34063e-008,0.0314
1.34487e-008,0.0362
1.34912e-008,0.0335
1.35336e-008,0.0349
1.35760e-008,0.0426
1.36184e-008,0.0401
1.36609e-008,0.0247
1.37033e-008,0.0048
1.37457e-008,-0.0240
1.37881e-008,-0.0567
1.38306e-008,-0.0727
1.38730e-008,-0.0668
1.39154e-008,-0.0495
1.39578e-008,-0.0292
1.40002e-008,-0.0127
1.40427e-008,-0.0054
1.40851e-008,-0.0067
1.41275e-008,-0.0110
1.41699e-008,-0.0125
