.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
1.00144e-008,-0.7708
1.00568e-008,-0.8269
1.00992e-008,-0.8532
1.01417e-008,-0.8297
1.01841e-008,-0.8017
1.02265e-008,-0.8169
1.02689e-008,-0.8502
1.03113e-008,-0.8780
1.03538e-008,-0.8825
1.03962e-008,-0.8833
1.04386e-008,-0.8845
1.04810e-008,-0.9160
1.05235e-008,-0.9640
1.05659e-008,-0.9989
1.06083e-008,-1.0240
1.06507e-008,-1.0289
1.06932e-008,-1.0039
1.07356e-008,-0.7437
1.07780e-008,-0.3753
1.08205e-008,-0.0020
1.08629e-008,0.3444
1.09053e-008,0.6140
1.09477e-008,0.7648
1.09902e-008,0.8245
1.10326e-008,0.8534
1.10750e-008,0.8340
1.11174e-008,0.8045
1.11598e-008,0.8179
1.12023e-008,0.8492
1.12447e-008,0.8777
1.12871e-008,0.8836
1.13295e-008,0.8841
1.13720e-008,0.8854
1.14144e-008,0.9126
1.14568e-008,0.9606
1.14993e-008,0.9960
1.15417e-008,1.0235
1.15841e-008,1.0308
1.16265e-008,1.0101
1.16690e-008,0.7783
1.17114e-008,0.4096
1.17538e-008,0.0432
1.17962e-008,-0.3124
1.18387e-008,-0.5897
1.18811e-008,-0.7516
1.19235e-008,-0.8181
1.19659e-008,-0.8518
1.20083e-008,-0.8375
1.20508e-008,-0.8038
1.20932e-008,-0.8117
1.21356e-008,-0.8432
1.21780e-008,-0.8746
1.22205e-008,-0.8827
1.22629e-008,-0.8831
1.23053e-008,-0.8834
1.23478e-008,-0.9067
1.23902e-008,-0.9558
1.24326e-008,-0.9925
1.24750e-008,-1.0207
1.25175e-008,-1.0293
1.25599e-008,-1.0124
1.26023e-008,-0.8077
1.26447e-008,-0.4430
1.26871e-008,-0.0833
1.27296e-008,0.2835
1.27720e-008,0.5699
1.28144e-008,0.7432
1.28568e-008,0.8148
1.28993e-008,0.8510
1.29417e-008,0.8411
1.29841e-008,0.8073
1.30265e-008,0.8127
1.30690e-008,0.8425
1.31114e-008,0.8737
1.31538e-008,0.8837
1.31963e-008,0.8837
1.32387e-008,0.8846
1.32811e-008,0.9039
1.33235e-008,0.9521
1.33660e-008,0.9894
1.34084e-008,1.0195
1.34508e-008,1.0308
1.34932e-008,1.0182
1.35356e-008,0.8394
1.35781e-008,0.4788
1.36205e-008,0.1250
1.36629e-008,-0.2510
1.37053e-008,-0.5437
1.37478e-008,-0.7291
1.37902e-008,-0.8073
1.38326e-008,-0.8483
1.38751e-008,-0.8440
1.39175e-008,-0.8083
1.39599e-008,-0.8072
1.40023e-008,-0.8363
1.40448e-008,-0.8700
1.40872e-008,-0.8826
1.41296e-008,-0.8828
1.41720e-008,-0.8832
1.42145e-008,-0.8986
1.42569e-008,-0.9469
1.42993e-008,-0.9861
1.43417e-008,-1.0165
1.43841e-008,-1.0291
1.44266e-008,-1.0206
1.44690e-008,-0.8680
1.45114e-008,-0.5139
1.45538e-008,-0.1637
1.45963e-008,0.2211
1.46387e-008,0.5209
1.46811e-008,0.7196
1.47236e-008,0.8037
1.47660e-008,0.8467
1.48084e-008,0.8467
1.48508e-008,0.8123
1.48933e-008,0.8086
1.49357e-008,0.8359
1.49781e-008,0.8687
1.50205e-008,0.8834
1.50629e-008,0.8833
1.51054e-008,0.8844
1.51478e-008,0.8966
1.51902e-008,0.9429
1.52327e-008,0.9828
1.52751e-008,1.0146
1.53175e-008,1.0302
1.53599e-008,1.0255
1.54023e-008,0.8999
1.54448e-008,0.5510
1.54872e-008,0.2014
1.55296e-008,-0.1882
1.55721e-008,-0.4922
1.56145e-008,-0.7043
1.56569e-008,-0.7963
1.56993e-008,-0.8427
1.57417e-008,-0.8488
1.57842e-008,-0.8144
1.58266e-008,-0.8040
1.58690e-008,-0.8295
1.59114e-008,-0.8645
1.59539e-008,-0.8821
1.59963e-008,-0.8826
1.60387e-008,-0.8834
1.60812e-008,-0.8922
1.61236e-008,-0.9373
1.61660e-008,-0.9794
1.62084e-008,-1.0115
1.62508e-008,-1.0284
1.62933e-008,-1.0263
1.63357e-008,-0.9273
1.63781e-008,-0.5853
1.64206e-008,-0.2349
1.64630e-008,0.1566
1.65054e-008,0.4673
1.65478e-008,0.6925
1.65903e-008,0.7930
1.66327e-008,0.8403
1.66751e-008,0.8505
1.67175e-008,0.8183
1.67599e-008,0.8060
1.68024e-008,0.8298
1.68448e-008,0.8629
1.68872e-008,0.8823
1.69297e-008,0.8831
1.69721e-008,0.8845
1.70145e-008,0.8914
1.70569e-008,0.9333
1.70993e-008,0.9760
1.71418e-008,1.0090
1.71842e-008,1.0288
1.72266e-008,1.0293
1.72691e-008,0.9557
1.73115e-008,0.6238
1.73539e-008,0.2685
1.73963e-008,-0.1207
1.74388e-008,-0.4367
1.74812e-008,-0.6739
1.75236e-008,-0.7858
1.75660e-008,-0.8356
1.76084e-008,-0.8519
1.76509e-008,-0.8213
1.76933e-008,-0.8024
1.77357e-008,-0.8236
1.77782e-008,-0.8582
1.78206e-008,-0.8806
1.78630e-008,-0.8825
1.79054e-008,-0.8836
1.79478e-008,-0.8879
1.79903e-008,-0.9275
1.80327e-008,-0.9725
1.80751e-008,-1.0058
1.81176e-008,-1.0268
1.81600e-008,-1.0282
1.82024e-008,-0.9755
1.82448e-008,-0.6615
1.82873e-008,-0.3013
1.83297e-008,0.0847
1.83721e-008,0.4099
1.84145e-008,0.6585
1.84569e-008,0.7820
1.84994e-008,0.8330
1.85418e-008,0.8530
1.85842e-008,0.8252
1.86267e-008,0.8043
1.86691e-008,0.8240
1.87115e-008,0.8566
1.87539e-008,0.8805
1.87963e-008,0.8832
1.88388e-008,0.8844
1.88812e-008,0.8876
1.89236e-008,0.9234
1.89661e-008,0.9689
1.90085e-008,1.0029
1.90509e-008,1.0267
1.90933e-008,1.0301
1.91358e-008,0.9924
1.91782e-008,0.7002
1.92206e-008,0.3347
1.92630e-008,-0.0457
1.93054e-008,-0.3791
1.93479e-008,-0.6366
1.93903e-008,-0.7728
1.94327e-008,-0.8280
1.94752e-008,-0.8533
1.95176e-008,-0.8289
1.95600e-008,-0.8020
1.96024e-008,-0.8179
1.96448e-008,-0.8513
1.96873e-008,-0.8784
1.97297e-008,-0.8826
1.97721e-008,-0.8836
1.98146e-008,-0.8851
1.98570e-008,-0.9175
1.98994e-008,-0.9651
1.99418e-008,-0.9998
1.99843e-008,-1.0245
2.00267e-008,-1.0290
2.00691e-008,-0.9999
2.01115e-008,-0.7350
2.01539e-008,-0.3673
2.01964e-008,0.0071
2.02388e-008,0.3511
2.02812e-008,0.6185
2.03237e-008,0.7665
2.03661e-008,0.8253
2.04085e-008,0.8533
2.04509e-008,0.8328
2.04933e-008,0.8043
2.05358e-008,0.8185
2.05782e-008,0.8499
2.06206e-008,0.8778
2.06630e-008,0.8833
2.07055e-008,0.8840
2.07479e-008,0.8855
2.07903e-008,0.9137
2.08328e-008,0.9613
2.08752e-008,0.9965
2.09176e-008,1.0237
2.09600e-008,1.0306
2.10024e-008,1.0090
2.10449e-008,0.7697
2.10873e-008,0.4008
2.11297e-008,0.0332
2.11722e-008,-0.3198
2.12146e-008,-0.5950
2.12570e-008,-0.7542
2.12994e-008,-0.8194
2.13419e-008,-0.8522
2.13843e-008,-0.8366
2.14267e-008,-0.8037
2.14691e-008,-0.8126
2.15115e-008,-0.8443
2.15540e-008,-0.8751
2.15964e-008,-0.8828
2.16388e-008,-0.8833
2.16813e-008,-0.8838
2.17237e-008,-0.9081
2.17661e-008,-0.9570
2.18085e-008,-0.9934
2.18509e-008,-1.0213
2.18934e-008,-1.0294
2.19358e-008,-1.0118
2.19782e-008,-0.7999
2.20207e-008,-0.4344
2.20631e-008,-0.0736
2.21055e-008,0.2904
2.21479e-008,0.5750
2.21904e-008,0.7455
2.22328e-008,0.8158
2.22752e-008,0.8512
2.23176e-008,0.8400
2.23600e-008,0.8068
2.24025e-008,0.8133
2.24449e-008,0.8432
2.24873e-008,0.8740
2.25298e-008,0.8835
2.25722e-008,0.8836
2.26146e-008,0.8846
2.26570e-008,0.9049
2.26994e-008,0.9530
2.27419e-008,0.9900
2.27843e-008,1.0198
2.28267e-008,1.0306
2.28692e-008,1.0173
2.29116e-008,0.8313
2.29540e-008,0.4696
2.29964e-008,0.1151
2.30389e-008,-0.2586
2.30813e-008,-0.5496
2.31237e-008,-0.7318
2.31661e-008,-0.8088
2.32085e-008,-0.8489
2.32510e-008,-0.8432
2.32934e-008,-0.8079
2.33358e-008,-0.8080
2.33783e-008,-0.8373
2.34207e-008,-0.8707
2.34631e-008,-0.8827
2.35055e-008,-0.8829
2.35479e-008,-0.8835
2.35904e-008,-0.8998
2.36328e-008,-0.9482
2.36752e-008,-0.9869
2.37177e-008,-1.0171
2.37601e-008,-1.0293
2.38025e-008,-1.0199
2.38449e-008,-0.8601
2.38874e-008,-0.5049
2.39298e-008,-0.1546
2.39722e-008,0.2283
2.40146e-008,0.5267
2.40570e-008,0.7221
2.40995e-008,0.8047
2.41419e-008,0.8471
2.41843e-008,0.8458
2.42268e-008,0.8115
2.42692e-008,0.8090
2.43116e-008,0.8366
2.43540e-008,0.8691
2.43964e-008,0.8832
2.44389e-008,0.8832
2.44813e-008,0.8843
2.45237e-008,0.8975
2.45662e-008,0.9439
2.46086e-008,0.9834
2.46510e-008,1.0150
2.46934e-008,1.0301
2.47359e-008,1.0248
2.47783e-008,0.8915
2.48207e-008,0.5415
2.48631e-008,0.1924
2.49055e-008,-0.1961
2.49480e-008,-0.4987
2.49904e-008,-0.7073
2.50328e-008,-0.7977
2.50753e-008,-0.8436
2.51177e-008,-0.8483
2.51601e-008,-0.8138
2.52025e-008,-0.8046
2.52449e-008,-0.8305
2.52874e-008,-0.8653
2.53298e-008,-0.8822
2.53722e-008,-0.8827
2.54146e-008,-0.8836
2.54571e-008,-0.8932
2.54995e-008,-0.9387
2.55419e-008,-0.9803
2.55844e-008,-1.0122
2.56268e-008,-1.0286
2.56692e-008,-1.0260
2.57116e-008,-0.9210
2.57540e-008,-0.5777
2.57965e-008,-0.2279
2.58389e-008,0.1638
2.58813e-008,0.4731
2.59238e-008,0.6956
2.59662e-008,0.7940
2.60086e-008,0.8410
2.60510e-008,0.8501
2.60935e-008,0.8175
2.61359e-008,0.8060
2.61783e-008,0.8303
2.62207e-008,0.8635
2.62631e-008,0.8823
2.63056e-008,0.8831
2.63480e-008,0.8843
2.63904e-008,0.8917
2.64329e-008,0.9343
2.64753e-008,0.9767
2.65177e-008,1.0096
2.65601e-008,1.0289
2.66025e-008,1.0291
2.66450e-008,0.9503
2.66874e-008,0.6155
2.67298e-008,0.2611
2.67723e-008,-0.1288
2.68147e-008,-0.4432
2.68571e-008,-0.6777
2.68995e-008,-0.7870
2.69420e-008,-0.8365
2.69844e-008,-0.8518
2.70268e-008,-0.8206
2.70692e-008,-0.8026
2.71116e-008,-0.8243
2.71541e-008,-0.8590
2.71965e-008,-0.8809
2.72389e-008,-0.8826
2.72814e-008,-0.8837
2.73238e-008,-0.8883
2.73662e-008,-0.9287
2.74086e-008,-0.9734
2.74510e-008,-1.0066
2.74935e-008,-1.0271
2.75359e-008,-1.0282
2.75783e-008,-0.9716
2.76208e-008,-0.6532
2.76632e-008,-0.2944
2.77056e-008,0.0929
2.77480e-008,0.4160
2.77905e-008,0.6625
2.78329e-008,0.7833
2.78753e-008,0.8337
2.79177e-008,0.8528
2.79601e-008,0.8243
2.80026e-008,0.8043
2.80450e-008,0.8245
2.80874e-008,0.8572
2.81299e-008,0.8807
2.81723e-008,0.8831
2.82147e-008,0.8843
2.82571e-008,0.8878
2.82995e-008,0.9243
2.83420e-008,0.9696
2.83844e-008,1.0035
2.84268e-008,1.0269
2.84693e-008,1.0300
2.85117e-008,0.9898
2.85541e-008,0.6921
2.85965e-008,0.3275
2.86390e-008,-0.0543
2.86814e-008,-0.3857
2.87238e-008,-0.6412
2.87662e-008,-0.7746
2.88086e-008,-0.8290
2.88511e-008,-0.8534
2.88935e-008,-0.8281
2.89359e-008,-0.8020
2.89784e-008,-0.8186
2.90208e-008,-0.8522
2.90632e-008,-0.8788
2.91056e-008,-0.8827
2.91480e-008,-0.8837
2.91905e-008,-0.8854
2.92329e-008,-0.9186
2.92753e-008,-0.9660
2.93178e-008,-1.0006
2.93602e-008,-1.0249
2.94026e-008,-1.0290
2.94450e-008,-0.9990
2.94875e-008,-0.7277
2.95299e-008,-0.3604
2.95723e-008,0.0157
2.96147e-008,0.3575
2.96571e-008,0.6230
2.96996e-008,0.7684
2.97420e-008,0.8261
2.97844e-008,0.8533
2.98269e-008,0.8319
2.98693e-008,0.8041
2.99117e-008,0.8190
2.99541e-008,0.8505
2.99965e-008,0.8781
3.00390e-008,0.8833
3.00814e-008,0.8840
3.01238e-008,0.8855
3.01663e-008,0.9146
3.02087e-008,0.9621
3.02511e-008,0.9972
3.02935e-008,1.0240
3.03360e-008,1.0305
3.03784e-008,1.0080
3.04208e-008,0.7626
3.04632e-008,0.3934
3.05056e-008,0.0242
3.05481e-008,-0.3266
3.05905e-008,-0.6000
3.06329e-008,-0.7568
3.06753e-008,-0.8205
3.07178e-008,-0.8526
3.07602e-008,-0.8359
3.08026e-008,-0.8035
3.08451e-008,-0.8132
3.08875e-008,-0.8451
3.09299e-008,-0.8756
3.09723e-008,-0.8829
3.10147e-008,-0.8834
3.10572e-008,-0.8839
3.10996e-008,-0.9091
3.11420e-008,-0.9580
3.11844e-008,-0.9942
3.12269e-008,-1.0218
3.12693e-008,-1.0294
3.13117e-008,-1.0110
3.13542e-008,-0.7936
3.13966e-008,-0.4272
3.14390e-008,-0.0646
3.14814e-008,0.2971
3.15239e-008,0.5799
3.15663e-008,0.7479
3.16087e-008,0.8168
3.16511e-008,0.8515
3.16935e-008,0.8392
3.17360e-008,0.8063
3.17784e-008,0.8138
3.18208e-008,0.8438
3.18633e-008,0.8744
3.19057e-008,0.8834
3.19481e-008,0.8836
3.19905e-008,0.8845
3.20330e-008,0.9057
3.20754e-008,0.9539
3.21178e-008,0.9906
3.21602e-008,1.0202
3.22026e-008,1.0306
3.22451e-008,1.0164
3.22875e-008,0.8248
3.23299e-008,0.4619
3.23723e-008,0.1063
3.24148e-008,-0.2655
3.24572e-008,-0.5550
3.24996e-008,-0.7345
3.25421e-008,-0.8102
3.25845e-008,-0.8495
3.26269e-008,-0.8427
3.26693e-008,-0.8074
3.27117e-008,-0.8085
3.27542e-008,-0.8381
3.27966e-008,-0.8713
3.28390e-008,-0.8828
3.28814e-008,-0.8830
3.29239e-008,-0.8835
3.29663e-008,-0.9007
3.30087e-008,-0.9493
3.30512e-008,-0.9877
3.30936e-008,-1.0177
3.31360e-008,-1.0294
3.31784e-008,-1.0192
3.32209e-008,-0.8539
3.32633e-008,-0.4972
3.33057e-008,-0.1464
3.33481e-008,0.2350
3.33905e-008,0.5321
3.34330e-008,0.7247
3.34754e-008,0.8058
3.35178e-008,0.8476
3.35603e-008,0.8452
3.36027e-008,0.8108
3.36451e-008,0.8093
3.36875e-008,0.8372
3.37300e-008,0.8696
3.37724e-008,0.8832
3.38148e-008,0.8832
3.38572e-008,0.8842
3.38996e-008,0.8981
3.39421e-008,0.9449
3.39845e-008,0.9841
3.40269e-008,1.0156
3.40694e-008,1.0301
3.41118e-008,1.0241
3.41542e-008,0.8850
3.41966e-008,0.5336
3.42391e-008,0.1845
3.42815e-008,-0.2031
3.43239e-008,-0.5046
3.43663e-008,-0.7103
3.44087e-008,-0.7990
3.44512e-008,-0.8444
3.44936e-008,-0.8479
