.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
4.09825e-008,1.0907
4.10250e-008,1.0894
4.10674e-008,1.1034
4.11098e-008,1.1260
4.11523e-008,1.1364
4.11947e-008,1.1573
4.12371e-008,1.1847
4.12795e-008,1.1949
4.13220e-008,1.1918
4.13644e-008,1.1736
4.14068e-008,1.1619
4.14492e-008,1.1648
4.14916e-008,1.1641
4.15341e-008,1.1776
4.15765e-008,1.2099
4.16189e-008,1.2392
4.16614e-008,1.1899
4.17038e-008,0.9727
4.17462e-008,0.7572
4.17886e-008,0.5594
4.18311e-008,0.4370
4.18735e-008,0.3738
4.19159e-008,0.3325
4.19583e-008,0.3417
4.20007e-008,0.3531
4.20432e-008,0.3365
4.20856e-008,0.3165
4.21280e-008,0.2993
4.21704e-008,0.2816
4.22129e-008,0.2778
4.22553e-008,0.2809
4.22977e-008,0.2954
4.23402e-008,0.3153
4.23826e-008,0.3206
4.24250e-008,0.3140
4.24674e-008,0.2913
4.25098e-008,0.2559
4.25523e-008,0.2257
4.25947e-008,0.2404
4.26371e-008,0.4042
4.26795e-008,0.5924
4.27220e-008,0.8038
4.27644e-008,0.9554
4.28068e-008,1.0367
4.28493e-008,1.0870
4.28917e-008,1.0899
4.29341e-008,1.0991
4.29765e-008,1.1224
4.30190e-008,1.1344
4.30614e-008,1.1517
4.31038e-008,1.1802
4.31462e-008,1.1943
4.31886e-008,1.1935
4.32311e-008,1.1777
4.32735e-008,1.1625
4.33159e-008,1.1641
4.33584e-008,1.1642
4.34008e-008,1.1728
4.34432e-008,1.2033
4.34856e-008,1.2348
4.35281e-008,1.2174
4.35705e-008,1.0216
4.36129e-008,0.7956
4.36553e-008,0.5917
4.36977e-008,0.4558
4.37402e-008,0.3840
4.37826e-008,0.3364
4.38250e-008,0.3374
4.38675e-008,0.3525
4.39099e-008,0.3414
4.39523e-008,0.3196
4.39947e-008,0.3033
4.40372e-008,0.2842
4.40796e-008,0.2775
4.41220e-008,0.2801
4.41644e-008,0.2912
4.42068e-008,0.3123
4.42493e-008,0.3207
4.42917e-008,0.3162
4.43341e-008,0.2974
4.43765e-008,0.2627
4.44190e-008,0.2309
4.44614e-008,0.2223
4.45038e-008,0.3655
4.45463e-008,0.5556
4.45887e-008,0.7635
4.46311e-008,0.9313
4.46735e-008,1.0236
4.47160e-008,1.0813
4.47584e-008,1.0915
4.48008e-008,1.0953
4.48432e-008,1.1181
4.48856e-008,1.1328
