.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
1.03962e-008,1.1827
1.04386e-008,1.1718
1.04810e-008,1.1747
1.05235e-008,1.1800
1.05659e-008,1.1893
1.06083e-008,1.2240
1.06507e-008,1.2436
1.06932e-008,1.2356
1.07356e-008,1.0834
1.07780e-008,0.8153
1.08205e-008,0.6289
1.08629e-008,0.4721
1.09053e-008,0.3668
1.09477e-008,0.3280
1.09902e-008,0.3031
1.10326e-008,0.2920
1.10750e-008,0.2809
1.11174e-008,0.2728
1.11598e-008,0.2702
1.12023e-008,0.2734
1.12447e-008,0.2881
1.12871e-008,0.2945
1.13295e-008,0.2917
1.13720e-008,0.3068
1.14144e-008,0.3094
1.14568e-008,0.2924
1.14993e-008,0.2775
1.15417e-008,0.2437
1.15841e-008,0.2162
1.16265e-008,0.2179
1.16690e-008,0.3191
1.17114e-008,0.5332
1.17538e-008,0.7089
1.17962e-008,0.9006
1.18387e-008,1.0202
1.18811e-008,1.0773
1.19235e-008,1.1227
1.19659e-008,1.1488
1.20083e-008,1.1713
1.20508e-008,1.1903
1.20932e-008,1.1992
1.21356e-008,1.1982
1.21780e-008,1.1911
1.22205e-008,1.1848
1.22629e-008,1.1844
1.23053e-008,1.1735
1.23478e-008,1.1730
1.23902e-008,1.1798
1.24326e-008,1.1852
1.24750e-008,1.2170
1.25175e-008,1.2420
1.25599e-008,1.2420
1.26023e-008,1.1312
1.26447e-008,0.8629
1.26871e-008,0.6663
1.27296e-008,0.4968
1.27720e-008,0.3827
1.28144e-008,0.3335
1.28568e-008,0.3081
1.28993e-008,0.2930
1.29417e-008,0.2829
1.29841e-008,0.2745
1.30265e-008,0.2699
1.30690e-008,0.2723
1.31114e-008,0.2844
1.31538e-008,0.2953
1.31963e-008,0.2910
1.32387e-008,0.3033
1.32811e-008,0.3114
1.33235e-008,0.2955
1.33660e-008,0.2816
1.34084e-008,0.2512
1.34508e-008,0.2195
1.34932e-008,0.2146
1.35356e-008,0.2815
1.35781e-008,0.4929
1.36205e-008,0.6731
1.36629e-008,0.8702
1.37053e-008,1.0018
1.37478e-008,1.0689
1.37902e-008,1.1139
1.38326e-008,1.1455
1.38751e-008,1.1670
1.39175e-008,1.1866
1.39599e-008,1.1989
1.40023e-008,1.1987
1.40448e-008,1.1934
1.40872e-008,1.1846
1.41296e-008,1.1855
1.41720e-008,1.1757
1.42145e-008,1.1717
1.42569e-008,1.1792
1.42993e-008,1.1825
1.43417e-008,1.2097
1.43841e-008,1.2394
1.44266e-008,1.2448
1.44690e-008,1.1750
1.45114e-008,0.9154
1.45538e-008,0.7009
1.45963e-008,0.5237
1.46387e-008,0.4020
1.46811e-008,0.3389
1.47236e-008,0.3126
1.47660e-008,0.2943
1.48084e-008,0.2853
1.48508e-008,0.2764
1.48933e-008,0.2697
1.49357e-008,0.2715
1.49781e-008,0.2808
1.50205e-008,0.2952
1.50629e-008,0.2911
1.51054e-008,0.2997
1.51478e-008,0.3123
1.51902e-008,0.2990
1.52327e-008,0.2847
1.52751e-008,0.2586
1.53175e-008,0.2239
1.53599e-008,0.2127
1.54023e-008,0.2471
1.54448e-008,0.4501
1.54872e-008,0.6406
1.55296e-008,0.8350
1.55721e-008,0.9803
1.56145e-008,1.0604
1.56569e-008,1.1057
1.56993e-008,1.1422
1.57417e-008,1.1624
1.57842e-008,1.1829
1.58266e-008,1.1980
1.58690e-008,1.1991
1.59114e-008,1.1953
1.59539e-008,1.1851
1.59963e-008,1.1860
1.60387e-008,1.1781
1.60812e-008,1.1710
1.61236e-008,1.1781
1.61660e-008,1.1809
1.62084e-008,1.2023
1.62508e-008,1.2357
1.62933e-008,1.2451
1.63357e-008,1.2063
1.63781e-008,0.9716
1.64206e-008,0.7342
1.64630e-008,0.5547
1.65054e-008,0.4236
1.65478e-008,0.3456
1.65903e-008,0.3166
1.66327e-008,0.2962
1.66751e-008,0.2880
1.67175e-008,0.2780
1.67599e-008,0.2702
1.68024e-008,0.2709
1.68448e-008,0.2777
1.68872e-008,0.2940
1.69297e-008,0.2920
1.69721e-008,0.2963
1.70145e-008,0.3117
1.70569e-008,0.3028
1.70993e-008,0.2873
1.71418e-008,0.2656
1.71842e-008,0.2296
1.72266e-008,0.2130
1.72691e-008,0.2283
1.73115e-008,0.4072
1.73539e-008,0.6090
1.73963e-008,0.7962
1.74388e-008,0.9572
1.74812e-008,1.0501
1.75236e-008,1.0976
1.75660e-008,1.1380
1.76084e-008,1.1578
1.76509e-008,1.1794
1.76933e-008,1.1963
1.77357e-008,1.1992
1.77782e-008,1.1965
1.78206e-008,1.1864
1.78630e-008,1.1861
1.79054e-008,1.1802
1.79478e-008,1.1710
1.79903e-008,1.1769
1.80327e-008,1.1804
1.80751e-008,1.1959
1.81176e-008,1.2310
1.81600e-008,1.2446
1.82024e-008,1.2239
1.82448e-008,1.0271
1.82873e-008,0.7700
1.83297e-008,0.5890
1.83721e-008,0.4462
1.84145e-008,0.3544
1.84569e-008,0.3215
1.84994e-008,0.2988
1.85418e-008,0.2903
1.85842e-008,0.2794
1.86267e-008,0.2713
1.86691e-008,0.2706
1.87115e-008,0.2754
1.87539e-008,0.2917
1.87963e-008,0.2932
1.88388e-008,0.2936
1.88812e-008,0.3099
1.89236e-008,0.3063
1.89661e-008,0.2897
1.90085e-008,0.2718
1.90509e-008,0.2360
