.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
1.00123e-008,-0.9160
1.00547e-008,-0.9640
1.00971e-008,-0.9989
1.01396e-008,-1.0240
1.01820e-008,-1.0289
1.02244e-008,-1.0039
1.02668e-008,-0.7437
1.03093e-008,-0.3753
1.03517e-008,-0.0020
1.03941e-008,0.3444
1.04366e-008,0.6140
1.04790e-008,0.7648
1.05214e-008,0.8245
1.05638e-008,0.8534
1.06063e-008,0.8340
1.06487e-008,0.8045
1.06911e-008,0.8179
1.07335e-008,0.8492
1.07759e-008,0.8777
1.08184e-008,0.8836
1.08608e-008,0.8841
1.09032e-008,0.8854
1.09456e-008,0.9126
1.09881e-008,0.9606
1.10305e-008,0.9960
1.10729e-008,1.0235
1.11154e-008,1.0308
1.11578e-008,1.0101
1.12002e-008,0.7783
1.12426e-008,0.4096
1.12851e-008,0.0432
1.13275e-008,-0.3124
1.13699e-008,-0.5897
1.14123e-008,-0.7516
1.14548e-008,-0.8181
1.14972e-008,-0.8518
1.15396e-008,-0.8375
1.15820e-008,-0.8038
1.16244e-008,-0.8117
1.16669e-008,-0.8432
1.17093e-008,-0.8746
1.17517e-008,-0.8827
1.17941e-008,-0.8831
1.18366e-008,-0.8834
1.18790e-008,-0.9067
1.19214e-008,-0.9558
1.19639e-008,-0.9925
1.20063e-008,-1.0207
1.20487e-008,-1.0293
1.20911e-008,-1.0124
1.21336e-008,-0.8077
1.21760e-008,-0.4430
1.22184e-008,-0.0833
1.22608e-008,0.2835
1.23032e-008,0.5699
1.23457e-008,0.7432
1.23881e-008,0.8148
1.24305e-008,0.8510
1.24729e-008,0.8411
1.25154e-008,0.8073
1.25578e-008,0.8127
1.26002e-008,0.8425
1.26427e-008,0.8737
1.26851e-008,0.8837
1.27275e-008,0.8837
1.27699e-008,0.8846
1.28124e-008,0.9039
1.28548e-008,0.9521
1.28972e-008,0.9894
1.29396e-008,1.0195
1.29821e-008,1.0308
1.30245e-008,1.0182
1.30669e-008,0.8394
1.31093e-008,0.4788
1.31517e-008,0.1250
1.31942e-008,-0.2510
1.32366e-008,-0.5437
1.32790e-008,-0.7291
1.33214e-008,-0.8073
1.33639e-008,-0.8483
1.34063e-008,-0.8440
1.34487e-008,-0.8083
1.34912e-008,-0.8072
1.35336e-008,-0.8363
1.35760e-008,-0.8700
1.36184e-008,-0.8826
1.36609e-008,-0.8828
1.37033e-008,-0.8832
1.37457e-008,-0.8986
1.37881e-008,-0.9469
1.38306e-008,-0.9861
1.38730e-008,-1.0165
1.39154e-008,-1.0291
1.39578e-008,-1.0206
1.40002e-008,-0.8680
1.40427e-008,-0.5139
1.40851e-008,-0.1637
1.41275e-008,0.2211
1.41699e-008,0.5209
1.42124e-008,0.7196
1.42548e-008,0.8037
1.42972e-008,0.8467
1.43397e-008,0.8467
1.43821e-008,0.8123
1.44245e-008,0.8086
1.44669e-008,0.8359
1.45094e-008,0.8687
1.45518e-008,0.8834
1.45942e-008,0.8833
1.46366e-008,0.8844
1.46790e-008,0.8966
1.47215e-008,0.9429
1.47639e-008,0.9828
1.48063e-008,1.0146
1.48487e-008,1.0302
1.48912e-008,1.0255
1.49336e-008,0.8999
1.49760e-008,0.5510
1.50185e-008,0.2014
1.50609e-008,-0.1882
1.51033e-008,-0.4922
1.51457e-008,-0.7043
1.51881e-008,-0.7963
1.52306e-008,-0.8427
1.52730e-008,-0.8488
1.53154e-008,-0.8144
1.53579e-008,-0.8040
1.54003e-008,-0.8295
1.54427e-008,-0.8645
1.54851e-008,-0.8821
1.55276e-008,-0.8826
1.55700e-008,-0.8834
1.56124e-008,-0.8922
1.56548e-008,-0.9373
1.56972e-008,-0.9794
1.57397e-008,-1.0115
1.57821e-008,-1.0284
1.58245e-008,-1.0263
1.58670e-008,-0.9273
1.59094e-008,-0.5853
1.59518e-008,-0.2349
1.59942e-008,0.1566
1.60366e-008,0.4673
1.60791e-008,0.6925
1.61215e-008,0.7930
1.61639e-008,0.8403
1.62064e-008,0.8505
1.62488e-008,0.8183
1.62912e-008,0.8060
1.63336e-008,0.8298
1.63761e-008,0.8629
1.64185e-008,0.8823
1.64609e-008,0.8831
1.65033e-008,0.8845
1.65457e-008,0.8914
1.65882e-008,0.9333
1.66306e-008,0.9760
1.66730e-008,1.0090
1.67155e-008,1.0288
1.67579e-008,1.0293
1.68003e-008,0.9557
1.68427e-008,0.6238
1.68851e-008,0.2685
1.69276e-008,-0.1207
1.69700e-008,-0.4367
1.70124e-008,-0.6739
1.70548e-008,-0.7858
1.70973e-008,-0.8356
1.71397e-008,-0.8519
1.71821e-008,-0.8213
1.72246e-008,-0.8024
1.72670e-008,-0.8236
1.73094e-008,-0.8582
1.73518e-008,-0.8806
1.73942e-008,-0.8825
1.74367e-008,-0.8836
1.74791e-008,-0.8879
1.75215e-008,-0.9275
1.75640e-008,-0.9725
1.76064e-008,-1.0058
1.76488e-008,-1.0268
1.76912e-008,-1.0282
1.77336e-008,-0.9755
1.77761e-008,-0.6615
1.78185e-008,-0.3013
1.78609e-008,0.0847
1.79033e-008,0.4099
1.79458e-008,0.6585
1.79882e-008,0.7820
1.80306e-008,0.8330
1.80731e-008,0.8530
1.81155e-008,0.8252
1.81579e-008,0.8043
1.82003e-008,0.8240
1.82427e-008,0.8566
1.82852e-008,0.8805
1.83276e-008,0.8832
1.83700e-008,0.8844
1.84125e-008,0.8876
1.84549e-008,0.9234
1.84973e-008,0.9689
1.85397e-008,1.0029
1.85822e-008,1.0267
1.86246e-008,1.0301
1.86670e-008,0.9924
1.87094e-008,0.7002
1.87518e-008,0.3347
1.87943e-008,-0.0457
1.88367e-008,-0.3791
1.88791e-008,-0.6366
1.89216e-008,-0.7728
1.89640e-008,-0.8280
1.90064e-008,-0.8533
1.90488e-008,-0.8289
1.90912e-008,-0.8020
1.91337e-008,-0.8179
1.91761e-008,-0.8513
1.92185e-008,-0.8784
1.92610e-008,-0.8826
1.93034e-008,-0.8836
1.93458e-008,-0.8851
1.93882e-008,-0.9175
1.94307e-008,-0.9651
1.94731e-008,-0.9998
1.95155e-008,-1.0245
1.95579e-008,-1.0290
1.96003e-008,-0.9999
1.96428e-008,-0.7350
1.96852e-008,-0.3673
1.97276e-008,0.0071
1.97701e-008,0.3511
1.98125e-008,0.6185
1.98549e-008,0.7665
1.98973e-008,0.8253
1.99397e-008,0.8533
1.99822e-008,0.8328
2.00246e-008,0.8043
2.00670e-008,0.8185
2.01095e-008,0.8499
2.01519e-008,0.8778
2.01943e-008,0.8833
2.02367e-008,0.8840
2.02792e-008,0.8855
2.03216e-008,0.9137
2.03640e-008,0.9613
2.04064e-008,0.9965
2.04488e-008,1.0237
2.04913e-008,1.0306
2.05337e-008,1.0090
2.05761e-008,0.7697
2.06186e-008,0.4008
2.06610e-008,0.0332
2.07034e-008,-0.3198
2.07458e-008,-0.5950
2.07882e-008,-0.7542
2.08307e-008,-0.8194
2.08731e-008,-0.8522
2.09155e-008,-0.8366
