.HEADER
..NAMES
Time,V U1.N22
.DATA
0.0e+000,1.2293
4.59e-011,1.2293
9.18e-011,1.2293
1.378e-010,1.2293
1.837e-010,1.2293
2.296e-010,1.2293
2.755e-010,1.2293
3.215e-010,1.2293
3.674e-010,1.2151
4.133e-010,1.0995
4.592e-010,0.9563
5.052e-010,0.8294
5.511e-010,0.6830
5.970e-010,0.5328
6.430e-010,0.4026
6.889e-010,0.3291
7.348e-010,0.2840
7.807e-010,0.2633
8.266e-010,0.2509
8.726e-010,0.2449
9.185e-010,0.2412
9.644e-010,0.2426
1.0104e-009,0.2520
1.0563e-009,0.2590
1.1022e-009,0.2654
1.1481e-009,0.2631
1.1940e-009,0.2734
1.2400e-009,0.2977
1.2859e-009,0.3196
1.3318e-009,0.3372
1.3778e-009,0.3369
1.4237e-009,0.3337
1.4696e-009,0.3240
1.5155e-009,0.3124
1.5614e-009,0.3057
1.6074e-009,0.3038
1.6533e-009,0.3086
1.6992e-009,0.3139
1.7452e-009,0.3120
1.7911e-009,0.2968
1.8370e-009,0.2719
1.8829e-009,0.2471
1.9288e-009,0.2336
1.9748e-009,0.2314
2.0207e-009,0.2361
2.0666e-009,0.2443
2.1125e-009,0.2513
2.1585e-009,0.2575
2.2044e-009,0.2583
2.2503e-009,0.2684
2.2963e-009,0.4008
2.3422e-009,0.5488
2.3881e-009,0.7055
2.4340e-009,0.8788
2.4800e-009,1.0243
2.5259e-009,1.1164
2.5718e-009,1.1658
2.6177e-009,1.1963
2.6636e-009,1.2117
2.7096e-009,1.2176
2.7555e-009,1.2171
2.8014e-009,1.2149
2.8473e-009,1.2109
2.8933e-009,1.2031
2.9392e-009,1.2014
2.9851e-009,1.1994
3.0311e-009,1.2060
3.0770e-009,1.1956
3.1229e-009,1.1693
3.1688e-009,1.1400
3.2148e-009,1.1125
3.2607e-009,1.1094
3.3066e-009,1.1216
3.3525e-009,1.1479
3.3984e-009,1.1722
3.4444e-009,1.1766
3.4903e-009,1.1657
3.5362e-009,1.1466
3.5821e-009,1.1340
3.6281e-009,1.1403
3.6740e-009,1.1667
3.7199e-009,1.2032
3.7658e-009,1.2349
3.8118e-009,1.2473
3.8577e-009,1.2421
3.9036e-009,1.2272
3.9496e-009,1.2118
3.9955e-009,1.2050
4.0414e-009,1.2054
4.0873e-009,1.2122
4.1333e-009,1.1856
4.1792e-009,1.0436
4.2251e-009,0.9210
4.2710e-009,0.7795
4.3169e-009,0.6362
4.3629e-009,0.4869
4.4088e-009,0.3722
4.4547e-009,0.3040
4.5007e-009,0.2633
4.5466e-009,0.2466
4.5925e-009,0.2447
4.6384e-009,0.2522
4.6843e-009,0.2587
4.7303e-009,0.2644
4.7762e-009,0.2664
4.8221e-009,0.2606
4.8680e-009,0.2550
4.9140e-009,0.2501
4.9599e-009,0.2733
5.0058e-009,0.3061
5.0518e-009,0.3378
5.0977e-009,0.3525
5.1436e-009,0.3465
5.1895e-009,0.3342
5.2354e-009,0.3141
5.2814e-009,0.3008
5.3273e-009,0.2974
5.3732e-009,0.3030
5.4192e-009,0.3142
5.4651e-009,0.3207
5.5110e-009,0.3147
5.5569e-009,0.2935
5.6029e-009,0.2648
5.6488e-009,0.2403
5.6947e-009,0.2292
5.7406e-009,0.2283
5.7865e-009,0.2351
5.8325e-009,0.2446
5.8784e-009,0.2544
5.9243e-009,0.2625
5.9703e-009,0.2636
6.0162e-009,0.2999
6.0621e-009,0.4616
6.1080e-009,0.5888
6.1539e-009,0.7638
6.1999e-009,0.9278
6.2458e-009,1.0592
6.2917e-009,1.1403
6.3376e-009,1.1844
6.3836e-009,1.2096
6.4295e-009,1.2198
6.4754e-009,1.2193
6.5214e-009,1.2140
6.5673e-009,1.2102
6.6132e-009,1.2054
6.6591e-009,1.2015
6.7050e-009,1.2025
6.7510e-009,1.2041
6.7969e-009,1.2091
6.8428e-009,1.1885
6.8888e-009,1.1613
6.9347e-009,1.1285
6.9806e-009,1.1079
7.0265e-009,1.1110
7.0725e-009,1.1282
7.1184e-009,1.1579
7.1643e-009,1.1772
7.2102e-009,1.1766
7.2561e-009,1.1621
7.3021e-009,1.1429
7.3480e-009,1.1346
7.3939e-009,1.1466
7.4399e-009,1.1770
7.4858e-009,1.2139
7.5317e-009,1.2414
7.5776e-009,1.2486
7.6235e-009,1.2406
7.6695e-009,1.2241
7.7154e-009,1.2102
7.7613e-009,1.2044
7.8072e-009,1.2061
7.8532e-009,1.2135
7.8991e-009,1.2211
7.9450e-009,1.2291
7.9910e-009,1.2370
8.0369e-009,1.2429
8.0828e-009,1.2455
8.1287e-009,1.2410
8.1747e-009,1.2317
8.2206e-009,1.2222
8.2665e-009,1.2168
8.3124e-009,1.2198
8.3583e-009,1.2302
8.4043e-009,1.2425
8.4502e-009,1.2499
8.4961e-009,1.2478
8.5420e-009,1.2375
8.5880e-009,1.2251
8.6339e-009,1.2167
8.6798e-009,1.2170
8.7257e-009,1.2246
8.7717e-009,1.2346
8.8176e-009,1.2414
8.8635e-009,1.2417
8.9095e-009,1.2366
8.9554e-009,1.2295
9.0013e-009,1.2242
9.0472e-009,1.2229
9.0932e-009,1.2250
9.1391e-009,1.2289
9.1850e-009,1.2323
9.2309e-009,1.2344
9.2769e-009,1.2351
9.3228e-009,1.2346
9.3687e-009,1.2332
9.4146e-009,1.2309
9.4605e-009,1.2279
9.5065e-009,1.2253
9.5524e-009,1.2246
9.5983e-009,1.2264
9.6442e-009,1.2306
9.6902e-009,1.2350
9.7361e-009,1.2295
9.7820e-009,1.1269
9.8280e-009,0.9733
9.8739e-009,0.8473
9.9198e-009,0.6982
9.9657e-009,0.5515
1.00117e-008,0.4175
1.00576e-008,0.3412
1.01035e-008,0.2946
1.01494e-008,0.2720
1.01954e-008,0.2560
1.02413e-008,0.2457
1.02872e-008,0.2395
1.03331e-008,0.2390
1.03790e-008,0.2490
1.04250e-008,0.2585
1.04709e-008,0.2667
1.05168e-008,0.2660
1.05627e-008,0.2730
1.06087e-008,0.2971
1.06546e-008,0.3182
1.07005e-008,0.3367
1.07464e-008,0.3366
1.07924e-008,0.3325
1.08383e-008,0.3243
1.08842e-008,0.3137
1.09302e-008,0.3084
1.09761e-008,0.3070
1.10220e-008,0.3112
1.10679e-008,0.3157
1.11139e-008,0.3133
1.11598e-008,0.2983
1.12057e-008,0.2736
1.12516e-008,0.2489
1.12975e-008,0.2353
1.13435e-008,0.2338
1.13894e-008,0.2384
1.14353e-008,0.2460
1.14812e-008,0.2516
1.15272e-008,0.2566
1.15731e-008,0.2575
1.16190e-008,0.2543
1.16649e-008,0.2480
1.17109e-008,0.2397
1.17568e-008,0.2339
1.18027e-008,0.2311
1.18487e-008,0.2322
1.18946e-008,0.2362
1.19405e-008,0.2402
1.19864e-008,0.2434
1.20324e-008,0.2445
1.20783e-008,0.2421
1.21242e-008,0.2368
1.21701e-008,0.2311
1.22161e-008,0.2286
1.22620e-008,0.2314
1.23079e-008,0.2374
1.23538e-008,0.2433
1.23997e-008,0.2462
1.24457e-008,0.2449
1.24916e-008,0.2412
1.25375e-008,0.2369
1.25834e-008,0.2345
1.26294e-008,0.2348
1.26753e-008,0.2372
1.27212e-008,0.2406
1.27672e-008,0.2432
1.28131e-008,0.2440
1.28590e-008,0.2429
1.29049e-008,0.2406
1.29509e-008,0.2385
1.29968e-008,0.2373
1.30427e-008,0.2370
1.30886e-008,0.2375
1.31346e-008,0.2387
1.31805e-008,0.2404
1.32264e-008,0.2423
1.32723e-008,0.2435
1.33182e-008,0.2434
1.33642e-008,0.2417
1.34101e-008,0.2393
1.34560e-008,0.2374
1.35019e-008,0.2369
1.35479e-008,0.2381
1.35938e-008,0.2402
1.36397e-008,0.2423
1.36856e-008,0.2434
1.37316e-008,0.2429
1.37775e-008,0.2412
1.38234e-008,0.2393
1.38694e-008,0.2380
1.39153e-008,0.2380
1.39612e-008,0.2392
