.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
8.3640e-009,0.2054
8.3980e-009,0.2069
8.4320e-009,0.1904
8.4660e-009,0.1776
8.5000e-009,0.1711
8.5340e-009,0.1453
8.5680e-009,0.1093
8.6020e-009,0.0783
8.6360e-009,0.0635
8.6700e-009,0.0645
8.7040e-009,0.0794
8.7380e-009,0.1063
8.7720e-009,0.1584
8.8060e-009,0.2248
8.8400e-009,0.2879
8.8740e-009,0.3629
8.9080e-009,0.4354
8.9420e-009,0.5064
8.9760e-009,0.6137
9.0100e-009,0.7249
9.0440e-009,0.8460
9.0780e-009,0.9697
9.1120e-009,1.0700
9.1460e-009,1.1444
9.1800e-009,1.2050
9.2140e-009,1.2373
9.2480e-009,1.2524
9.2820e-009,1.2477
9.3160e-009,1.2341
9.3500e-009,1.2223
9.3840e-009,1.2153
9.4180e-009,1.2072
9.4520e-009,1.2086
9.4860e-009,1.2153
9.5200e-009,1.2269
9.5540e-009,1.2466
9.5880e-009,1.2723
9.6220e-009,1.2919
9.6560e-009,1.3090
9.6900e-009,1.3205
9.7240e-009,1.3227
9.7580e-009,1.3128
9.7920e-009,1.2436
9.8260e-009,1.0879
9.8600e-009,0.9158
9.8940e-009,0.7481
9.9280e-009,0.6026
9.9620e-009,0.4629
9.9960e-009,0.3397
1.00300e-008,0.2470
1.00640e-008,0.2143
1.00980e-008,0.2051
1.01320e-008,0.1949
1.01660e-008,0.1866
1.02000e-008,0.1900
1.02340e-008,0.2041
1.02680e-008,0.2076
1.03020e-008,0.1922
1.03360e-008,0.1764
1.03700e-008,0.1709
1.04040e-008,0.1471
1.04380e-008,0.1117
1.04720e-008,0.0789
1.05060e-008,0.0619
1.05400e-008,0.0610
1.05740e-008,0.0748
1.06080e-008,0.1000
1.06420e-008,0.1493
1.06760e-008,0.2162
1.07100e-008,0.2809
1.07440e-008,0.3557
1.07780e-008,0.4269
1.08120e-008,0.4943
1.08460e-008,0.5977
1.08800e-008,0.7058
1.09140e-008,0.8261
1.09480e-008,0.9500
1.09820e-008,1.0548
1.10160e-008,1.1338
1.10500e-008,1.1968
1.10840e-008,1.2335
1.11180e-008,1.2519
1.11520e-008,1.2493
1.11860e-008,1.2364
1.12200e-008,1.2229
1.12540e-008,1.2152
1.12880e-008,1.2067
1.13220e-008,1.2057
1.13560e-008,1.2117
1.13900e-008,1.2221
1.14240e-008,1.2406
1.14580e-008,1.2665
1.14920e-008,1.2876
1.15260e-008,1.3052
1.15600e-008,1.3190
1.15940e-008,1.3229
1.16280e-008,1.3181
1.16620e-008,1.2653
1.16960e-008,1.1152
1.17300e-008,0.9392
1.17640e-008,0.7723
1.17980e-008,0.6217
1.18320e-008,0.4812
1.18660e-008,0.3551
1.19000e-008,0.2556
1.19340e-008,0.2153
1.19680e-008,0.2063
1.20020e-008,0.1953
1.20360e-008,0.1882
1.20700e-008,0.1884
1.21040e-008,0.2025
1.21380e-008,0.2083
1.21720e-008,0.1948
1.22060e-008,0.1769
1.22400e-008,0.1715
1.22740e-008,0.1501
1.23080e-008,0.1155
1.23420e-008,0.0810
1.23760e-008,0.0616
1.24100e-008,0.0586
1.24440e-008,0.0710
1.24780e-008,0.0945
1.25120e-008,0.1404
1.25460e-008,0.2069
1.25800e-008,0.2740
1.26140e-008,0.3477
1.26480e-008,0.4172
1.26820e-008,0.4836
1.27160e-008,0.5819
1.27500e-008,0.6878
1.27840e-008,0.8075
1.28180e-008,0.9313
1.28520e-008,1.0406
1.28860e-008,1.1236
1.29200e-008,1.1880
1.29540e-008,1.2293
1.29880e-008,1.2504
1.30220e-008,1.2504
1.30560e-008,1.2387
1.30900e-008,1.2241
1.31240e-008,1.2157
1.31580e-008,1.2073
1.31920e-008,1.2041
1.32260e-008,1.2096
1.32600e-008,1.2189
1.32940e-008,1.2359
1.33280e-008,1.2614
1.33620e-008,1.2840
1.33960e-008,1.3018
1.34300e-008,1.3174
1.34640e-008,1.3227
1.34980e-008,1.3217
1.35320e-008,1.2823
1.35660e-008,1.1408
1.36000e-008,0.9634
1.36340e-008,0.7979
1.36680e-008,0.6417
1.37020e-008,0.5010
1.37360e-008,0.3721
1.37700e-008,0.2669
1.38040e-008,0.2179
1.38380e-008,0.2077
1.38720e-008,0.1960
1.39060e-008,0.1897
1.39400e-008,0.1869
1.39740e-008,0.2006
1.40080e-008,0.2084
1.40420e-008,0.1974
1.40760e-008,0.1781
1.41100e-008,0.1721
1.41440e-008,0.1536
1.41780e-008,0.1202
1.42120e-008,0.0843
1.42460e-008,0.0625
1.42800e-008,0.0572
1.43140e-008,0.0677
1.43480e-008,0.0897
1.43820e-008,0.1318
1.44160e-008,0.1971
1.44500e-008,0.2659
1.44840e-008,0.3386
1.45180e-008,0.4072
1.45520e-008,0.4733
1.45860e-008,0.5659
1.46200e-008,0.6706
1.46540e-008,0.7892
1.46880e-008,0.9129
1.47220e-008,1.0265
1.47560e-008,1.1130
1.47900e-008,1.1788
1.48240e-008,1.2249
1.48580e-008,1.2483
1.48920e-008,1.2513
1.49260e-008,1.2409
1.49600e-008,1.2255
1.49940e-008,1.2166
1.50280e-008,1.2084
1.50620e-008,1.2032
1.50960e-008,1.2081
1.51300e-008,1.2165
1.51640e-008,1.2321
1.51980e-008,1.2568
1.52320e-008,1.2805
1.52660e-008,1.2986
1.53000e-008,1.3154
1.53340e-008,1.3222
1.53680e-008,1.3232
1.54020e-008,1.2944
1.54360e-008,1.1644
1.54700e-008,0.9886
1.55040e-008,0.8236
1.55380e-008,0.6620
1.55720e-008,0.5210
1.56060e-008,0.3894
1.56400e-008,0.2796
1.56740e-008,0.2213
1.57080e-008,0.2086
1.57420e-008,0.1971
1.57760e-008,0.1911
1.58100e-008,0.1856
1.58440e-008,0.1984
1.58780e-008,0.2081
1.59120e-008,0.2000
1.59460e-008,0.1800
1.59800e-008,0.1725
1.60140e-008,0.1572
1.60480e-008,0.1252
1.60820e-008,0.0885
1.61160e-008,0.0641
1.61500e-008,0.0565
1.61840e-008,0.0649
1.62180e-008,0.0854
1.62520e-008,0.1237
1.62860e-008,0.1869
1.63200e-008,0.2567
1.63540e-008,0.3278
1.63880e-008,0.3966
1.64220e-008,0.4631
1.64560e-008,0.5495
1.64900e-008,0.6542
1.65240e-008,0.7710
1.65580e-008,0.8938
1.65920e-008,1.0116
1.66260e-008,1.1017
1.66600e-008,1.1691
1.66940e-008,1.2202
1.67280e-008,1.2457
1.67620e-008,1.2519
1.67960e-008,1.2429
1.68300e-008,1.2273
1.68640e-008,1.2175
1.68980e-008,1.2095
1.69320e-008,1.2027
1.69660e-008,1.2070
1.70000e-008,1.2145
1.70340e-008,1.2288
1.70680e-008,1.2525
1.71020e-008,1.2772
1.71360e-008,1.2956
1.71700e-008,1.3133
1.72040e-008,1.3216
1.72380e-008,1.3235
1.72720e-008,1.3013
1.73060e-008,1.1865
1.73400e-008,1.0146
1.73740e-008,0.8487
1.74080e-008,0.6829
1.74420e-008,0.5413
1.74760e-008,0.4067
1.75100e-008,0.2933
1.75440e-008,0.2256
1.75780e-008,0.2093
1.76120e-008,0.1985
1.76460e-008,0.1921
1.76800e-008,0.1848
1.77140e-008,0.1961
1.77480e-008,0.2075
1.77820e-008,0.2023
1.78160e-008,0.1824
1.78500e-008,0.1728
1.78840e-008,0.1606
1.79180e-008,0.1303
1.79520e-008,0.0931
1.79860e-008,0.0662
1.80200e-008,0.0563
1.80540e-008,0.0625
1.80880e-008,0.0815
1.81220e-008,0.1161
1.81560e-008,0.1767
1.81900e-008,0.2465
1.82240e-008,0.3146
1.82580e-008,0.3853
1.82920e-008,0.4538
1.83260e-008,0.5329
1.83600e-008,0.6383
1.83940e-008,0.7528
1.84280e-008,0.8746
1.84620e-008,0.9956
1.84960e-008,1.0896
1.85300e-008,1.1592
1.85640e-008,1.2148
1.85980e-008,1.2426
1.86320e-008,1.2522
1.86660e-008,1.2447
1.87000e-008,1.2292
1.87340e-008,1.2185
1.87680e-008,1.2107
1.88020e-008,1.2027
1.88360e-008,1.2060
1.88700e-008,1.2128
1.89040e-008,1.2259
1.89380e-008,1.2483
1.89720e-008,1.2738
1.90060e-008,1.2927
1.90400e-008,1.3108
1.90740e-008,1.3208
1.91080e-008,1.3234
1.91420e-008,1.3061
1.91760e-008,1.2075
1.92100e-008,1.0412
1.92440e-008,0.8725
1.92780e-008,0.7044
1.93120e-008,0.5617
1.93460e-008,0.4244
1.93800e-008,0.3074
1.94140e-008,0.2305
1.94480e-008,0.2098
1.94820e-008,0.2002
1.95160e-008,0.1930
1.95500e-008,0.1848
1.95840e-008,0.1937
1.96180e-008,0.2064
