.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
1.00123e-008,-0.8980
1.00547e-008,-0.8934
1.00971e-008,-0.9081
1.01396e-008,-0.9626
1.01820e-008,-1.0153
1.02244e-008,-1.0327
1.02668e-008,-0.9127
1.03093e-008,-0.5369
1.03517e-008,-0.1585
1.03941e-008,0.2413
1.04366e-008,0.5450
1.04790e-008,0.7511
1.05214e-008,0.8747
1.05638e-008,0.9021
1.06063e-008,0.8943
1.06487e-008,0.8538
1.06911e-008,0.8018
1.07335e-008,0.8009
1.07759e-008,0.8361
1.08184e-008,0.8858
1.08608e-008,0.9092
1.09032e-008,0.9091
1.09456e-008,0.8992
1.09881e-008,0.8944
1.10305e-008,0.9065
1.10729e-008,0.9583
1.11154e-008,1.0130
1.11578e-008,1.0343
1.12002e-008,0.9464
1.12426e-008,0.5795
1.12851e-008,0.1975
1.13275e-008,-0.2051
1.13699e-008,-0.5166
1.14123e-008,-0.7330
1.14548e-008,-0.8655
1.14972e-008,-0.8999
1.15396e-008,-0.8937
1.15820e-008,-0.8574
1.16244e-008,-0.8038
1.16669e-008,-0.7947
1.17093e-008,-0.8282
1.17517e-008,-0.8800
1.17941e-008,-0.9072
1.18366e-008,-0.9086
1.18790e-008,-0.8998
1.19214e-008,-0.8938
1.19639e-008,-0.9021
1.20063e-008,-0.9502
1.20487e-008,-1.0077
1.20911e-008,-1.0333
1.21336e-008,-0.9728
1.21760e-008,-0.6186
1.22184e-008,-0.2310
1.22608e-008,0.1717
1.23032e-008,0.4913
1.23457e-008,0.7181
1.23881e-008,0.8597
1.24305e-008,0.9017
1.24729e-008,0.8975
1.25154e-008,0.8641
1.25578e-008,0.8096
1.26002e-008,0.7966
1.26427e-008,0.8278
1.26851e-008,0.8765
1.27275e-008,0.9073
1.27699e-008,0.9101
1.28124e-008,0.9011
1.28548e-008,0.8946
1.28972e-008,0.9012
1.29396e-008,0.9459
1.29821e-008,1.0047
1.30245e-008,1.0327
1.30669e-008,0.9952
1.31093e-008,0.6628
1.31517e-008,0.2687
1.31942e-008,-0.1320
1.32366e-008,-0.4609
1.32790e-008,-0.6986
1.33214e-008,-0.8489
1.33639e-008,-0.8993
1.34063e-008,-0.8965
1.34487e-008,-0.8673
1.34912e-008,-0.8128
1.35336e-008,-0.7916
1.35760e-008,-0.8200
1.36184e-008,-0.8701
1.36609e-008,-0.9051
1.37033e-008,-0.9093
1.37457e-008,-0.9018
1.37881e-008,-0.8944
1.38306e-008,-0.8978
1.38730e-008,-0.9382
1.39154e-008,-0.9985
1.39578e-008,-1.0306
1.40002e-008,-1.0098
1.40427e-008,-0.7019
1.40851e-008,-0.3024
1.41275e-008,0.0949
1.41699e-008,0.4339
1.42124e-008,0.6814
1.42548e-008,0.8403
1.42972e-008,0.9004
1.43397e-008,0.8996
1.43821e-008,0.8736
1.44245e-008,0.8191
1.44669e-008,0.7938
1.45094e-008,0.8202
1.45518e-008,0.8664
1.45942e-008,0.9045
1.46366e-008,0.9106
1.46790e-008,0.9032
1.47215e-008,0.8952
1.47639e-008,0.8976
1.48063e-008,0.9341
1.48487e-008,0.9949
1.48912e-008,1.0296
1.49336e-008,1.0188
1.49760e-008,0.7422
1.50185e-008,0.3399
1.50609e-008,-0.0531
1.51033e-008,-0.4021
1.51457e-008,-0.6601
1.51881e-008,-0.8267
1.52306e-008,-0.8972
1.52730e-008,-0.8981
1.53154e-008,-0.8763
1.53579e-008,-0.8232
1.54003e-008,-0.7903
1.54427e-008,-0.8126
1.54851e-008,-0.8594
1.55276e-008,-0.9017
1.55700e-008,-0.9097
1.56124e-008,-0.9039
1.56548e-008,-0.8953
1.56972e-008,-0.8952
1.57397e-008,-0.9270
1.57821e-008,-0.9880
1.58245e-008,-1.0270
1.58670e-008,-1.0215
1.59094e-008,-0.7749
1.59518e-008,-0.3728
1.59942e-008,0.0150
1.60366e-008,0.3742
1.60791e-008,0.6415
1.61215e-008,0.8149
1.61639e-008,0.8964
1.62064e-008,0.9005
1.62488e-008,0.8818
1.62912e-008,0.8297
1.63336e-008,0.7934
1.63761e-008,0.8134
1.64185e-008,0.8563
1.64609e-008,0.9001
1.65033e-008,0.9106
1.65457e-008,0.9053
1.65882e-008,0.8961
1.66306e-008,0.8955
1.66730e-008,0.9238
1.67155e-008,0.9840
1.67579e-008,1.0254
1.68003e-008,1.0252
1.68427e-008,0.8097
1.68851e-008,0.4117
1.69276e-008,0.0288
1.69700e-008,-0.3414
1.70124e-008,-0.6186
1.70548e-008,-0.7988
1.70973e-008,-0.8912
1.71397e-008,-0.8988
1.71821e-008,-0.8836
1.72246e-008,-0.8344
1.72670e-008,-0.7919
1.73094e-008,-0.8062
1.73518e-008,-0.8490
1.73942e-008,-0.8965
1.74367e-008,-0.9094
1.74791e-008,-0.9058
1.75215e-008,-0.8966
1.75640e-008,-0.8941
1.76064e-008,-0.9176
1.76488e-008,-0.9766
1.76912e-008,-1.0222
1.77336e-008,-1.0277
1.77761e-008,-0.8405
1.78185e-008,-0.4482
1.78609e-008,-0.0694
1.79033e-008,0.3122
1.79458e-008,0.5981
1.79882e-008,0.7853
1.80306e-008,0.8880
1.80731e-008,0.9011
1.81155e-008,0.8887
1.81579e-008,0.8412
1.82003e-008,0.7957
1.82427e-008,0.8070
1.82852e-008,0.8464
1.83276e-008,0.8941
1.83700e-008,0.9101
1.84125e-008,0.9072
1.84549e-008,0.8973
1.84973e-008,0.8945
1.85397e-008,0.9147
1.85822e-008,0.9721
1.86246e-008,1.0202
1.86670e-008,1.0309
1.87094e-008,0.8735
1.87518e-008,0.4889
1.87943e-008,0.1121
1.88367e-008,-0.2789
1.88791e-008,-0.5734
1.89216e-008,-0.7685
1.89640e-008,-0.8808
1.90064e-008,-0.8997
1.90488e-008,-0.8894
1.90912e-008,-0.8457
1.91337e-008,-0.7963
1.91761e-008,-0.8003
1.92185e-008,-0.8389
1.92610e-008,-0.8897
1.93034e-008,-0.9087
1.93458e-008,-0.9074
1.93882e-008,-0.8981
1.94307e-008,-0.8937
1.94731e-008,-0.9094
1.95155e-008,-0.9644
1.95579e-008,-1.0162
1.96003e-008,-1.0326
1.96428e-008,-0.9042
1.96852e-008,-0.5270
1.97276e-008,-0.1496
1.97701e-008,0.2488
1.98125e-008,0.5505
1.98549e-008,0.7545
1.98973e-008,0.8758
1.99397e-008,0.9017
1.99822e-008,0.8936
2.00246e-008,0.8522
2.00670e-008,0.8009
2.01095e-008,0.8015
2.01519e-008,0.8371
2.01943e-008,0.8864
2.02367e-008,0.9090
2.02792e-008,0.9087
2.03216e-008,0.8989
2.03640e-008,0.8942
2.04064e-008,0.9073
2.04488e-008,0.9597
2.04913e-008,1.0136
2.05337e-008,1.0340
2.05761e-008,0.9374
2.06186e-008,0.5689
2.06610e-008,0.1885
2.07034e-008,-0.2137
2.07458e-008,-0.5232
2.07882e-008,-0.7373
2.08307e-008,-0.8673
2.08731e-008,-0.9000
2.09155e-008,-0.8935
2.09580e-008,-0.8562
2.10004e-008,-0.8032
2.10428e-008,-0.7956
2.10852e-008,-0.8296
2.11277e-008,-0.8812
2.11701e-008,-0.9075
2.12125e-008,-0.9086
2.12549e-008,-0.8998
2.12973e-008,-0.8940
2.13398e-008,-0.9031
2.13822e-008,-0.9520
2.14246e-008,-1.0087
2.14671e-008,-1.0337
2.15095e-008,-0.9653
2.15519e-008,-0.6083
2.15943e-008,-0.2225
2.16367e-008,0.1801
2.16792e-008,0.4975
2.17216e-008,0.7220
2.17640e-008,0.8611
2.18064e-008,0.9014
2.18489e-008,0.8969
2.18913e-008,0.8625
2.19337e-008,0.8084
2.19762e-008,0.7971
2.20186e-008,0.8287
2.20610e-008,0.8775
2.21034e-008,0.9073
2.21458e-008,0.9097
2.21883e-008,0.9008
2.22307e-008,0.8945
2.22731e-008,0.9017
2.23156e-008,0.9473
2.23580e-008,1.0055
2.24004e-008,1.0327
2.24428e-008,0.9884
2.24852e-008,0.6518
2.25277e-008,0.2595
2.25701e-008,-0.1415
2.26125e-008,-0.4679
2.26549e-008,-0.7032
2.26974e-008,-0.8511
2.27398e-008,-0.8995
2.27822e-008,-0.8963
2.28247e-008,-0.8662
2.28671e-008,-0.8119
2.29095e-008,-0.7923
2.29519e-008,-0.8213
2.29943e-008,-0.8714
2.30368e-008,-0.9054
2.30792e-008,-0.9093
2.31216e-008,-0.9018
2.31641e-008,-0.8946
2.32065e-008,-0.8986
2.32489e-008,-0.9399
2.32913e-008,-0.9998
2.33338e-008,-1.0310
2.33762e-008,-1.0044
2.34186e-008,-0.6918
2.34610e-008,-0.2938
2.35034e-008,0.1041
2.35459e-008,0.4405
2.35883e-008,0.6857
2.36307e-008,0.8425
2.36732e-008,0.9002
2.37156e-008,0.8991
2.37580e-008,0.8722
2.38004e-008,0.8177
2.38428e-008,0.7941
2.38853e-008,0.8211
2.39277e-008,0.8675
2.39701e-008,0.9046
2.40126e-008,0.9103
2.40550e-008,0.9028
2.40974e-008,0.8950
2.41398e-008,0.8979
2.41823e-008,0.9355
2.42247e-008,0.9959
2.42671e-008,1.0297
2.43095e-008,1.0142
2.43519e-008,0.7322
2.43944e-008,0.3307
2.44368e-008,-0.0630
2.44792e-008,-0.4094
2.45217e-008,-0.6649
2.45641e-008,-0.8297
2.46065e-008,-0.8976
2.46489e-008,-0.8980
2.46913e-008,-0.8753
2.47338e-008,-0.8221
2.47762e-008,-0.7907
2.48186e-008,-0.8138
2.48611e-008,-0.8609
2.49035e-008,-0.9022
2.49459e-008,-0.9097
2.49883e-008,-0.9038
2.50308e-008,-0.8954
2.50732e-008,-0.8958
2.51156e-008,-0.9286
2.51580e-008,-0.9895
2.52004e-008,-1.0275
2.52429e-008,-1.0210
2.52853e-008,-0.7676
2.53277e-008,-0.3652
2.53702e-008,0.0237
2.54126e-008,0.3806
2.54550e-008,0.6458
2.54974e-008,0.8178
2.55398e-008,0.8968
2.55823e-008,0.9002
2.56247e-008,0.8809
2.56671e-008,0.8284
2.57096e-008,0.7932
2.57520e-008,0.8140
2.57944e-008,0.8573
2.58368e-008,0.9005
2.58793e-008,0.9105
2.59217e-008,0.9049
2.59641e-008,0.8958
2.60065e-008,0.8956
2.60489e-008,0.9247
2.60914e-008,0.9851
2.61338e-008,1.0258
2.61762e-008,1.0246
2.62187e-008,0.8028
2.62611e-008,0.4035
2.63035e-008,0.0193
2.63459e-008,-0.3485
2.63883e-008,-0.6236
2.64308e-008,-0.8023
2.64732e-008,-0.8923
2.65156e-008,-0.8988
2.65580e-008,-0.8831
2.66005e-008,-0.8333
2.66429e-008,-0.7917
2.66853e-008,-0.8070
2.67278e-008,-0.8503
2.67702e-008,-0.8973
2.68126e-008,-0.9096
2.68550e-008,-0.9057
2.68974e-008,-0.8965
2.69399e-008,-0.8943
2.69823e-008,-0.9187
2.70247e-008,-0.9780
2.70672e-008,-1.0229
2.71096e-008,-1.0273
2.71520e-008,-0.8340
2.71944e-008,-0.4400
2.72368e-008,-0.0606
2.72793e-008,0.3188
2.73217e-008,0.6029
2.73641e-008,0.7885
2.74065e-008,0.8890
2.74490e-008,0.9009
2.74914e-008,0.8879
2.75338e-008,0.8398
2.75763e-008,0.7951
2.76187e-008,0.8076
2.76611e-008,0.8473
2.77035e-008,0.8947
2.77459e-008,0.9101
2.77884e-008,0.9069
2.78308e-008,0.8970
2.78732e-008,0.8944
2.79157e-008,0.9154
2.79581e-008,0.9733
2.80005e-008,1.0207
2.80429e-008,1.0303
2.80854e-008,0.8667
2.81278e-008,0.4803
2.81702e-008,0.1032
2.82126e-008,-0.2861
2.82550e-008,-0.5788
2.82975e-008,-0.7721
2.83399e-008,-0.8823
2.83823e-008,-0.8997
2.84248e-008,-0.8891
2.84672e-008,-0.8446
2.85096e-008,-0.7957
2.85520e-008,-0.8010
2.85944e-008,-0.8400
2.86369e-008,-0.8907
2.86793e-008,-0.9090
2.87217e-008,-0.9074
2.87642e-008,-0.8980
2.88066e-008,-0.8938
2.88490e-008,-0.9103
2.88914e-008,-0.9658
2.89339e-008,-1.0171
2.89763e-008,-1.0324
2.90187e-008,-0.8977
2.90611e-008,-0.5186
2.91035e-008,-0.1416
2.91460e-008,0.2558
2.91884e-008,0.5558
2.92308e-008,0.7577
2.92733e-008,0.8772
2.93157e-008,0.9016
2.93581e-008,0.8931
2.94005e-008,0.8509
2.94429e-008,0.8001
2.94854e-008,0.8019
2.95278e-008,0.8379
2.95702e-008,0.8873
2.96127e-008,0.9091
2.96551e-008,0.9084
2.96975e-008,0.8986
2.97399e-008,0.8941
2.97824e-008,0.9078
2.98248e-008,0.9609
2.98672e-008,1.0143
2.99096e-008,1.0339
2.99521e-008,0.9305
2.99945e-008,0.5600
3.00369e-008,0.1806
3.00793e-008,-0.2214
3.01218e-008,-0.5292
3.01642e-008,-0.7410
3.02066e-008,-0.8691
3.02490e-008,-0.9002
3.02914e-008,-0.8933
3.03339e-008,-0.8553
3.03763e-008,-0.8024
3.04187e-008,-0.7961
3.04612e-008,-0.8306
3.05036e-008,-0.8824
3.05460e-008,-0.9078
3.05884e-008,-0.9086
3.06309e-008,-0.8997
3.06733e-008,-0.8940
3.07157e-008,-0.9037
3.07581e-008,-0.9534
3.08005e-008,-1.0098
3.08430e-008,-1.0340
3.08854e-008,-0.9599
3.09278e-008,-0.5995
3.09702e-008,-0.2149
3.10127e-008,0.1879
3.10551e-008,0.5034
3.10975e-008,0.7255
3.11400e-008,0.8627
3.11824e-008,0.9014
3.12248e-008,0.8965
3.12672e-008,0.8614
3.13096e-008,0.8074
3.13521e-008,0.7974
3.13945e-008,0.8294
3.14369e-008,0.8784
3.14793e-008,0.9075
3.15218e-008,0.9096
3.15642e-008,0.9004
3.16066e-008,0.8943
3.16491e-008,0.9021
3.16915e-008,0.9485
3.17339e-008,1.0064
3.17763e-008,1.0329
3.18188e-008,0.9843
3.18612e-008,0.6425
3.19036e-008,0.2517
3.19460e-008,-0.1500
3.19884e-008,-0.4743
3.20309e-008,-0.7072
3.20733e-008,-0.8533
3.21157e-008,-0.8997
3.21582e-008,-0.8962
3.22006e-008,-0.8653
3.22430e-008,-0.8109
3.22854e-008,-0.7926
3.23279e-008,-0.8222
3.23703e-008,-0.8727
3.24127e-008,-0.9058
3.24551e-008,-0.9094
3.24975e-008,-0.9017
3.25400e-008,-0.8946
3.25824e-008,-0.8990
3.26248e-008,-0.9412
3.26672e-008,-1.0010
3.27097e-008,-1.0315
3.27521e-008,-1.0020
3.27945e-008,-0.6833
3.28370e-008,-0.2862
3.28794e-008,0.1125
3.29218e-008,0.4467
3.29642e-008,0.6897
3.30066e-008,0.8447
3.30491e-008,0.9003
3.30915e-008,0.8989
3.31339e-008,0.8712
3.31763e-008,0.8165
3.32188e-008,0.7942
3.32612e-008,0.8218
3.33036e-008,0.8686
3.33461e-008,0.9049
3.33885e-008,0.9102
3.34309e-008,0.9025
3.34733e-008,0.8948
3.35158e-008,0.8981
3.35582e-008,0.9366
3.36006e-008,0.9970
3.36430e-008,1.0300
3.36854e-008,1.0133
3.37279e-008,0.7240
3.37703e-008,0.3229
3.38127e-008,-0.0718
3.38552e-008,-0.4161
3.38976e-008,-0.6694
3.39400e-008,-0.8325
3.39824e-008,-0.8981
3.40249e-008,-0.8980
3.40673e-008,-0.8745
3.41097e-008,-0.8210
3.41521e-008,-0.7908
3.41945e-008,-0.8146
3.42370e-008,-0.8621
3.42794e-008,-0.9027
3.43218e-008,-0.9098
3.43643e-008,-0.9037
3.44067e-008,-0.8954
3.44491e-008,-0.8960
3.44915e-008,-0.9299
3.45340e-008,-0.9908
3.45764e-008,-1.0280
3.46188e-008,-1.0205
