.HEADER
..NAMES
Time,V U1.M26
.DATA
0.0e+000,1.2617
4.24e-011,1.2617
8.49e-011,1.2617
1.273e-010,1.2617
1.697e-010,1.2617
2.121e-010,1.2617
2.545e-010,1.2617
2.970e-010,1.2617
3.394e-010,1.2617
3.818e-010,1.2617
4.242e-010,1.2617
4.667e-010,1.2617
5.091e-010,1.2617
5.515e-010,1.2617
5.940e-010,1.2617
6.364e-010,1.2617
6.788e-010,1.2617
7.212e-010,1.2617
7.636e-010,1.2617
8.061e-010,1.2617
8.485e-010,1.2609
8.909e-010,1.2011
9.333e-010,0.9909
9.758e-010,0.7987
1.0182e-009,0.5995
1.0606e-009,0.4319
1.1030e-009,0.3375
1.1455e-009,0.2909
1.1879e-009,0.2830
1.2303e-009,0.2997
1.2728e-009,0.3058
1.3152e-009,0.2986
1.3576e-009,0.2941
1.4000e-009,0.2691
1.4425e-009,0.2524
1.4849e-009,0.2830
1.5273e-009,0.2965
1.5697e-009,0.2961
1.6121e-009,0.2951
1.6546e-009,0.2709
1.6970e-009,0.2276
1.7394e-009,0.2059
1.7819e-009,0.1964
1.8243e-009,0.2285
1.8667e-009,0.4126
1.9091e-009,0.6053
1.9516e-009,0.8305
1.9940e-009,1.0063
2.0364e-009,1.1011
2.0788e-009,1.1544
2.1213e-009,1.1702
2.1637e-009,1.1589
2.2061e-009,1.1547
2.2485e-009,1.1709
2.2910e-009,1.1773
2.3334e-009,1.1990
2.3758e-009,1.2182
2.4182e-009,1.1937
2.4606e-009,1.1772
2.5031e-009,1.1699
2.5455e-009,1.1725
2.5879e-009,1.1984
2.6303e-009,1.2386
2.6728e-009,1.2608
2.7152e-009,1.2753
2.7576e-009,1.2275
2.8000e-009,0.9886
2.8425e-009,0.7696
2.8849e-009,0.5710
2.9273e-009,0.4056
2.9698e-009,0.3226
3.0122e-009,0.2881
3.0546e-009,0.2850
3.0970e-009,0.3079
3.1395e-009,0.3170
3.1819e-009,0.2975
3.2243e-009,0.2896
3.2667e-009,0.2667
3.3092e-009,0.2477
3.3516e-009,0.2863
3.3940e-009,0.3084
3.4364e-009,0.3022
3.4789e-009,0.2957
3.5213e-009,0.2687
3.5637e-009,0.2208
3.6061e-009,0.1999
3.6485e-009,0.1942
3.6910e-009,0.2068
3.7334e-009,0.3754
3.7758e-009,0.5729
3.8183e-009,0.7859
3.8607e-009,0.9772
3.9031e-009,1.0836
3.9455e-009,1.1418
3.9879e-009,1.1663
4.0304e-009,1.1613
4.0728e-009,1.1543
4.1152e-009,1.1718
4.1577e-009,1.1774
4.2001e-009,1.1923
4.2425e-009,1.2167
4.2849e-009,1.1974
4.3274e-009,1.1781
4.3698e-009,1.1723
4.4122e-009,1.1719
4.4546e-009,1.1921
4.4970e-009,1.2325
4.5395e-009,1.2573
4.5819e-009,1.2720
4.6243e-009,1.2765
4.6668e-009,1.2615
4.7092e-009,1.2548
4.7516e-009,1.2507
4.7940e-009,1.2445
4.8364e-009,1.2497
4.8789e-009,1.2599
4.9213e-009,1.2627
4.9637e-009,1.2677
5.0062e-009,1.2706
5.0486e-009,1.2617
5.0910e-009,1.2584
5.1334e-009,1.2598
5.1758e-009,1.2605
5.2183e-009,1.2653
5.2607e-009,1.2683
5.3031e-009,1.2654
5.3456e-009,1.2638
5.3880e-009,1.2612
5.4304e-009,1.2572
5.4728e-009,1.2591
5.5153e-009,1.2604
5.5577e-009,1.2599
5.6001e-009,1.2628
5.6425e-009,1.2645
5.6849e-009,1.2631
5.7274e-009,1.2631
5.7698e-009,1.2620
5.8122e-009,1.2596
5.8547e-009,1.2604
5.8971e-009,1.2615
5.9395e-009,1.2619
5.9819e-009,1.2631
6.0243e-009,1.2625
6.0668e-009,1.2614
6.1092e-009,1.2617
6.1516e-009,1.2614
6.1941e-009,1.2610
6.2365e-009,1.2621
6.2789e-009,1.2621
6.3213e-009,1.2617
6.3637e-009,1.2624
6.4062e-009,1.2623
6.4486e-009,1.2616
6.4910e-009,1.2524
6.5335e-009,1.1248
6.5759e-009,0.9038
6.6183e-009,0.7178
6.6607e-009,0.5249
6.7032e-009,0.3850
6.7456e-009,0.3138
6.7880e-009,0.2835
6.8304e-009,0.2881
6.8728e-009,0.3060
6.9153e-009,0.3028
6.9577e-009,0.2978
7.0001e-009,0.2870
7.0426e-009,0.2566
7.0850e-009,0.2626
7.1274e-009,0.2927
7.1698e-009,0.2964
7.2122e-009,0.2963
7.2547e-009,0.2894
7.2971e-009,0.2527
7.3395e-009,0.2155
7.3820e-009,0.2020
7.4244e-009,0.1948
7.4668e-009,0.2031
7.5092e-009,0.2131
7.5516e-009,0.2196
7.5941e-009,0.2297
7.6365e-009,0.2305
7.6789e-009,0.2201
7.7213e-009,0.2154
7.7638e-009,0.2118
7.8062e-009,0.2049
7.8486e-009,0.2118
7.8910e-009,0.2203
7.9335e-009,0.2177
7.9759e-009,0.2165
8.0183e-009,0.2152
8.0608e-009,0.2110
8.1032e-009,0.2108
8.1456e-009,0.2135
8.1880e-009,0.2156
8.2305e-009,0.2194
8.2729e-009,0.2193
8.3153e-009,0.2177
8.3577e-009,0.2192
8.4001e-009,0.2171
8.4426e-009,0.2135
8.4850e-009,0.2144
8.5274e-009,0.2152
8.5698e-009,0.2150
8.6123e-009,0.2177
8.6547e-009,0.2186
8.6971e-009,0.2168
8.7396e-009,0.2162
8.7820e-009,0.2157
8.8244e-009,0.2155
8.8668e-009,0.2163
8.9093e-009,0.2164
8.9517e-009,0.2165
8.9941e-009,0.2173
9.0365e-009,0.2164
9.0790e-009,0.2159
9.1214e-009,0.2167
9.1638e-009,0.2160
9.2062e-009,0.2155
9.2486e-009,0.2163
9.2911e-009,0.2166
9.3335e-009,0.2165
9.3759e-009,0.2169
9.4183e-009,0.2166
9.4608e-009,0.2161
9.5032e-009,0.2162
9.5456e-009,0.2161
9.5881e-009,0.2163
9.6305e-009,0.2166
9.6729e-009,0.2163
9.7153e-009,0.2164
9.7578e-009,0.2166
9.8002e-009,0.2163
9.8426e-009,0.2162
9.8850e-009,0.2165
9.9274e-009,0.2163
9.9699e-009,0.2162
1.00123e-008,0.2165
1.00547e-008,0.2165
1.00971e-008,0.2164
1.01396e-008,0.2164
1.01820e-008,0.2163
1.02244e-008,0.2163
1.02668e-008,0.2164
1.03093e-008,0.2164
