.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
1.03941e-008,0.3006
1.04366e-008,0.2985
1.04790e-008,0.2791
1.05214e-008,0.2491
1.05638e-008,0.2303
1.06063e-008,0.2207
1.06487e-008,0.2195
1.06911e-008,0.2258
1.07335e-008,0.3328
1.07759e-008,0.4950
1.08184e-008,0.6758
1.08608e-008,0.8590
1.09032e-008,0.9989
1.09456e-008,1.0797
1.09881e-008,1.1211
1.10305e-008,1.1491
1.10729e-008,1.1513
1.11154e-008,1.1404
1.11578e-008,1.1426
1.12002e-008,1.1520
1.12426e-008,1.1660
1.12851e-008,1.1754
1.13275e-008,1.1813
1.13699e-008,1.1832
1.14123e-008,1.1928
1.14548e-008,1.2121
1.14972e-008,1.2279
1.15396e-008,1.2441
1.15820e-008,1.2494
1.16244e-008,1.2346
1.16669e-008,1.1082
1.17093e-008,0.9020
1.17517e-008,0.7159
1.17941e-008,0.5452
1.18366e-008,0.4075
1.18790e-008,0.3264
1.19214e-008,0.3002
1.19639e-008,0.2939
1.20063e-008,0.3084
1.20487e-008,0.3333
1.20911e-008,0.3309
1.21336e-008,0.3109
1.21760e-008,0.2971
1.22184e-008,0.2977
1.22608e-008,0.3006
1.23032e-008,0.2996
1.23457e-008,0.2847
1.23881e-008,0.2542
1.24305e-008,0.2331
1.24729e-008,0.2218
1.25154e-008,0.2192
1.25578e-008,0.2245
1.26002e-008,0.3063
1.26427e-008,0.4637
1.26851e-008,0.6331
1.27275e-008,0.8273
1.27699e-008,0.9761
1.28124e-008,1.0678
1.28548e-008,1.1137
1.28972e-008,1.1452
1.29396e-008,1.1528
1.29821e-008,1.1419
1.30245e-008,1.1412
1.30669e-008,1.1496
1.31093e-008,1.1633
1.31517e-008,1.1739
1.31942e-008,1.1803
1.32366e-008,1.1830
1.32790e-008,1.1895
1.33214e-008,1.2086
1.33639e-008,1.2246
1.34063e-008,1.2415
1.34487e-008,1.2494
1.34912e-008,1.2417
1.35336e-008,1.1429
1.35760e-008,0.9402
1.36184e-008,0.7557
1.36609e-008,0.5749
1.37033e-008,0.4308
1.37457e-008,0.3372
1.37881e-008,0.3037
1.38306e-008,0.2936
1.38730e-008,0.3040
1.39154e-008,0.3295
1.39578e-008,0.3338
1.40002e-008,0.3149
1.40427e-008,0.2986
1.40851e-008,0.2969
1.41275e-008,0.3004
1.41699e-008,0.3001
1.42124e-008,0.2896
1.42548e-008,0.2599
1.42972e-008,0.2363
1.43397e-008,0.2233
1.43821e-008,0.2192
1.44245e-008,0.2227
1.44669e-008,0.2808
1.45094e-008,0.4318
1.45518e-008,0.5940
1.45942e-008,0.7948
1.46366e-008,0.9503
1.46790e-008,1.0550
1.47215e-008,1.1059
1.47639e-008,1.1403
1.48063e-008,1.1535
1.48487e-008,1.1440
1.48912e-008,1.1402
1.49336e-008,1.1475
1.49760e-008,1.1606
1.50185e-008,1.1723
1.50609e-008,1.1792
1.51033e-008,1.1828
1.51457e-008,1.1868
1.51881e-008,1.2049
1.52306e-008,1.2215
1.52730e-008,1.2384
1.53154e-008,1.2489
1.53579e-008,1.2468
1.54003e-008,1.1777
1.54427e-008,0.9805
1.54851e-008,0.7938
1.55276e-008,0.6052
1.55700e-008,0.4565
1.56124e-008,0.3495
1.56548e-008,0.3072
1.56972e-008,0.2944
1.57397e-008,0.3003
1.57821e-008,0.3248
1.58245e-008,0.3356
1.58670e-008,0.3190
1.59094e-008,0.3007
1.59518e-008,0.2963
1.59942e-008,0.3000
1.60366e-008,0.3003
1.60791e-008,0.2935
1.61215e-008,0.2660
1.61639e-008,0.2399
1.62064e-008,0.2252
1.62488e-008,0.2193
1.62912e-008,0.2206
1.63336e-008,0.2545
1.63761e-008,0.3996
1.64185e-008,0.5609
1.64609e-008,0.7599
1.65033e-008,0.9220
1.65457e-008,1.0402
1.65882e-008,1.0983
1.66306e-008,1.1344
1.66730e-008,1.1533
1.67155e-008,1.1463
1.67579e-008,1.1397
1.68003e-008,1.1457
1.68427e-008,1.1577
1.68851e-008,1.1705
1.69276e-008,1.1780
1.69700e-008,1.1826
1.70124e-008,1.1849
1.70548e-008,1.2009
1.70973e-008,1.2185
1.71397e-008,1.2350
1.71821e-008,1.2479
1.72246e-008,1.2483
1.72670e-008,1.2077
1.73094e-008,1.0228
