.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
1.00123e-008,-0.8671
1.00547e-008,-0.8890
1.00971e-008,-0.9149
1.01396e-008,-0.9852
1.01820e-008,-1.0278
1.02244e-008,-1.0149
1.02668e-008,-0.7418
1.03093e-008,-0.2612
1.03517e-008,0.1009
1.03941e-008,0.4428
1.04366e-008,0.6617
1.04790e-008,0.7549
1.05214e-008,0.8266
1.05638e-008,0.8607
1.06063e-008,0.8945
1.06487e-008,0.9208
1.06911e-008,0.9301
1.07335e-008,0.9257
1.07759e-008,0.9029
1.08184e-008,0.8918
1.08608e-008,0.8927
1.09032e-008,0.8669
1.09456e-008,0.8663
1.09881e-008,0.8893
1.10305e-008,0.9119
1.10729e-008,0.9799
1.11154e-008,1.0282
1.11578e-008,1.0217
1.12002e-008,0.7871
1.12426e-008,0.3058
1.12851e-008,-0.0585
1.13275e-008,-0.4134
1.13699e-008,-0.6433
1.14123e-008,-0.7444
1.14548e-008,-0.8174
1.14972e-008,-0.8557
1.15396e-008,-0.8891
1.15820e-008,-0.9163
1.16244e-008,-0.9284
1.16669e-008,-0.9246
1.17093e-008,-0.9043
1.17517e-008,-0.8895
1.17941e-008,-0.8922
1.18366e-008,-0.8677
1.18790e-008,-0.8629
1.19214e-008,-0.8861
1.19639e-008,-0.9059
1.20063e-008,-0.9711
1.20487e-008,-1.0240
1.20911e-008,-1.0244
1.21336e-008,-0.8277
1.21760e-008,-0.3471
1.22184e-008,0.0249
1.22608e-008,0.3892
1.23032e-008,0.6291
1.23457e-008,0.7399
1.23881e-008,0.8127
1.24305e-008,0.8561
1.24729e-008,0.8884
1.25154e-008,0.9156
1.25578e-008,0.9304
1.26002e-008,0.9273
1.26427e-008,0.9090
1.26851e-008,0.8906
1.27275e-008,0.8948
1.27699e-008,0.8721
1.28124e-008,0.8625
1.28548e-008,0.8859
1.28972e-008,0.9040
1.29396e-008,0.9652
1.29821e-008,1.0230
1.30245e-008,1.0298
1.30669e-008,0.8707
1.31093e-008,0.3955
1.31517e-008,0.0135
1.31942e-008,-0.3576
1.32366e-008,-0.6075
1.32790e-008,-0.7304
1.33214e-008,-0.8036
1.33639e-008,-0.8517
1.34063e-008,-0.8826
1.34487e-008,-0.9109
1.34912e-008,-0.9286
1.35336e-008,-0.9260
1.35760e-008,-0.9104
1.36184e-008,-0.8890
1.36609e-008,-0.8938
1.37033e-008,-0.8733
1.37457e-008,-0.8600
1.37881e-008,-0.8825
1.38306e-008,-0.8994
1.38730e-008,-0.9563
1.39154e-008,-1.0180
1.39578e-008,-1.0302
1.40002e-008,-0.9091
1.40427e-008,-0.4408
1.40851e-008,-0.0436
1.41275e-008,0.3299
1.41699e-008,0.5897
1.42124e-008,0.7260
1.42548e-008,0.7993
1.42972e-008,0.8518
1.43397e-008,0.8814
1.43821e-008,0.9101
1.44245e-008,0.9300
1.44669e-008,0.9284
1.45094e-008,0.9148
1.45518e-008,0.8907
1.45942e-008,0.8955
1.46366e-008,0.8779
1.46790e-008,0.8604
1.47215e-008,0.8816
1.47639e-008,0.8986
1.48063e-008,0.9503
1.48487e-008,1.0158
1.48912e-008,1.0333
1.49336e-008,0.9449
1.49760e-008,0.4920
1.50185e-008,0.0789
1.50609e-008,-0.2940
1.51033e-008,-0.5653
1.51457e-008,-0.7159
1.51881e-008,-0.7909
1.52306e-008,-0.8471
1.52730e-008,-0.8753
1.53154e-008,-0.9054
1.53579e-008,-0.9277
1.54003e-008,-0.9271
1.54427e-008,-0.9157
1.54851e-008,-0.8901
1.55276e-008,-0.8939
1.55700e-008,-0.8792
1.56124e-008,-0.8589
1.56548e-008,-0.8780
1.56972e-008,-0.8950
1.57397e-008,-0.9416
1.57821e-008,-1.0098
1.58245e-008,-1.0314
1.58670e-008,-0.9667
1.59094e-008,-0.5392
1.59518e-008,-0.1077
1.59942e-008,0.2624
1.60366e-008,0.5456
1.60791e-008,0.7101
1.61215e-008,0.7870
1.61639e-008,0.8463
1.62064e-008,0.8741
1.62488e-008,0.9049
1.62912e-008,0.9282
1.63336e-008,0.9292
1.63761e-008,0.9193
1.64185e-008,0.8928
1.64609e-008,0.8950
1.65033e-008,0.8834
1.65457e-008,0.8605
1.65882e-008,0.8768
1.66306e-008,0.8950
1.66730e-008,0.9364
1.67155e-008,1.0062
1.67579e-008,1.0328
1.68003e-008,0.9879
1.68427e-008,0.5913
1.68851e-008,0.1446
1.69276e-008,-0.2221
1.69700e-008,-0.5199
1.70124e-008,-0.6978
1.70548e-008,-0.7780
1.70973e-008,-0.8410
1.71397e-008,-0.8681
1.71821e-008,-0.9004
1.72246e-008,-0.9252
1.72670e-008,-0.9278
1.73094e-008,-0.9196
1.73518e-008,-0.8932
1.73942e-008,-0.8931
1.74367e-008,-0.8844
1.74791e-008,-0.8599
1.75215e-008,-0.8731
1.75640e-008,-0.8921
1.76064e-008,-0.9284
1.76488e-008,-0.9994
1.76912e-008,-1.0303
1.77336e-008,-0.9983
1.77761e-008,-0.6386
1.78185e-008,-0.1765
1.78609e-008,0.1873
1.79033e-008,0.4985
1.79458e-008,0.6896
1.79882e-008,0.7729
1.80306e-008,0.8388
1.80731e-008,0.8670
1.81155e-008,0.9000
1.81579e-008,0.9252
1.82003e-008,0.9296
1.82427e-008,0.9228
1.82852e-008,0.8967
1.83276e-008,0.8936
1.83700e-008,0.8883
1.84125e-008,0.8624
1.84549e-008,0.8716
1.84973e-008,0.8922
1.85397e-008,0.9236
1.85822e-008,0.9947
1.86246e-008,1.0312
1.86670e-008,1.0095
1.87094e-008,0.6871
1.87518e-008,0.2155
1.87943e-008,-0.1458
1.88367e-008,-0.4715
1.88791e-008,-0.6752
1.89216e-008,-0.7626
1.89640e-008,-0.8319
1.90064e-008,-0.8617
1.90488e-008,-0.8956
1.90912e-008,-0.9217
1.91337e-008,-0.9282
1.91761e-008,-0.9225
1.92185e-008,-0.8979
1.92610e-008,-0.8915
1.93034e-008,-0.8889
1.93458e-008,-0.8627
1.93882e-008,-0.8681
1.94307e-008,-0.8895
1.94731e-008,-0.9166
1.95155e-008,-0.9871
1.95579e-008,-1.0282
1.96003e-008,-1.0140
1.96428e-008,-0.7304
1.96852e-008,-0.2518
1.97276e-008,0.1097
1.97701e-008,0.4485
1.98125e-008,0.6643
1.98549e-008,0.7567
1.98973e-008,0.8278
1.99397e-008,0.8610
1.99822e-008,0.8950
2.00246e-008,0.9211
2.00670e-008,0.9299
2.01095e-008,0.9251
2.01519e-008,0.9020
2.01943e-008,0.8919
2.02367e-008,0.8920
2.02792e-008,0.8661
2.03216e-008,0.8668
2.03640e-008,0.8894
2.04064e-008,0.9130
2.04488e-008,0.9814
2.04913e-008,1.0282
2.05337e-008,1.0204
2.05761e-008,0.7751
2.06186e-008,0.2951
2.06610e-008,-0.0678
2.07034e-008,-0.4200
2.07458e-008,-0.6471
2.07882e-008,-0.7467
2.08307e-008,-0.8193
2.08731e-008,-0.8565
2.09155e-008,-0.8901
2.09580e-008,-0.9171
2.10004e-008,-0.9286
2.10428e-008,-0.9245
2.10852e-008,-0.9037
2.11277e-008,-0.8900
2.11701e-008,-0.8920
2.12125e-008,-0.8672
2.12549e-008,-0.8637
2.12973e-008,-0.8867
2.13398e-008,-0.9072
2.13822e-008,-0.9731
2.14246e-008,-1.0245
2.14671e-008,-1.0237
2.15095e-008,-0.8163
2.15519e-008,-0.3364
2.15943e-008,0.0331
2.16367e-008,0.3952
2.16792e-008,0.6327
2.17216e-008,0.7416
2.17640e-008,0.8141
2.18064e-008,0.8564
2.18489e-008,0.8890
2.18913e-008,0.9161
2.19337e-008,0.9301
2.19762e-008,0.9268
2.20186e-008,0.9081
2.20610e-008,0.8906
2.21034e-008,0.8944
2.21458e-008,0.8712
2.21883e-008,0.8629
2.22307e-008,0.8862
2.22731e-008,0.9048
2.23156e-008,0.9669
2.23580e-008,1.0233
2.24004e-008,1.0289
2.24428e-008,0.8589
2.24852e-008,0.3838
2.25277e-008,0.0051
2.25701e-008,-0.3649
2.26125e-008,-0.6121
2.26549e-008,-0.7324
2.26974e-008,-0.8054
2.27398e-008,-0.8524
2.27822e-008,-0.8836
2.28247e-008,-0.9118
2.28671e-008,-0.9287
2.29095e-008,-0.9260
2.29519e-008,-0.9098
2.29943e-008,-0.8893
2.30368e-008,-0.8938
2.30792e-008,-0.8727
2.31216e-008,-0.8606
2.31641e-008,-0.8832
2.32065e-008,-0.9004
2.32489e-008,-0.9584
2.32913e-008,-1.0189
2.33338e-008,-1.0299
2.33762e-008,-0.8979
2.34186e-008,-0.4292
2.34610e-008,-0.0362
2.35034e-008,0.3370
2.35459e-008,0.5942
2.35883e-008,0.7276
2.36307e-008,0.8006
2.36732e-008,0.8522
2.37156e-008,0.8821
2.37580e-008,0.9106
2.38004e-008,0.9298
2.38428e-008,0.9281
2.38853e-008,0.9139
2.39277e-008,0.8906
2.39701e-008,0.8953
2.40126e-008,0.8770
2.40550e-008,0.8606
2.40974e-008,0.8821
2.41398e-008,0.8991
2.41823e-008,0.9520
2.42247e-008,1.0164
2.42671e-008,1.0330
2.43095e-008,0.9349
2.43519e-008,0.4795
2.43944e-008,0.0708
2.44368e-008,-0.3023
2.44792e-008,-0.5707
2.45217e-008,-0.7179
2.45641e-008,-0.7926
2.46065e-008,-0.8480
2.46489e-008,-0.8764
2.46913e-008,-0.9062
2.47338e-008,-0.9279
2.47762e-008,-0.9272
2.48186e-008,-0.9151
2.48611e-008,-0.8901
2.49035e-008,-0.8941
2.49459e-008,-0.8785
2.49883e-008,-0.8592
2.50308e-008,-0.8788
2.50732e-008,-0.8957
2.51156e-008,-0.9437
2.51580e-008,-1.0110
2.52004e-008,-1.0314
2.52429e-008,-0.9620
2.52853e-008,-0.5284
2.53277e-008,-0.1010
2.53702e-008,0.2700
2.54126e-008,0.5504
2.54550e-008,0.7118
2.54974e-008,0.7882
2.55398e-008,0.8469
2.55823e-008,0.8747
2.56247e-008,0.9053
2.56671e-008,0.9283
2.57096e-008,0.9290
2.57520e-008,0.9188
2.57944e-008,0.8924
2.58368e-008,0.8950
2.58793e-008,0.8827
2.59217e-008,0.8602
2.59641e-008,0.8772
2.60065e-008,0.8952
2.60489e-008,0.9376
2.60914e-008,1.0072
2.61338e-008,1.0327
2.61762e-008,0.9846
2.62187e-008,0.5805
2.62611e-008,0.1369
2.63035e-008,-0.2307
2.63459e-008,-0.5254
2.63883e-008,-0.7003
2.64308e-008,-0.7797
2.64732e-008,-0.8420
2.65156e-008,-0.8690
2.65580e-008,-0.9011
2.66005e-008,-0.9257
2.66429e-008,-0.9279
2.66853e-008,-0.9193
2.67278e-008,-0.8929
2.67702e-008,-0.8933
2.68126e-008,-0.8840
2.68550e-008,-0.8598
2.68974e-008,-0.8738
2.69399e-008,-0.8925
2.69823e-008,-0.9299
2.70247e-008,-1.0008
2.70672e-008,-1.0306
2.71096e-008,-0.9970
2.71520e-008,-0.6285
2.71944e-008,-0.1691
2.72368e-008,0.1955
2.72793e-008,0.5037
2.73217e-008,0.6919
2.73641e-008,0.7744
2.74065e-008,0.8396
2.74490e-008,0.8676
2.74914e-008,0.9004
2.75338e-008,0.9254
2.75763e-008,0.9294
2.76187e-008,0.9224
2.76611e-008,0.8960
2.77035e-008,0.8937
2.77459e-008,0.8877
2.77884e-008,0.8619
2.78308e-008,0.8720
2.78732e-008,0.8923
2.79157e-008,0.9247
2.79581e-008,0.9959
2.80005e-008,1.0313
2.80429e-008,1.0083
2.80854e-008,0.6771
2.81278e-008,0.2072
2.81702e-008,-0.1546
2.82126e-008,-0.4773
2.82550e-008,-0.6782
2.82975e-008,-0.7645
2.83399e-008,-0.8332
2.83823e-008,-0.8624
2.84248e-008,-0.8962
2.84672e-008,-0.9223
2.85096e-008,-0.9283
2.85520e-008,-0.9223
2.85944e-008,-0.8974
2.86369e-008,-0.8918
2.86793e-008,-0.8886
2.87217e-008,-0.8624
2.87642e-008,-0.8687
2.88066e-008,-0.8899
2.88490e-008,-0.9178
2.88914e-008,-0.9886
2.89339e-008,-1.0287
2.89763e-008,-1.0131
2.90187e-008,-0.7213
2.90611e-008,-0.2433
2.91035e-008,0.1182
2.91460e-008,0.4540
2.91884e-008,0.6673
2.92308e-008,0.7583
2.92733e-008,0.8291
2.93157e-008,0.8615
2.93581e-008,0.8954
2.94005e-008,0.9215
2.94429e-008,0.9297
2.94854e-008,0.9248
2.95278e-008,0.9013
2.95702e-008,0.8920
2.96127e-008,0.8916
2.96551e-008,0.8655
2.96975e-008,0.8671
2.97399e-008,0.8896
2.97824e-008,0.9138
2.98248e-008,0.9828
2.98672e-008,1.0285
2.99096e-008,1.0194
2.99521e-008,0.7659
2.99945e-008,0.2858
3.00369e-008,-0.0763
3.00793e-008,-0.4262
3.01218e-008,-0.6507
3.01642e-008,-0.7485
3.02066e-008,-0.8210
3.02490e-008,-0.8571
3.02914e-008,-0.8908
3.03339e-008,-0.9178
3.03763e-008,-0.9286
3.04187e-008,-0.9244
3.04612e-008,-0.9031
3.05036e-008,-0.8902
3.05460e-008,-0.8919
3.05884e-008,-0.8667
3.06309e-008,-0.8642
3.06733e-008,-0.8872
3.07157e-008,-0.9082
3.07581e-008,-0.9748
3.08005e-008,-1.0252
3.08430e-008,-1.0230
3.08854e-008,-0.8077
3.09278e-008,-0.3269
3.09702e-008,0.0408
3.10127e-008,0.4012
3.10551e-008,0.6365
3.10975e-008,0.7430
3.11400e-008,0.8155
3.11824e-008,0.8567
3.12248e-008,0.8896
3.12672e-008,0.9166
3.13096e-008,0.9300
3.13521e-008,0.9266
3.13945e-008,0.9073
3.14369e-008,0.8906
3.14793e-008,0.8941
3.15218e-008,0.8705
3.15642e-008,0.8631
3.16066e-008,0.8865
3.16491e-008,0.9054
3.16915e-008,0.9684
3.17339e-008,1.0239
3.17763e-008,1.0282
3.18188e-008,0.8503
3.18612e-008,0.3736
3.19036e-008,-0.0025
3.19460e-008,-0.3715
3.19884e-008,-0.6165
3.20309e-008,-0.7339
3.20733e-008,-0.8070
3.21157e-008,-0.8530
3.21582e-008,-0.8845
3.22006e-008,-0.9125
3.22430e-008,-0.9288
3.22854e-008,-0.9260
3.23279e-008,-0.9092
3.23703e-008,-0.8893
3.24127e-008,-0.8938
3.24551e-008,-0.8721
3.24975e-008,-0.8609
3.25400e-008,-0.8837
3.25824e-008,-0.9010
3.26248e-008,-0.9601
3.26672e-008,-1.0197
3.27097e-008,-1.0297
3.27521e-008,-0.8899
3.27945e-008,-0.4189
3.28370e-008,-0.0294
3.28794e-008,0.3437
3.29218e-008,0.5987
3.29642e-008,0.7290
3.30066e-008,0.8019
3.30491e-008,0.8526
3.30915e-008,0.8828
3.31339e-008,0.9111
3.31763e-008,0.9298
3.32188e-008,0.9279
3.32612e-008,0.9133
