.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.03962e-008,1.1809
1.04386e-008,1.1743
1.04810e-008,1.1728
1.05235e-008,1.1711
1.05659e-008,1.1668
1.06083e-008,1.1810
1.06507e-008,1.2118
1.06932e-008,1.2351
1.07356e-008,1.1361
1.07780e-008,0.9075
1.08205e-008,0.7020
1.08629e-008,0.5303
1.09053e-008,0.4314
1.09477e-008,0.3621
1.09902e-008,0.3098
1.10326e-008,0.3005
1.10750e-008,0.3034
1.11174e-008,0.2941
1.11598e-008,0.3060
1.12023e-008,0.3109
1.12447e-008,0.3106
1.12871e-008,0.3036
1.13295e-008,0.2885
1.13720e-008,0.2958
1.14144e-008,0.3084
1.14568e-008,0.3128
1.14993e-008,0.3062
1.15417e-008,0.2847
1.15841e-008,0.2532
1.16265e-008,0.2268
1.16690e-008,0.2805
1.17114e-008,0.4533
1.17538e-008,0.6403
1.17962e-008,0.8410
1.18387e-008,0.9678
1.18811e-008,1.0479
1.19235e-008,1.1036
1.19659e-008,1.1265
1.20083e-008,1.1499
1.20508e-008,1.1668
1.20932e-008,1.1520
1.21356e-008,1.1480
1.21780e-008,1.1559
1.22205e-008,1.1659
1.22629e-008,1.1802
1.23053e-008,1.1760
1.23478e-008,1.1725
1.23902e-008,1.1721
1.24326e-008,1.1668
1.24750e-008,1.1763
1.25175e-008,1.2055
1.25599e-008,1.2341
1.26023e-008,1.1718
1.26447e-008,0.9533
1.26871e-008,0.7437
1.27296e-008,0.5562
1.27720e-008,0.4458
1.28144e-008,0.3754
1.28568e-008,0.3162
1.28993e-008,0.3009
1.29417e-008,0.3037
1.29841e-008,0.2950
1.30265e-008,0.3028
1.30690e-008,0.3113
1.31114e-008,0.3105
1.31538e-008,0.3063
1.31963e-008,0.2904
1.32387e-008,0.2930
1.32811e-008,0.3066
1.33235e-008,0.3127
1.33660e-008,0.3086
1.34084e-008,0.2901
1.34508e-008,0.2595
1.34932e-008,0.2296
1.35356e-008,0.2519
1.35781e-008,0.4162
1.36205e-008,0.6015
1.36629e-008,0.8081
1.37053e-008,0.9488
1.37478e-008,1.0337
1.37902e-008,1.0965
1.38326e-008,1.1220
1.38751e-008,1.1455
1.39175e-008,1.1656
1.39599e-008,1.1559
1.40023e-008,1.1466
1.40448e-008,1.1547
1.40872e-008,1.1631
1.41296e-008,1.1785
1.41720e-008,1.1778
1.42145e-008,1.1724
1.42569e-008,1.1728
1.42993e-008,1.1675
1.43417e-008,1.1725
1.43841e-008,1.1992
1.44266e-008,1.2304
1.44690e-008,1.2031
1.45114e-008,1.0008
1.45538e-008,0.7822
1.45963e-008,0.5853
1.46387e-008,0.4626
1.46811e-008,0.3886
1.47236e-008,0.3238
1.47660e-008,0.3018
1.48084e-008,0.3029
1.48508e-008,0.2972
1.48933e-008,0.2996
1.49357e-008,0.3113
1.49781e-008,0.3104
1.50205e-008,0.3083
1.50629e-008,0.2932
1.51054e-008,0.2905
1.51478e-008,0.3045
1.51902e-008,0.3122
1.52327e-008,0.3104
1.52751e-008,0.2950
1.53175e-008,0.2659
1.53599e-008,0.2345
1.54023e-008,0.2294
1.54448e-008,0.3784
1.54872e-008,0.5648
1.55296e-008,0.7708
1.55721e-008,0.9265
1.56145e-008,1.0187
1.56569e-008,1.0884
1.56993e-008,1.1181
1.57417e-008,1.1412
1.57842e-008,1.1629
1.58266e-008,1.1599
1.58690e-008,1.1460
1.59114e-008,1.1534
1.59539e-008,1.1608
1.59963e-008,1.1759
1.60387e-008,1.1795
1.60812e-008,1.1725
1.61236e-008,1.1732
1.61660e-008,1.1686
1.62084e-008,1.1696
1.62508e-008,1.1930
1.62933e-008,1.2249
1.63357e-008,1.2232
1.63781e-008,1.0490
1.64206e-008,0.8206
1.64630e-008,0.6191
1.65054e-008,0.4822
1.65478e-008,0.4026
1.65903e-008,0.3337
1.66327e-008,0.3031
1.66751e-008,0.3016
1.67175e-008,0.2997
1.67599e-008,0.2969
1.68024e-008,0.3107
1.68448e-008,0.3104
1.68872e-008,0.3095
1.69297e-008,0.2966
1.69721e-008,0.2888
1.70145e-008,0.3018
1.70569e-008,0.3112
1.70993e-008,0.3117
1.71418e-008,0.2994
1.71842e-008,0.2722
1.72266e-008,0.2403
1.72691e-008,0.2234
1.73115e-008,0.3441
1.73539e-008,0.5306
1.73963e-008,0.7304
1.74388e-008,0.9018
1.74812e-008,1.0031
1.75236e-008,1.0783
1.75660e-008,1.1146
1.76084e-008,1.1364
1.76509e-008,1.1593
1.76933e-008,1.1635
1.77357e-008,1.1467
1.77782e-008,1.1518
1.78206e-008,1.1589
1.78630e-008,1.1729
1.79054e-008,1.1806
1.79478e-008,1.1729
1.79903e-008,1.1732
1.80327e-008,1.1700
1.80751e-008,1.1680
1.81176e-008,1.1874
1.81600e-008,1.2190
1.82024e-008,1.2326
1.82448e-008,1.0931
1.82873e-008,0.8603
1.83297e-008,0.6563
1.83721e-008,0.5041
1.84145e-008,0.4167
1.84569e-008,0.3466
1.84994e-008,0.3052
1.85418e-008,0.3007
1.85842e-008,0.3019
1.86267e-008,0.2951
1.86691e-008,0.3090
1.87115e-008,0.3106
1.87539e-008,0.3104
1.87963e-008,0.3001
1.88388e-008,0.2881
1.88812e-008,0.2991
1.89236e-008,0.3100
1.89661e-008,0.3126
1.90085e-008,0.3030
1.90509e-008,0.2783
1.90933e-008,0.2464
1.91358e-008,0.2241
1.91782e-008,0.3130
1.92206e-008,0.4954
1.92630e-008,0.6878
1.93054e-008,0.8746
1.93479e-008,0.9868
1.93903e-008,1.0647
1.94327e-008,1.1105
1.94752e-008,1.1317
1.95176e-008,1.1550
1.95600e-008,1.1660
1.96024e-008,1.1486
1.96448e-008,1.1501
1.96873e-008,1.1574
1.97297e-008,1.1696
1.97721e-008,1.1810
1.98146e-008,1.1741
1.98570e-008,1.1729
1.98994e-008,1.1712
1.99418e-008,1.1671
1.99843e-008,1.1819
2.00267e-008,1.2128
2.00691e-008,1.2353
2.01115e-008,1.1322
2.01539e-008,0.9029
2.01964e-008,0.6976
2.02388e-008,0.5281
2.02812e-008,0.4300
2.03237e-008,0.3608
2.03661e-008,0.3094
2.04085e-008,0.3006
2.04509e-008,0.3033
2.04933e-008,0.2944
2.05358e-008,0.3065
2.05782e-008,0.3109
2.06206e-008,0.3107
2.06630e-008,0.3033
2.07055e-008,0.2886
2.07479e-008,0.2962
2.07903e-008,0.3085
2.08328e-008,0.3129
2.08752e-008,0.3060
2.09176e-008,0.2842
2.09600e-008,0.2526
2.10024e-008,0.2267
2.10449e-008,0.2854
2.10873e-008,0.4590
2.11297e-008,0.6458
2.11722e-008,0.8450
2.12146e-008,0.9701
2.12570e-008,1.0502
2.12994e-008,1.1047
2.13419e-008,1.1270
2.13843e-008,1.1506
2.14267e-008,1.1669
2.14691e-008,1.1517
2.15115e-008,1.1484
2.15540e-008,1.1562
2.15964e-008,1.1664
2.16388e-008,1.1804
2.16813e-008,1.1757
2.17237e-008,1.1726
2.17661e-008,1.1722
2.18085e-008,1.1671
2.18509e-008,1.1772
2.18934e-008,1.2065
2.19358e-008,1.2346
2.19782e-008,1.1682
2.20207e-008,0.9483
2.20631e-008,0.7396
2.21055e-008,0.5536
2.21479e-008,0.4443
2.21904e-008,0.3742
2.22328e-008,0.3157
2.22752e-008,0.3010
2.23176e-008,0.3037
2.23600e-008,0.2951
2.24025e-008,0.3034
2.24449e-008,0.3113
2.24873e-008,0.3106
2.25298e-008,0.3060
2.25722e-008,0.2903
2.26146e-008,0.2933
2.26570e-008,0.3067
2.26994e-008,0.3128
2.27419e-008,0.3085
2.27843e-008,0.2896
2.28267e-008,0.2589
2.28692e-008,0.2293
2.29116e-008,0.2573
2.29540e-008,0.4220
2.29964e-008,0.6067
2.30389e-008,0.8127
2.30813e-008,0.9513
2.31237e-008,1.0359
2.31661e-008,1.0977
2.32085e-008,1.1225
2.32510e-008,1.1462
2.32934e-008,1.1659
2.33358e-008,1.1555
2.33783e-008,1.1469
2.34207e-008,1.1549
2.34631e-008,1.1635
2.35055e-008,1.1788
2.35479e-008,1.1775
2.35904e-008,1.1723
2.36328e-008,1.1729
2.36752e-008,1.1676
2.37177e-008,1.1732
2.37601e-008,1.2002
2.38025e-008,1.2312
2.38449e-008,1.2004
2.38874e-008,0.9956
2.39298e-008,0.7784
2.39722e-008,0.5822
2.40146e-008,0.4609
2.40570e-008,0.3872
2.40995e-008,0.3232
2.41419e-008,0.3018
2.41843e-008,0.3030
2.42268e-008,0.2971
2.42692e-008,0.3001
2.43116e-008,0.3114
2.43540e-008,0.3104
2.43964e-008,0.3081
2.44389e-008,0.2930
2.44813e-008,0.2908
2.45237e-008,0.3046
2.45662e-008,0.3123
2.46086e-008,0.3103
2.46510e-008,0.2946
2.46934e-008,0.2652
2.47359e-008,0.2339
2.47783e-008,0.2330
2.48207e-008,0.3843
2.48631e-008,0.5701
2.49055e-008,0.7760
2.49480e-008,0.9294
2.49904e-008,1.0210
2.50328e-008,1.0899
2.50753e-008,1.1185
2.51177e-008,1.1417
2.51601e-008,1.1634
2.52025e-008,1.1595
2.52449e-008,1.1462
2.52874e-008,1.1536
2.53298e-008,1.1611
2.53722e-008,1.1764
2.54146e-008,1.1793
2.54571e-008,1.1724
2.54995e-008,1.1733
2.55419e-008,1.1687
2.55844e-008,1.1702
2.56268e-008,1.1940
2.56692e-008,1.2257
2.57116e-008,1.2218
2.57540e-008,1.0438
2.57965e-008,0.8164
2.58389e-008,0.6153
2.58813e-008,0.4801
2.59238e-008,0.4012
2.59662e-008,0.3325
2.60086e-008,0.3030
2.60510e-008,0.3018
2.60935e-008,0.2996
2.61359e-008,0.2973
2.61783e-008,0.3108
2.62207e-008,0.3104
2.62631e-008,0.3095
2.63056e-008,0.2963
2.63480e-008,0.2890
2.63904e-008,0.3022
2.64329e-008,0.3114
2.64753e-008,0.3117
2.65177e-008,0.2990
2.65601e-008,0.2715
2.66025e-008,0.2398
2.66450e-008,0.2235
2.66874e-008,0.3476
2.67298e-008,0.5343
2.67723e-008,0.7350
2.68147e-008,0.9048
2.68571e-008,1.0050
2.68995e-008,1.0796
2.69420e-008,1.1151
2.69844e-008,1.1371
2.70268e-008,1.1598
2.70692e-008,1.1632
2.71116e-008,1.1466
2.71541e-008,1.1521
2.71965e-008,1.1592
2.72389e-008,1.1733
2.72814e-008,1.1805
2.73238e-008,1.1729
2.73662e-008,1.1733
2.74086e-008,1.1699
2.74510e-008,1.1682
2.74935e-008,1.1880
2.75359e-008,1.2197
2.75783e-008,1.2324
2.76208e-008,1.0886
2.76632e-008,0.8558
2.77056e-008,0.6520
2.77480e-008,0.5016
2.77905e-008,0.4153
2.78329e-008,0.3450
2.78753e-008,0.3049
2.79177e-008,0.3009
2.79601e-008,0.3018
2.80026e-008,0.2953
2.80450e-008,0.3093
2.80874e-008,0.3106
2.81299e-008,0.3104
2.81723e-008,0.2997
2.82147e-008,0.2882
2.82571e-008,0.2995
2.82995e-008,0.3102
2.83420e-008,0.3126
2.83844e-008,0.3027
2.84268e-008,0.2777
2.84693e-008,0.2458
2.85117e-008,0.2238
2.85541e-008,0.3158
2.85965e-008,0.4992
2.86390e-008,0.6925
2.86814e-008,0.8778
2.87238e-008,0.9887
2.87662e-008,1.0663
2.88086e-008,1.1111
2.88511e-008,1.1323
2.88935e-008,1.1556
2.89359e-008,1.1658
2.89784e-008,1.1484
2.90208e-008,1.1504
2.90632e-008,1.1576
2.91056e-008,1.1700
2.91480e-008,1.1810
2.91905e-008,1.1740
2.92329e-008,1.1731
2.92753e-008,1.1711
2.93178e-008,1.1672
2.93602e-008,1.1825
2.94026e-008,1.2135
2.94450e-008,1.2353
2.94875e-008,1.1281
2.95299e-008,0.8981
2.95723e-008,0.6929
2.96147e-008,0.5253
2.96571e-008,0.4286
2.96996e-008,0.3593
2.97420e-008,0.3088
2.97844e-008,0.3007
2.98269e-008,0.3033
2.98693e-008,0.2944
2.99117e-008,0.3069
2.99541e-008,0.3110
2.99965e-008,0.3108
3.00390e-008,0.3030
3.00814e-008,0.2885
3.01238e-008,0.2966
3.01663e-008,0.3088
3.02087e-008,0.3129
3.02511e-008,0.3058
3.02935e-008,0.2836
3.03360e-008,0.2520
3.03784e-008,0.2265
3.04208e-008,0.2881
3.04632e-008,0.4629
3.05056e-008,0.6501
3.05481e-008,0.8485
3.05905e-008,0.9721
3.06329e-008,1.0518
3.06753e-008,1.1055
