.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.00123e-008,-0.8534
1.00547e-008,-0.8517
1.00971e-008,-0.8585
1.01396e-008,-0.9025
1.01820e-008,-0.9680
1.02244e-008,-1.0139
1.02668e-008,-0.8426
1.03093e-008,-0.4319
1.03517e-008,-0.0342
1.03941e-008,0.3383
1.04366e-008,0.5603
1.04790e-008,0.6966
1.05214e-008,0.7834
1.05638e-008,0.7898
1.06063e-008,0.8043
1.06487e-008,0.8346
1.06911e-008,0.8327
1.07335e-008,0.8518
1.07759e-008,0.8778
1.08184e-008,0.8918
1.08608e-008,0.9012
1.09032e-008,0.8746
1.09456e-008,0.8537
1.09881e-008,0.8524
1.10305e-008,0.8584
1.10729e-008,0.8980
1.11154e-008,0.9627
1.11578e-008,1.0143
1.12002e-008,0.8773
1.12426e-008,0.4763
1.12851e-008,0.0795
1.13275e-008,-0.3074
1.13699e-008,-0.5448
1.14123e-008,-0.6826
1.14548e-008,-0.7732
1.14972e-008,-0.7812
1.15396e-008,-0.7972
1.15820e-008,-0.8346
1.16244e-008,-0.8380
1.16669e-008,-0.8522
1.17093e-008,-0.8759
1.17517e-008,-0.8874
1.17941e-008,-0.8980
1.18366e-008,-0.8763
1.18790e-008,-0.8548
1.19214e-008,-0.8518
1.19639e-008,-0.8552
1.20063e-008,-0.8909
1.20487e-008,-0.9554
1.20911e-008,-1.0112
1.21336e-008,-0.9071
1.21760e-008,-0.5155
1.22184e-008,-0.1172
1.22608e-008,0.2801
1.23032e-008,0.5288
1.23457e-008,0.6718
1.23881e-008,0.7744
1.24305e-008,0.7888
1.24729e-008,0.7994
1.25154e-008,0.8307
1.25578e-008,0.8334
1.26002e-008,0.8456
1.26427e-008,0.8741
1.26851e-008,0.8889
1.27275e-008,0.9018
1.27699e-008,0.8813
1.28124e-008,0.8555
1.28548e-008,0.8522
1.28972e-008,0.8555
1.29396e-008,0.8869
1.29821e-008,0.9499
1.30245e-008,1.0094
1.30669e-008,0.9409
1.31093e-008,0.5608
1.31517e-008,0.1591
1.31942e-008,-0.2461
1.32366e-008,-0.5103
1.32790e-008,-0.6590
1.33214e-008,-0.7638
1.33639e-008,-0.7805
1.34063e-008,-0.7921
1.34487e-008,-0.8286
1.34912e-008,-0.8390
1.35336e-008,-0.8468
1.35760e-008,-0.8727
1.36184e-008,-0.8851
1.36609e-008,-0.8976
1.37033e-008,-0.8827
1.37457e-008,-0.8570
1.37881e-008,-0.8521
1.38306e-008,-0.8532
1.38730e-008,-0.8805
1.39154e-008,-0.9426
1.39578e-008,-1.0041
1.40002e-008,-0.9672
1.40427e-008,-0.6013
1.40851e-008,-0.1939
