.HEADER
..NAMES
Time,V U1.F25
.DATA
1.03941e-008,1.2618
1.04366e-008,1.2618
1.04790e-008,1.2618
1.05214e-008,1.2618
1.05638e-008,1.2618
1.06063e-008,1.2618
1.06487e-008,1.2618
1.06911e-008,1.2618
1.07335e-008,1.2618
1.07759e-008,1.2618
1.08184e-008,1.2618
1.08608e-008,1.2618
1.09032e-008,1.2618
1.09456e-008,1.2618
1.09881e-008,1.2618
1.10305e-008,1.2618
1.10729e-008,1.2618
1.11154e-008,1.2618
1.11578e-008,1.2618
1.12002e-008,1.2618
1.12426e-008,1.2618
1.12851e-008,1.2618
1.13275e-008,1.2618
1.13699e-008,1.2618
1.14123e-008,1.2618
1.14548e-008,1.2618
1.14972e-008,1.2618
1.15396e-008,1.2618
1.15820e-008,1.2618
1.16244e-008,1.2618
1.16669e-008,1.2618
1.17093e-008,1.2618
1.17517e-008,1.2618
1.17941e-008,1.2618
1.18366e-008,1.2618
1.18790e-008,1.2618
1.19214e-008,1.2618
1.19639e-008,1.2618
1.20063e-008,1.2618
1.20487e-008,1.2618
1.20911e-008,1.2618
1.21336e-008,1.2618
1.21760e-008,1.2618
1.22184e-008,1.2618
1.22608e-008,1.2618
1.23032e-008,1.2618
1.23457e-008,1.2618
1.23881e-008,1.2618
1.24305e-008,1.2618
1.24729e-008,1.2618
1.25154e-008,1.2618
1.25578e-008,1.2618
1.26002e-008,1.2618
1.26427e-008,1.2618
1.26851e-008,1.2618
1.27275e-008,1.2618
1.27699e-008,1.2618
1.28124e-008,1.2618
1.28548e-008,1.2618
1.28972e-008,1.2618
1.29396e-008,1.2618
1.29821e-008,1.2618
1.30245e-008,1.2618
1.30669e-008,1.2478
1.31093e-008,1.0837
1.31517e-008,0.8613
1.31942e-008,0.6795
1.32366e-008,0.5072
1.32790e-008,0.3850
1.33214e-008,0.3254
1.33639e-008,0.3058
1.34063e-008,0.2851
1.34487e-008,0.2798
1.34912e-008,0.2740
1.35336e-008,0.2705
1.35760e-008,0.2676
1.36184e-008,0.2558
1.36609e-008,0.2334
1.37033e-008,0.2357
1.37457e-008,0.2659
1.37881e-008,0.2777
1.38306e-008,0.2872
1.38730e-008,0.2959
1.39154e-008,0.2743
1.39578e-008,0.2241
1.40002e-008,0.2016
1.40427e-008,0.1974
1.40851e-008,0.1957
1.41275e-008,0.2061
1.41699e-008,0.2192
1.42124e-008,0.2229
1.42548e-008,0.2189
1.42972e-008,0.2177
1.43397e-008,0.2164
1.43821e-008,0.2168
1.44245e-008,0.2160
1.44669e-008,0.2121
1.45094e-008,0.2104
1.45518e-008,0.2165
1.45942e-008,0.2195
1.46366e-008,0.2172
1.46790e-008,0.2188
1.47215e-008,0.2182
1.47639e-008,0.2099
1.48063e-008,0.2063
1.48487e-008,0.2125
1.48912e-008,0.2159
1.49336e-008,0.2172
1.49760e-008,0.2199
1.50185e-008,0.2197
1.50609e-008,0.2163
1.51033e-008,0.2144
1.51457e-008,0.2150
1.51881e-008,0.2157
1.52306e-008,0.2163
1.52730e-008,0.2158
1.53154e-008,0.2151
1.53579e-008,0.2160
1.54003e-008,0.2171
1.54427e-008,0.2162
1.54851e-008,0.2160
1.55276e-008,0.2168
1.55700e-008,0.2155
1.56124e-008,0.2140
1.56548e-008,0.2156
1.56972e-008,0.2172
1.57397e-008,0.2166
1.57821e-008,0.2165
1.58245e-008,0.2167
1.58670e-008,0.2157
1.59094e-008,0.2150
1.59518e-008,0.2156
1.59942e-008,0.2162
1.60366e-008,0.2164
1.60791e-008,0.2162
1.61215e-008,0.2159
1.61639e-008,0.2159
1.62064e-008,0.2162
1.62488e-008,0.2161
1.62912e-008,0.2159
1.63336e-008,0.2162
1.63761e-008,0.2162
1.64185e-008,0.2156
1.64609e-008,0.2158
1.65033e-008,0.2165
1.65457e-008,0.2163
1.65882e-008,0.2160
1.66306e-008,0.2161
1.66730e-008,0.2161
1.67155e-008,0.2158
1.67579e-008,0.2160
1.68003e-008,0.2163
1.68427e-008,0.2163
1.68851e-008,0.2162
1.69276e-008,0.2161
1.69700e-008,0.2160
1.70124e-008,0.2161
1.70548e-008,0.2162
1.70973e-008,0.2161
1.71397e-008,0.2162
1.71821e-008,0.2162
1.72246e-008,0.2161
1.72670e-008,0.2160
1.73094e-008,0.2162
1.73518e-008,0.2163
1.73942e-008,0.2161
1.74367e-008,0.2161
1.74791e-008,0.2162
1.75215e-008,0.2161
1.75640e-008,0.2161
1.76064e-008,0.2162
1.76488e-008,0.2163
1.76912e-008,0.2162
1.77336e-008,0.2162
1.77761e-008,0.2162
1.78185e-008,0.2162
1.78609e-008,0.2162
1.79033e-008,0.2162
1.79458e-008,0.2162
1.79882e-008,0.2162
1.80306e-008,0.2162
1.80731e-008,0.2162
1.81155e-008,0.2162
1.81579e-008,0.2163
1.82003e-008,0.2162
1.82427e-008,0.2162
1.82852e-008,0.2163
1.83276e-008,0.2163
1.83700e-008,0.2162
1.84125e-008,0.2163
1.84549e-008,0.2163
1.84973e-008,0.2163
1.85397e-008,0.2163
1.85822e-008,0.2163
1.86246e-008,0.2163
1.86670e-008,0.2163
1.87094e-008,0.2163
1.87518e-008,0.2163
1.87943e-008,0.2163
1.88367e-008,0.2163
1.88791e-008,0.2163
1.89216e-008,0.2163
1.89640e-008,0.2163
1.90064e-008,0.2163
1.90488e-008,0.2163
1.90912e-008,0.2163
1.91337e-008,0.2163
1.91761e-008,0.2163
1.92185e-008,0.2163
1.92610e-008,0.2163
1.93034e-008,0.2163
1.93458e-008,0.2163
1.93882e-008,0.2163
1.94307e-008,0.2163
1.94731e-008,0.2163
1.95155e-008,0.2163
1.95579e-008,0.2163
1.96003e-008,0.2163
