.HEADER
..NAMES
Time,V U1.L23
.DATA
1.03941e-008,1.2626
1.04366e-008,1.2626
1.04790e-008,1.2628
1.05214e-008,1.2629
1.05638e-008,1.2629
1.06063e-008,1.2627
1.06487e-008,1.2626
1.06911e-008,1.2471
1.07335e-008,1.0709
1.07759e-008,0.8394
1.08184e-008,0.6491
1.08608e-008,0.4641
1.09032e-008,0.3554
1.09456e-008,0.2978
1.09881e-008,0.2813
1.10305e-008,0.2759
1.10729e-008,0.2561
1.11154e-008,0.2548
1.11578e-008,0.2563
1.12002e-008,0.2754
1.12426e-008,0.2923
1.12851e-008,0.2858
1.13275e-008,0.2746
1.13699e-008,0.2686
1.14123e-008,0.2841
1.14548e-008,0.2964
1.14972e-008,0.2927
1.15396e-008,0.2718
1.15820e-008,0.2426
1.16244e-008,0.2268
1.16669e-008,0.3529
1.17093e-008,0.5670
1.17517e-008,0.7829
1.17941e-008,0.9902
1.18366e-008,1.0948
1.18790e-008,1.1506
1.19214e-008,1.1690
1.19639e-008,1.1810
1.20063e-008,1.2105
1.20487e-008,1.2190
1.20911e-008,1.2211
1.21336e-008,1.1994
1.21760e-008,1.1789
1.22184e-008,1.1822
1.22608e-008,1.1943
1.23032e-008,1.2080
1.23457e-008,1.1958
1.23881e-008,1.1791
1.24305e-008,1.1740
1.24729e-008,1.1908
1.25154e-008,1.2246
1.25578e-008,1.2476
1.26002e-008,1.2588
1.26427e-008,1.2543
1.26851e-008,1.2427
1.27275e-008,1.2392
1.27699e-008,1.2428
1.28124e-008,1.2547
1.28548e-008,1.2634
1.28972e-008,1.2641
1.29396e-008,1.2604
1.29821e-008,1.2568
1.30245e-008,1.2604
1.30669e-008,1.2665
1.31093e-008,1.2693
1.31517e-008,1.2673
1.31942e-008,1.2629
1.32366e-008,1.2618
1.32790e-008,1.2637
1.33214e-008,1.2662
1.33639e-008,1.2666
1.34063e-008,1.2646
1.34487e-008,1.2619
1.34912e-008,1.2596
1.35336e-008,1.2598
1.35760e-008,1.2622
1.36184e-008,1.2648
1.36609e-008,1.2655
1.37033e-008,1.2637
1.37457e-008,1.2615
1.37881e-008,1.2608
1.38306e-008,1.2619
1.38730e-008,1.2635
1.39154e-008,1.2638
1.39578e-008,1.2629
1.40002e-008,1.2619
1.40427e-008,1.2618
1.40851e-008,1.2624
1.41275e-008,1.2630
1.41699e-008,1.2632
1.42124e-008,1.2630
1.42548e-008,1.2625
1.42972e-008,1.2622
1.43397e-008,1.2624
1.43821e-008,1.2630
1.44245e-008,1.2633
1.44669e-008,1.2632
1.45094e-008,1.2626
1.45518e-008,1.2622
1.45942e-008,1.2623
