"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Clk Net Name","Associated Clk Driver Comp Ref Des & Pin Name","Associated Clk Receiver Comp Ref Des & Pin Name","Clk Launch Time (From Sim), [ns]","Clk Arrival Time (From Sim), [ns]","Clk Delay Time, [ps]","Strobe Launch Time (From Sim), [ns]","Strobe Arrival Time (From Sim), [ns]","Strobe Delay Time, [ps]","Launch Skew Time (min), [ps]","Launch Skew Time (typ), [ps]","Launch Skew Time (max), [ps]","tDQSS Skew Time (early), [ps]","tDQSS Skew Time (typ), [ps]","tDQSS Skew Time (late), [ps]","tDSS Setup Time (From Sim), [ps]","tDSH Hold Time (From Sim), [ps]","Negative tDQSS Limit, [ps]","Positive tDQSS Limit, [ps]","tDSS Limit, [ps]","tDSH Limit, [ps]","tDQSS (early) Time Margin = tDQSS(early) - tDQSS(negative limit), [ps]","tDQSS (late) Time Margin = tDQSS(positive limit) - tDQSS(late), [ps]","tDSS Time Margin = tDSS - tDSS(limit), [ps]","tDSH Time Margin = tDSH - tDSH(limit), [ps]","Stimulus Offset, [ps]","Comments"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","22.109","22.504"," 394.8","22.059","22.349"," 290.5","-175.0"," -50.0","  75.0","-279.2","-154.2"," -29.2","N/A"," 658.0","-468.7"," 468.7"," 375.0"," 375.0"," 189.5"," 498.0","N/A"," 283.0"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","23.984","24.379"," 394.7","23.934","24.225"," 290.4","-174.7"," -49.7","  75.3","-279.1","-154.1"," -29.1","N/A"," 658.2","-468.7"," 468.7"," 375.0"," 375.0"," 189.7"," 497.8","N/A"," 283.2"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","25.859","26.254"," 394.7","25.809","26.100"," 290.4","-174.8"," -49.8","  75.2","-279.1","-154.1"," -29.1","N/A"," 658.2","-468.7"," 468.7"," 375.0"," 375.0"," 189.7"," 497.8","N/A"," 283.2"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","27.734","28.129"," 394.7","27.684","27.975"," 290.4","-174.8"," -49.8","  75.2","-279.1","-154.1"," -29.1","N/A"," 658.2","-468.7"," 468.7"," 375.0"," 375.0"," 189.7"," 497.8","N/A"," 283.2"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","29.609","30.004"," 394.6","29.559","29.849"," 290.5","-175.1"," -50.1","  74.9","-279.2","-154.2"," -29.2","N/A"," 658.0","-468.7"," 468.7"," 375.0"," 375.0"," 189.5"," 498.0","N/A"," 283.0"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","31.484","31.879"," 394.6","31.434","31.725"," 290.3","-174.8"," -49.8","  75.2","-279.1","-154.1"," -29.1","N/A"," 658.2","-468.7"," 468.7"," 375.0"," 375.0"," 189.7"," 497.8","N/A"," 283.2"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","33.359","33.754"," 394.6","33.309","33.600"," 290.4","-174.9"," -49.9","  75.1","-279.1","-154.1"," -29.1","N/A"," 658.5","-468.7"," 468.7"," 375.0"," 375.0"," 189.7"," 497.8","N/A"," 283.5"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","35.234","35.629"," 394.6","35.184","35.475"," 290.4","-174.9"," -49.9","  75.1","-279.1","-154.1"," -29.1","N/A"," 658.0","-468.7"," 468.7"," 375.0"," 375.0"," 189.6"," 497.9","N/A"," 283.0"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","37.109","37.504"," 394.5","37.059","37.350"," 290.3","-175.0"," -50.0","  75.0","-279.2","-154.2"," -29.2","N/A"," 658.2","-468.7"," 468.7"," 375.0"," 375.0"," 189.6"," 497.9","N/A"," 283.2"," 0.000"
"/Principal/BANK_502/DDR_DQS0_P","Pass","Write slot1","U1.H24&G25","U2.C7&B7","/Principal/BANK_502/DDR_CLK_P","U1.R21&P21","U2.J7&K7","38.984","39.379"," 394.5","38.934","39.224"," 290.4","-175.2"," -50.2","  74.8","-279.3","-154.3"," -29.3","N/A"," 658.2","-468.7"," 468.7"," 375.0"," 375.0"," 189.4"," 498.1","N/A"," 283.2"," 0.000"
